
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 1, 2002 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	4	4	5,602	125,578	141,995	691	690	9	11												
NEW ENGLAND	-	1	582	3,218	2,507	52	33	-	1												
Maine	-	-	64	33	58	1	1	-	-												
N.H.	-	-	20	54	58	4	-	-	-												
Vt.	-	1	46	41	37	3	1	-	-												
Mass.	-	-	269	1,409	1,093	25	23	-	1												
R.I.	-	-	44	401	283	9	2	-	-												
Conn.	-	-	139	1,280	978	10	6	-	-												
MID. ATLANTIC	-	-	1,248	14,353	15,180	131	89	1	1												
Upstate N.Y.	-	-	432	3,446	3,309	57	29	1	-												
N.Y. City	-	-	510	5,013	5,159	31	28	-	-												
N.J.	-	-	117	1,923	1,732	31	23	-	-												
Pa.	-	-	189	3,971	4,980	12	9	-	1												
E.N. CENTRAL	2	2	1,033	22,444	29,809	84	127	2	1												
Ohio	2	2	329	4,919	7,994	46	38	-	1												
Ind.	-	-	-	2,890	2,738	23	20	1	-												
Ill.	-	-	233	7,048	9,484	-	44	-	-												
Mich.	-	-	324	5,896	7,173	9	7	1	-												
Wis.	-	-	147	1,691	2,420	6	18	-	-												
W.N. CENTRAL	-	-	678	5,883	6,693	22	25	-	1												
Minn.	-	-	240	1,160	1,084	15	12	-	-												
Iowa	-	-	96	170	477	1	-	-	-												
Mo.	-	-	193	3,245	3,361	4	11	-	-												
N. Dak.	-	-	6	27	15	-	-	-	-												
S. Dak.	-	-	25	101	115	-	-	-	-												
Nebr.	-	-	52	137	523	-	1	-	1												
Kans.	-	-	66	1,043	1,118	2	1	-	-												
S. ATLANTIC	-	-	966	33,492	37,022	188	165	-	1												
Del.	-	-	19	691	681	-	-	-	-												
Md.	-	-	40	3,238	3,632	43	47	-	-												
D.C.	-	-	18	1,124	1,266	-	-	-	-												
Va.	-	-	75	4,346	3,727	13	15	-	-												
W. Va.	-	-	12	381	239	2	4	-	1												
N.C.	-	-	-	6,801	7,368	20	23	-	-												
S.C.	-	-	25	3,229	5,283	9	4	-	-												
Ga.	-	-	381	6,273	6,568	61	52	-	-												
Fla.	-	-	396	7,409	8,258	40	20	-	-												
E.S. CENTRAL	-	1	127	12,286	13,258	24	49	1	-												
Ky.	-	1	-	1,312	1,435	2	2	-	-												
Tenn.	-	-	59	3,859	3,924	14	22	-	-												
Ala.	-	-	68	4,394	4,597	6	23	1	-												
Miss.	-	-	-	2,721	3,302	2	2	-	-												
W.S. CENTRAL	-	-	54	19,375	21,575	28	27	2	1												
Ark.	-	-	54	1,196	2,046	1	-	-	-												
La.	-	-	-	4,912	5,072	2	5	-	-												
Okla.	-	-	-	1,903	1,944	23	21	-	-												
Tex.	-	-	-	11,364	12,513	2	1	2	1												
MOUNTAIN	2	-	513	4,054	4,345	96	88	2	2												
Mont.	-	-	31	39	49	-	-	-	-												
Idaho	-	-	27	38	35	1	1	-	-												
Wyo.	-	-	8	27	23	1	-	-	-												
Colo.	2	-	173	1,397	1,308	18	24	-	-												
N. Mex.	-	-	65	493	406	15	13	-	-												
Ariz.	-	-	71	1,409	1,680	47	40	1	1												
Utah	-	-	85	152	54	10	3	-	-												
Nev.	-	-	53	499	790	4	7	1	1												
PACIFIC	-	-	401	10,473	11,606	66	87	1	3												
Wash.	-	-	166	1,174	1,232	2	1	1	-												
Oreg.	-	-	159	340	507	35	28	-	-												
Calif.	-	-	-	8,512	9,453	9	39	-	3												
Alaska	-	-	33	234	143	1	3	-	-												
Hawaii	-	-	43	213	271	19	16	-	-												
Guam	-	-	-	-	22	-	-	-	-												
P.R.	-	-	-	229	292	-	1	-	-												
V.I.	-	-	-	17	11	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	6	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


