
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 9, 1999 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	913	847	11,878	17,427	4,948	7,533	-	50	-	22	72	75									
NEW ENGLAND	73	57	214	232	73	158	-	6	-	4	10	3									
Maine	5	2	8	16	1	2	-	-	-	-	-	-									
N.H.	16	9	15	10	13	14	-	-	-	1	1	-									
Vt.	5	6	16	14	2	7	-	-	-	-	-	1									
Mass.	27	34	62	102	30	57	-	5	-	2	7	2									
R.I.	4	5	14	14	27	52	-	-	-	-	-	-									
Conn.	16	1	99	76	-	26	-	1	-	1	2	-									
MID. ATLANTIC	139	138	727	1,353	511	977	-	-	-	2	2	14									
Upstate N.Y.	68	47	212	278	152	188	-	-	-	2	2	2									
N.Y. City	31	37	209	472	157	341	-	-	-	-	-	-									
N.J.	39	47	57	277	40	170	-	-	-	-	-	8									
Pa.	1	7	249	326	162	278	-	-	-	-	-	4									
E.N. CENTRAL	140	145	2,221	2,779	507	1,136	-	1	-	1	2	15									
Ohio	50	44	538	256	77	63	-	-	-	-	-	1									
Ind.	20	36	95	124	36	87	-	1	-	-	1	3									
Ill.	59	50	490	627	1	196	-	-	-	-	-	-									
Mich.	11	8	1,072	1,605	388	369	-	-	-	1	1	10									
Wis.	-	7	26	167	5	421	-	-	-	-	-	1									
W.N. CENTRAL	79	75	619	1,159	242	318	-	-	-	-	-	-									
Minn.	38	58	61	101	41	35	-	-	-	-	-	-									
Iowa	9	2	117	378	33	48	-	-	-	-	-	-									
Mo.	23	8	341	544	126	190	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	2	U	-	U	-	-	-									
Nebr.	3	1	50	25	14	17	-	-	-	-	-	-									
Kans.	4	6	40	87	27	22	U	-	U	-	-	-									
S. ATLANTIC	206	154	1,608	1,504	979	801	-	9	-	6	15	8									
Del.	-	-	2	3	1	3	-	-	-	-	-	1									
Md.	54	50	293	325	138	115	-	-	-	-	-	1									
D.C.	4	-	54	48	21	10	-	-	-	-	-	-									
Va.	15	15	133	172	74	84	-	9	-	3	12	2									
W. Va.	6	5	31	6	22	8	-	-	-	-	-	-									
N.C.	28	23	127	95	194	173	-	-	-	1	1	-									
S.C.	5	3	40	32	63	31	-	-	-	-	-	-									
Ga.	55	33	383	466	136	127	-	-	-	-	-	2									
Fla.	39	25	545	357	330	250	-	-	-	2	2	2									
E.S. CENTRAL	52	45	324	320	340	396	-	2	-	-	2	2									
Ky.	6	7	55	26	33	38	-	2	-	-	2	-									
Tenn.	28	26	142	186	170	220	-	-	-	-	-	1									
Ala.	15	10	45	57	68	62	-	-	-	-	-	1									
Miss.	3	2	82	51	69	76	-	-	-	-	-	-									
W.S. CENTRAL	43	44	2,255	3,075	684	1,676	-	5	-	4	9	-									
Ark.	2	-	44	72	36	88	-	-	-	-	-	-									
La.	7	20	73	70	77	111	U	-	U	-	-	-									
Okla.	30	22	379	466	103	71	-	-	-	-	-	-									
Tex.	4	2	1,759	2,467	468	1,406	-	5	-	4	9	-									
MOUNTAIN	92	94	1,052	2,648	471	670	-	3	-	-	3	-									
Mont.	2	-	17	85	17	5	-	-	-	-	-	-									
Idaho	1	-	35	208	25	32	-	-	-	-	-	-									
Wyo.	1	1	7	33	12	7	-	-	-	-	-	-									
Colo.	11	20	184	249	76	85	-	-	-	-	-	-									
N. Mex.	18	5	41	119	148	263	-	-	-	-	-	-									
Ariz.	49	46	615	1,607	126	149	-	1	-	-	1	-									
Utah	7	3	39	160	27	60	-	2	-	-	2	-									
Nev.	3	19	114	187	40	69	-	-	-	-	-	-									
PACIFIC	89	95	2,858	4,357	1,141	1,401	-	24	-	5	29	33									
Wash.	4	7	263	853	55	86	-	-	-	-	-	1									
Oreg.	35	37	209	337	74	148	-	9	-	-	9	-									
Calif.	38	41	2,366	3,101	987	1,143	-	15	-	4	19	7									
Alaska	5	3	8	16	13	11	-	-	-	-	-	25									
Hawaii	7	7	12	50	12	13	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	51	102	195	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


