
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 27, 2003 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	28,208	31,144	15,835	14,264	4,201	3,656	1,620	1,859	327	248											
NEW ENGLAND	1,598	1,667	236	255	333	274	40	89	6	2											
Maine	99	108	6	4	22	20	-	-	-	-											
N.H.	94	106	5	9	21	31	-	-	N	N											
Vt.	52	66	6	1	18	9	6	4	3	1											
Mass.	944	941	157	163	159	94	N	N	N	N											
R.I.	107	122	14	12	11	14	10	12	3	1											
Conn.	302	324	48	66	102	106	24	73	U	U											
MID. ATLANTIC	3,270	4,202	1,690	1,288	765	583	100	88	75	60											
Upstate N.Y.	856	1,131	325	208	305	235	55	75	58	49											
N.Y. City	876	1,065	287	360	101	133	U	U	U	U											
N.J.	358	816	206	476	130	124	N	N	N	N											
Pa.	1,180	1,190	872	244	229	91	45	13	17	11											
E.N. CENTRAL	4,080	4,322	1,319	1,609	900	783	337	166	134	97											
Ohio	1,091	1,021	254	480	255	174	219	33	77	5											
Ind.	461	408	125	79	94	41	118	131	35	46											
Ill.	1,289	1,458	642	773	181	227	-	2	-	-											
Mich.	612	699	198	136	308	246	N	N	N	N											
Wis.	627	736	100	141	62	95	N	N	22	46											
W.N. CENTRAL	1,880	1,902	613	800	269	202	131	333	45	41											
Minn.	403	432	78	165	135	100	-	220	39	37											
Iowa	276	325	54	99	N	N	N	N	N	N											
Mo.	752	641	302	126	57	41	9	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	90	83	13	151	19	12	1	1	-	-											
Nebr.	113	135	95	173	21	18	-	25	N	N											
Kans.	218	262	68	70	26	31	118	81	N	N											
S. ATLANTIC	7,571	7,794	5,699	4,507	743	603	847	865	16	25											
Del.	61	71	148	139	6	2	1	3	N	N											
Md.	641	727	502	863	220	93	-	-	-	19											
D.C.	35	57	60	48	12	6	2	-	6	3											
Va.	809	846	322	721	90	66	N	N	N	N											
W. Va.	107	98	-	9	31	16	57	36	10	3											
N.C.	959	1,042	815	278	92	107	N	N	U	U											
S.C.	472	552	305	91	32	32	117	150	N	N											
Ga.	1,431	1,443	1,359	1,030	93	115	197	219	N	N											
Fla.	3,056	2,958	2,188	1,328	167	166	473	457	N	N											
E.S. CENTRAL	1,864	2,318	669	1,028	165	90	109	115	-	-											
Ky.	316	265	91	113	37	18	15	13	N	N											
Tenn.	557	592	245	77	128	72	94	102	N	N											
Ala.	406	598	198	538	-	-	-	-	N	N											
Miss.	585	863	135	300	-	-	-	-	-	-											
W.S. CENTRAL	2,588	3,352	2,897	2,198	189	244	33	161	47	19											
Ark.	568	727	79	152	5	6	8	6	-	-											
La.	258	585	144	352	1	1	25	152	10	6											
Okla.	350	379	633	402	69	37	N	N	27	2											
Tex.	1,412	1,661	2,041	1,292	114	200	N	N	10	11											
MOUNTAIN	1,646	1,664	877	609	369	432	20	42	4	4											
Mont.	78	75	2	3	2	-	-	-	-	-											
Idaho	135	105	24	7	18	9	N	N	N	N											
Wyo.	69	58	6	7	2	7	4	11	-	-											
Colo.	379	469	209	134	111	90	-	-	-	-											
N. Mex.	174	229	154	120	90	85	16	31	-	-											
Ariz.	514	433	390	272	135	213	-	-	N	N											
Utah	170	130	39	22	9	28	-	-	4	4											
Nev.	127	165	53	44	2	-	-	-	-	-											
PACIFIC	3,711	3,923	1,835	1,970	468	445	3	-	-	-											
Wash.	392	382	119	117	38	46	-	-	N	N											
Oreg.	309	273	184	76	N	N	N	N	N	N											
Calif.	2,801	3,015	1,489	1,726	344	343	N	N	N	N											
Alaska	55	46	7	4	-	-	-	-	N	N											
Hawaii	154	207	36	47	86	56	3	-	-	-											
Guam	-	37	-	27	-	-	-	4	-	-											
P.R.	177	385	3	28	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


