
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending October 3, 1998 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	2,045	2,530	4	368	479	101	4,200	4,052	4	324	140										
NEW ENGLAND	80	158	-	6	8	9	683	722	-	39	1										
Maine	5	17	-	-	-	-	5	9	-	-	-										
N.H.	4	12	-	-	-	1	75	101	-	-	-										
Vt.	3	4	-	-	-	-	65	193	-	-	-										
Mass.	40	77	-	4	2	8	495	388	-	9	1										
R.I.	3	15	-	-	5	-	9	12	-	1	-										
Conn.	25	33	-	2	1	-	34	19	-	29	-										
MID. ATLANTIC	182	264	1	20	48	6	423	306	-	130	31										
Upstate N.Y.	47	71	1	5	10	6	230	121	-	111	4										
N.Y. City	20	45	-	4	3	-	23	59	-	14	27										
N.J.	49	52	-	2	7	-	5	12	-	4	-										
Pa.	66	96	-	9	28	-	165	114	-	1	-										
E.N. CENTRAL	303	377	-	60	54	3	420	437	-	-	6										
Ohio	114	134	-	23	20	-	191	124	-	-	-										
Ind.	51	42	-	6	7	-	96	45	-	-	-										
Ill.	77	113	-	10	8	3	65	62	-	-	2										
Mich.	35	55	-	21	16	-	51	48	-	-	-										
Wis.	26	33	-	-	3	-	17	158	-	-	4										
W.N. CENTRAL	172	181	1	26	14	12	384	314	-	27	-										
Minn.	29	29	-	12	5	12	212	201	-	-	-										
Iowa	32	39	-	9	7	-	61	29	-	-	-										
Mo.	63	79	-	3	-	-	22	55	-	2	-										
N. Dak.	5	2	1	2	-	-	2	1	-	-	-										
S. Dak.	7	5	-	-	-	-	8	4	-	-	-										
Nebr.	9	9	-	-	1	-	14	5	-	-	-										
Kans.	27	18	-	-	1	-	65	19	-	25	-										
S. ATLANTIC	353	426	1	44	57	19	262	356	3	18	63										
Del.	2	5	-	-	-	2	5	1	-	-	-										
Md.	25	40	-	-	1	1	47	102	-	1	-										
D.C.	1	8	-	-	-	-	1	3	-	-	1										
Va.	29	43	1	7	10	7	26	42	1	1	1										
W. Va.	12	15	-	-	-	-	1	6	-	-	-										
N.C.	49	78	-	10	9	7	88	99	2	13	53										
S.C.	49	46	-	6	10	1	25	23	-	-	6										
Ga.	77	83	-	1	8	-	21	11	-	-	-										
Fla.	109	108	-	20	19	1	48	69	-	3	2										
E.S. CENTRAL	189	190	-	13	24	1	85	112	1	3	1										
Ky.	26	40	-	-	3	-	25	49	-	-	-										
Tenn.	60	62	-	1	4	1	32	32	1	2	-										
Ala.	79	64	-	7	7	-	25	21	-	1	1										
Miss.	24	24	U	5	10	U	3	10	U	-	-										
W.S. CENTRAL	256	248	-	52	68	3	276	189	-	88	4										
Ark.	26	29	-	7	1	2	60	21	-	-	-										
La.	53	47	-	9	12	-	5	17	-	1	-										
Okla.	34	33	-	-	-	-	19	28	-	-	-										
Tex.	143	139	-	36	55	1	192	123	-	87	4										
MOUNTAIN	114	147	-	31	51	26	787	916	-	5	7										
Mont.	4	7	-	-	-	-	9	15	-	-	-										
Idaho	9	10	-	4	2	2	228	484	-	-	2										
Wyo.	5	2	U	1	1	U	8	7	U	-	-										
Colo.	23	38	-	7	3	1	151	270	-	-	-										
N. Mex.	22	24	N	N	N	-	80	79	-	1	-										
Ariz.	35	39	-	5	31	14	162	31	-	1	5										
Utah	11	12	-	5	7	9	120	14	-	2	-										
Nev.	5	15	-	9	7	-	29	16	-	1	-										
PACIFIC	396	539	1	116	155	22	880	700	-	14	27										
Wash.	54	68	-	7	14	17	255	288	-	9	5										
Oreg.	68	101	N	N	N	1	88	36	-	-	-										
Calif.	266	361	1	85	110	3	515	343	-	3	14										
Alaska	3	2	-	2	8	-	14	16	-	-	-										
Hawaii	5	7	-	22	23	1	8	17	-	2	8										
Guam	1	1	U	2	1	U	-	-	U	-	-										
P.R.	6	8	-	1	7	-	3	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


