
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 1, 1998 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	648	679	12,591	15,949	4,614	5,339	1	27	2	19	46	95									
NEW ENGLAND	35	37	150	410	76	99	-	1	-	2	3	16									
Maine	2	3	13	45	2	6	-	-	-	-	-	-									
N.H.	7	5	8	21	10	6	-	-	-	-	-	1									
Vt.	2	3	13	7	3	5	-	-	-	1	1	-									
Mass.	22	23	46	172	18	43	-	1	-	1	2	14									
R.I.	2	2	10	88	43	10	-	-	-	-	-	-									
Conn.	-	1	60	77	-	29	-	-	-	-	-	1									
MID. ATLANTIC	90	96	823	1,278	646	780	-	9	2	4	13	21									
Upstate N.Y.	36	25	195	181	179	161	-	2	-	-	2	5									
N.Y. City	18	26	210	580	173	292	-	-	-	-	-	7									
N.J.	31	31	196	187	105	152	-	7	-	1	8	3									
Pa.	5	14	222	330	189	175	-	-	2	3	3	6									
E.N. CENTRAL	99	114	1,667	1,644	469	888	-	11	-	3	14	9									
Ohio	35	62	194	210	43	50	U	-	U	1	1	-									
Ind.	27	11	98	182	61	69	-	2	-	1	3	-									
Ill.	30	27	273	423	90	171	-	-	-	-	-	7									
Mich.	3	14	989	707	253	258	-	9	-	1	10	2									
Wis.	4	-	113	122	22	340	-	-	-	-	-	-									
W.N. CENTRAL	63	34	964	1,203	245	294	-	-	-	-	-	12									
Minn.	49	25	79	110	23	23	-	-	-	-	-	3									
Iowa	1	3	382	207	37	21	U	-	U	-	-	-									
Mo.	8	3	391	631	151	218	U	-	U	-	-	1									
N. Dak.	-	-	3	10	4	3	U	-	U	-	-	-									
S. Dak.	-	2	17	14	1	-	-	-	-	-	-	8									
Nebr.	-	1	24	49	9	8	-	-	-	-	-	-									
Kans.	5	-	68	182	20	21	-	-	-	-	-	-									
S. ATLANTIC	134	106	1,061	905	661	653	1	3	-	5	8	8									
Del.	-	-	3	18	-	4	-	-	-	1	1	-									
Md.	41	44	193	124	96	100	-	-	-	1	1	2									
D.C.	-	-	31	15	7	24	-	-	-	-	-	1									
Va.	13	7	137	119	56	76	-	-	-	2	2	1									
W. Va.	4	3	1	6	4	9	-	-	-	-	-	-									
N.C.	19	17	60	116	119	134	-	-	-	-	-	1									
S.C.	3	3	18	69	21	62	-	-	-	-	-	-									
Ga.	28	21	303	195	112	64	1	1	-	1	2	1									
Fla.	26	11	315	243	246	180	-	2	-	-	2	2									
E.S. CENTRAL	38	39	210	382	225	388	-	-	-	2	2	1									
Ky.	6	6	14	47	24	26	-	-	-	-	-	-									
Tenn.	24	23	147	238	168	261	-	-	-	-	-	-									
Ala.	8	8	49	58	33	42	-	-	-	2	2	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	38	33	2,406	3,294	773	677	-	-	-	-	-	5									
Ark.	-	2	58	135	52	47	U	-	U	-	-	-									
La.	18	7	50	117	58	82	-	-	-	-	-	-									
Okla.	18	22	338	945	52	25	-	-	-	-	-	-									
Tex.	2	2	1,960	2,097	611	523	-	-	-	-	-	5									
MOUNTAIN	73	64	2,014	2,403	507	501	-	-	-	-	-	7									
Mont.	-	-	66	53	3	6	-	-	-	-	-	-									
Idaho	-	1	160	83	19	16	-	-	-	-	-	-									
Wyo.	1	2	25	20	2	14	-	-	-	-	-	-									
Colo.	15	10	157	258	65	96	-	-	-	-	-	-									
N. Mex.	5	7	95	191	213	165	-	-	-	-	-	-									
Ariz.	41	27	1,309	1,173	133	112	-	-	-	-	-	5									
Utah	4	3	128	377	43	59	-	-	-	-	-	-									
Nev.	7	14	74	248	29	33	-	-	-	-	-	2									
PACIFIC	78	156	3,296	4,430	1,012	1,059	-	3	-	3	6	16									
Wash.	7	2	648	305	69	47	-	-	-	1	1	-									
Oreg.	32	25	229	226	69	65	-	-	-	-	-	-									
Calif.	31	121	2,382	3,786	863	928	-	3	-	2	5	12									
Alaska	1	2	14	24	6	11	-	-	-	-	-	-									
Hawaii	7	6	23	89	5	8	-	-	-	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	34	193	257	440	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


