
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 6, 2008 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	60	95	259	4,805	4,861	34	34	166	1,528	1,740											
NEW ENGLAND	4	6	31	320	365	-	1	14	71	120											
Conn.	3	0	26	99	113	-	0	11	11	13											
Maine	-	0	3	26	26	-	0	1	2	4											
Mass.	-	3	8	138	174	-	0	5	39	80											
N.H.	1	0	2	27	27	-	0	1	11	13											
R.I.	-	0	9	18	8	-	0	2	7	8											
Vt.	-	0	2	12	17	-	0	1	1	2											
MID. ATLANTIC	15	18	43	945	885	1	4	19	201	305											
N.J.	-	3	11	138	161	-	1	6	62	63											
N.Y. (Upstate)	8	6	17	309	267	1	2	14	98	100											
N.Y. City	-	3	10	178	218	-	0	8	41	142											
Pa.	7	6	16	320	239	N	0	0	N	N											
E.N. CENTRAL	6	19	42	864	916	6	6	23	251	295											
Ill.	-	4	16	225	273	-	1	5	48	80											
Ind.	1	2	11	123	114	-	0	14	35	20											
Mich.	-	3	10	162	195	2	1	5	73	77											
Ohio	5	5	14	248	214	3	1	5	58	60											
Wis.	-	1	10	106	120	1	1	4	37	58											
W.N. CENTRAL	2	5	39	360	318	7	2	16	147	98											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	36	31	1	0	3	19	2											
Minn.	-	0	35	166	153	6	0	13	69	53											
Mo.	-	2	10	83	80	-	1	2	33	25											
Nebr.	1	1	3	40	24	-	0	2	8	17											
N. Dak.	-	0	5	12	18	-	0	2	8	1											
S. Dak.	1	0	2	23	12	-	0	1	10	-											
S. ATLANTIC	10	21	37	1,042	1,191	8	6	16	284	316											
Del.	-	0	2	9	10	-	0	0	-	-											
D.C.	-	0	4	24	17	-	0	1	2	3											
Fla.	1	5	10	255	296	4	1	4	65	62											
Ga.	3	4	14	229	241	1	1	5	66	77											
Md.	3	4	8	170	203	3	1	5	57	64											
N.C.	-	2	10	130	157	N	0	0	N	N											
S.C.	3	1	5	70	97	-	1	4	48	55											
Va.	-	2	12	123	144	-	0	6	38	48											
W. Va.	-	0	3	32	26	-	0	1	8	7											
E.S. CENTRAL	1	4	9	165	200	-	2	11	94	97											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	39	37	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	20	10											
Tenn.	-	3	6	126	163	-	1	9	74	87											
W.S. CENTRAL	13	9	85	441	302	9	5	66	255	262											
Ark.	-	0	2	5	17	-	0	2	7	16											
La.	-	0	2	16	16	-	0	2	10	35											
Okla.	2	2	19	110	65	1	1	7	60	57											
Tex.	11	6	65	310	204	8	3	58	178	154											
MOUNTAIN	6	10	22	505	547	3	4	12	208	234											
Ariz.	1	3	9	184	202	2	2	8	106	115											
Colo.	4	3	8	141	137	1	1	4	56	46											
Idaho	-	0	2	15	18	-	0	1	5	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	1	12	2	N	0	0	N	N											
N. Mex.	-	2	8	93	101	-	0	3	17	40											
Utah	1	1	5	54	82	-	0	3	19	30											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	3	3	8	163	137	-	0	2	17	13											
Alaska	3	0	4	39	25	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	8	124	112	-	0	2	17	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


