
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 25, 1999 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	40,933	44,438	581,689	583,049	2,321	3,622	3,419	2,889	2,309	2,164											
NEW ENGLAND	2,090	1,773	20,316	19,754	162	149	396	332	343	283											
Maine	75	28	904	1,008	30	31	38	36	-	-											
N.H.	45	36	925	950	19	17	34	46	33	47											
Vt.	16	18	462	409	36	26	32	21	21	18											
Mass.	1,338	906	8,758	8,197	53	68	173	149	184	161											
R.I.	96	119	2,300	2,270	6	7	27	13	26	1											
Conn.	520	666	6,967	6,920	18	U	92	67	79	56											
MID. ATLANTIC	10,473	12,110	56,608	60,586	425	564	320	299	92	87											
Upstate N.Y.	1,196	1,435	N	N	181	333	258	218	-	-											
N.Y. City	5,571	6,852	21,963	25,785	116	206	11	14	17	13											
N.J.	1,932	2,085	10,700	11,549	36	25	51	67	46	53											
Pa.	1,774	1,738	23,945	23,252	92	N	N	N	29	21											
E.N. CENTRAL	2,801	3,222	84,274	99,126	570	726	708	458	497	373											
Ohio	448	682	26,638	27,040	67	73	255	127	208	77											
Ind.	320	485	11,097	11,033	40	61	114	104	64	54											
Ill.	1,345	1,188	25,693	25,930	67	84	223	112	81	81											
Mich.	555	680	20,846	21,405	49	38	116	115	78	73											
Wis.	133	187	U	13,718	347	470	N	N	66	88											
W.N. CENTRAL	940	884	33,702	34,670	206	336	616	479	415	406											
Minn.	178	163	6,683	6,877	78	142	236	196	184	214											
Iowa	77	72	4,649	4,497	55	65	115	92	73	59											
Mo.	449	439	12,529	12,394	31	28	67	53	67	64											
N. Dak.	6	6	707	1,037	18	30	17	12	14	15											
S. Dak.	15	15	1,530	1,543	7	25	47	36	62	40											
Nebr.	65	66	3,378	2,870	16	35	113	54	-	-											
Kans.	150	123	4,226	5,452	1	11	21	36	15	14											
S. ATLANTIC	11,305	11,544	123,247	113,440	387	352	342	251	180	179											
Del.	159	171	2,715	2,555	-	3	6	-	3	2											
Md.	1,344	1,608	10,999	7,484	17	21	42	43	4	15											
D.C.	637	808	N	N	8	25	1	1	U	U											
Va.	782	959	13,39	13,554	27	20	75	N	59	55											
W. Va.	64	84	1,240	2,346	3	3	16	13	11	10											
N.C.	739	787	21,443	21,580	34	N	74	57	52	47											
S.C.	919	777	12,830	18,070	-	-	21	15	14	12											
Ga.	1,581	1,174	31,567	23,366	143	129	37	78	-	-											
Fla.	5,080	5,176	29,062	24,485	155	151	70	44	37	38											
E.S. CENTRAL	1,796	1,837	44,431	40,250	44	26	134	120	58	65											
Ky.	255	279	7,249	6,083	8	10	48	36	-	-											
Tenn.	706	659	13,850	13,717	13	10	55	54	38	40											
Ala.	449	484	12,377	10,059	14	N	25	24	16	20											
Miss.	386	415	10,955	10,391	9	6	6	6	4	5											
W.S. CENTRAL	4,177	5,353	87,795	87,430	88	916	139	106	124	108											
Ark.	188	203	5,585	3,975	2	6	15	11	8	10											
La.	813	914	15,948	14,770	25	16	12	5	14	7											
Okla.	123	285	7,763	9,243	13	N	39	25	27	9											
Tex.	3,053	3,951	58,499	59,442	48	894	73	65	75	82											
MOUNTAIN	1,608	1,568	30,156	33,351	99	123	330	365	225	249											
Mont.	13	29	1,496	1,278	13	10	25	16	-	5											
Idaho	22	32	1,712	1,987	8	17	72	43	43	25											
Wyo.	11	6	759	701	1	2	16	53	14	55											
Colo.	290	313	5,462	8,552	14	19	108	90	88	69											
N. Mex.	82	204	3,931	4,068	42	48	13	19	7	20											
Ariz.	819	588	11,929	11,324	13	18	38	45	23	29											
Utah	142	139	2,085	2,150	N	N	38	75	48	22											
Nev.	229	257	2,782	3,291	8	9	20	24	2	24											
PACIFIC	5,743	6,147	101,160	94,442	340	430	434	479	375	414											
Wash.	337	387	11,697	10,842	N	N	167	110	159	131											
Oreg.	208	204	5,901	5,664	93	69	74	107	68	102											
Calif.	5,089	5,366	79,068	73,503	247	357	181	255	136	165											
Alaska	15	29	1,837	1,860	-	1	1	7	1	-											
Hawaii	94	161	2,657	2,573	-	3	11	-	11	16											
Guam	10	2	299	422	-	-	N	N	U	U											
P.R.	1,180	1,685	U	U	-	N	9	5	U	U											
V.I.	35	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


