
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2009 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	86	88	182	417	524	28	33	55	120	208											
NEW ENGLAND	1	4	31	6	26	1	1	11	2	14											
Conn.	-	0	26	-	-	-	0	11	-	-											
Maine	-	0	3	1	2	-	0	1	-	-											
Mass.	-	1	8	-	22	-	0	4	-	11											
N.H.	-	0	2	2	2	1	0	1	1	3											
R.I.	-	0	8	1	-	-	0	2	-	-											
Vt.	1	0	3	2	-	-	0	1	1	-											
MID. ATLANTIC	16	16	43	66	117	1	3	18	8	37											
N.J.	-	2	11	-	27	-	1	4	2	9											
N.Y. (Upstate)	9	6	21	28	31	1	2	18	6	11											
N.Y. City	-	3	10	4	24	-	0	5	-	17											
Pa.	7	7	16	34	35	N	0	2	N	N											
E.N. CENTRAL	10	16	42	84	100	4	6	11	21	45											
Ill.	-	5	16	19	27	-	1	5	-	15											
Ind.	2	2	19	9	10	-	0	5	2	2											
Mich.	-	3	9	11	27	-	1	5	4	11											
Ohio	8	5	14	37	29	3	1	4	13	11											
Wis.	-	1	10	8	7	1	0	4	2	6											
W.N. CENTRAL	8	5	39	23	23	4	2	11	11	11											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	3	0	5	5	6	-	0	3	2	2											
Minn.	-	0	35	-	-	1	0	9	3	-											
Mo.	2	2	10	8	12	2	1	2	5	7											
Nebr.	3	1	3	8	3	-	0	1	-	2											
N. Dak.	-	0	3	-	-	-	0	2	-	-											
S. Dak.	-	0	2	2	2	1	0	1	1	-											
S. ATLANTIC	23	21	37	120	118	9	6	16	39	39											
Del.	-	0	2	3	-	-	0	0	-	-											
D.C.	-	0	4	-	2	-	0	1	-	-											
Fla.	7	5	10	29	34	3	1	4	9	4											
Ga.	6	5	14	36	31	3	1	6	14	9											
Md.	8	3	8	20	24	2	1	4	7	12											
N.C.	2	3	10	11	2	N	0	0	N	N											
S.C.	-	1	5	11	8	1	1	6	7	8											
Va.	-	2	9	7	14	-	0	6	-	6											
W. Va.	-	0	3	3	3	-	0	2	2	-											
E.S. CENTRAL	3	3	9	21	12	-	2	6	1	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	5	3	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	3											
Tenn.	3	3	6	16	9	-	1	5	1	2											
W.S. CENTRAL	17	9	40	42	30	5	5	21	15	17											
Ark.	-	0	2	-	-	-	0	2	1	2											
La.	-	0	1	-	4	-	0	3	4	1											
Okla.	7	2	8	22	7	2	1	3	3	5											
Tex.	10	6	37	20	19	3	3	18	7	9											
MOUNTAIN	6	9	20	43	83	4	4	11	22	35											
Ariz.	1	3	8	14	27	1	2	7	14	22											
Colo.	5	2	10	18	23	3	1	4	5	6											
Idaho	-	0	2	-	2	-	0	1	-	1											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	-	2	N	0	0	N	N											
N. Mex.	-	1	8	9	20	-	0	3	2	2											
Utah	-	1	4	1	9	-	0	4	1	4											
Wyo.	-	0	2	1	-	-	0	1	-	-											
PACIFIC	2	3	8	12	15	-	0	2	1	5											
Alaska	-	1	4	2	3	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	8	10	12	-	0	2	1	5											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


