
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 18, 1998 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1998
Legionellosis cummulative for 1997
Lyme Disease cummulative for 1998
Lyme Disease cummulative for 1997
Malaria cummulative for 1998
Malaria cummulative for 1997
Syphilis (Primary and Secondary) cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1997
Tuberculosis cummulative for 1998
Tuberculosis cummulative for 1997
Rabies, Animal cummulative for 1998
Rabies, Animal cummulative for 1997

tab delimited data:
test
UNITED STATES	282	236	984	855	282	347	1,930	2,532	1,501	4,264	1,985										
NEW ENGLAND	17	18	174	153	12	12	20	43	61	98	383										
Maine	1	1	-	2	1	-	1	-	U	10	62										
N.H.	2	2	5	4	2	1	-	-	2	1	33										
Vt.	1	3	2	2	-	1	-	-	1	-	21										
Mass.	3	7	47	30	9	9	17	20	46	46	106										
R.I.	4	1	19	27	-	1	-	-	12	7	27										
Conn.	6	4	101	88	-	-	2	23	U	34	134										
MID. ATLANTIC	62	39	627	574	76	82	74	119	129	727	443										
Upstate N.Y.	19	8	380	67	24	13	4	14	U	84	304										
N.Y. City	6	1	-	43	35	48	16	20	U	401	U										
N.J.	2	5	3	132	8	15	18	61	129	157	57										
Pa.	35	25	244	332	9	6	36	24	U	85	82										
E.N. CENTRAL	93	99	22	10	19	34	289	225	80	438	15										
Ohio	44	47	21	5	2	3	54	72	5	103	14										
Ind.	16	12	1	4	1	4	54	49	U	39	-										
Ill.	5	4	-	1	5	13	114	19	75	202	-										
Mich.	20	27	-	-	10	12	52	35	U	66	-										
Wis.	8	9	U	U	1	2	15	50	U	28	1										
W.N. CENTRAL	21	15	6	8	15	9	47	57	52	126	176										
Minn.	1	-	1	7	8	4	-	14	U	34	30										
Iowa	1	2	4	-	2	2	-	3	U	15	33										
Mo.	8	3	-	-	3	2	37	27	47	46	10										
N. Dak.	-	1	-	-	-	-	-	-	U	2	39										
S. Dak.	-	1	-	-	-	-	-	-	4	2	33										
Nebr.	8	5	-	1	-	1	4	-	1	4	-										
Kans.	3	3	1	-	2	-	6	13	U	23	31										
S. ATLANTIC	45	28	108	78	74	75	779	1,012	277	727	678										
Del.	6	3	-	14	1	2	7	8	-	8	17										
Md.	8	10	89	53	24	25	187	290	69	68	149										
D.C.	3	1	4	4	4	5	28	35	31	22	-										
Va.	3	3	3	-	9	18	55	89	53	86	193										
W. Va.	N	N	2	-	-	-	-	2	18	15	28										
N.C.	4	5	1	2	7	5	223	211	106	98	136										
S.C.	4	2	-	1	-	4	88	111	U	68	41										
Ga.	-	-	2	1	12	10	122	180	U	117	43										
Fla.	17	4	7	3	17	6	69	86	U	245	71										
E.S. CENTRAL	4	8	12	17	7	9	354	556	-	316	70										
Ky.	1	-	2	1	-	3	40	48	U	45	13										
Tenn.	3	3	5	3	4	2	177	222	U	116	38										
Ala.	-	2	5	2	3	1	76	145	U	102	19										
Miss.	-	3	-	11	-	3	61	141	U	53	-										
W.S. CENTRAL	2	1	1	2	6	5	200	370	25	630	56										
Ark.	-	-	-	-	-	1	45	50	25	59	1										
La.	-	-	-	1	3	3	87	126	-	31	-										
Okla.	-	1	-	-	1	1	13	35	U	47	55										
Tex.	2	-	1	1	2	-	55	159	U	493	-										
MOUNTAIN	16	16	1	1	15	19	61	48	71	115	45										
Mont.	1	1	-	-	-	2	-	-	2	2	15										
Idaho	-	1	-	-	1	-	-	-	3	2	-										
Wyo.	1	1	-	-	-	1	-	-	1	1	29										
Colo.	4	4	-	-	5	10	4	2	U	24	-										
N. Mex.	1	-	-	-	6	2	-	-	7	5	-										
Ariz.	2	4	-	-	2	1	54	39	40	49	1										
Utah	6	4	-	-	1	-	2	1	18	4	-										
Nev.	1	1	1	1	-	3	1	6	U	28	-										
PACIFIC	22	12	33	12	58	102	106	102	806	1,087	119										
Wash.	2	2	1	-	2	2	6	5	U	77	-										
Oreg.	-	-	1	5	6	7	2	3	U	36	-										
Calif.	20	9	31	7	50	91	98	93	747	882	109										
Alaska	-	-	-	-	-	2	-	-	11	28	10										
Hawaii	-	1	-	-	-	-	-	1	48	64	-										
Guam	-	-	-	-	-	-	-	2	-	13	-										
P.R.	-	-	-	-	-	3	79	62	-	-	21										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	-	-	-	-	-	-	-	-	-										
C.N.M.I.	-	-	-	-	-	-	1	3	8	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


