
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 1996 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1996
AIDS § cummulative for 1995
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1996
Escherichia coli O157:H7 PHLIS cummulative for 1996
Gonorrhea cummulative for 1996
Gonorrhea cummulative for 1995
Hepatitis C/NA,NB cummulative for 1996
Hepatitis C/NA,NB cummulative for 1995
Legionellosis cummulative for 1996
Legionellosis cummulative for 1995

tab delimited data:
test
UNITED STATES	21,920	24,547	79,002	267	113	92,811	129,892	1,147	1,389	230	403										
NEW ENGLAND	878	1,308	3,263	27	16	2,585	1,843	42	36	12	4										
Maine	15	23	-	3	-	15	23	-	-	1	-										
N.H.	25	43	224	1	1	41	34	1	5	-	-										
Vt.	8	12	-	5	5	22	17	18	4	1	-										
Mass.	490	634	2,297	11	10	761	1,027	20	26	5	3										
R.I.	61	87	742	2	-	192	189	3	1	5	1										
Conn.	279	509	-	5	-	1,554	553	-	-	N	N										
MID. ATLANTIC	5,707	6,096	12,505	40	20	9,861	14,943	112	127	50	53										
Upstate N.Y.	568	685	N	21	10	1,963	3,423	99	62	10	12										
N.Y. City	3,281	3,063	4,121	-	-	2,608	5,501	1	1	-	1										
N.J.	1,143	1,460	1,893	12	5	1,827	1,185	-	54	7	11										
Pa.	715	888	6,491	N	5	3,463	4,834	12	10	33	29										
E.N. CENTRAL	1,874	2,066	12,844	45	23	14,246	27,219	147	114	72	133										
Ohio	438	473	3,237	21	8	1,833	8,430	4	4	34	54										
Ind.	309	164	3,358	12	6	2,495	2,847	6	-	17	34										
Ill.	758	887	-	2	2	5,922	7,148	10	40	2	15										
Mich.	257	420	4,101	10	7	2,911	6,532	127	70	16	14										
Wis.	112	122	2,148	N	-	1,085	2,262	-	-	3	16										
W.N. CENTRAL	548	545	8,433	40	19	5,122	7,211	90	24	14	26										
Minn.	109	119	-	6	12	U	1,040	-	1	-	-										
Iowa	44	32	1,261	7	4	372	532	71	3	3	8										
Mo.	237	214	4,745	6	-	2,784	4,188	14	10	1	8										
N. Dak.	4	1	2	1	1	1	11	-	-	-	2										
S. Dak.	7	7	476	1	-	74	69	-	1	2	-										
Nebr.	40	51	388	4	-	57	351	1	6	6	6										
Kans.	107	121	1,561	15	2	835	1,020	4	3	2	2										
S. ATLANTIC	5,803	6,684	18,365	17	3	35,007	37,750	58	91	31	65										
Del.	114	131	-	-	-	499	703	1	-	-	-										
Md.	658	994	1,935	N	1	4,407	4,516	-	2	6	14										
D.C.	373	438	N	-	-	1,515	1,703	-	-	1	3										
Va.	317	520	4,136	N	1	3,314	3,778	5	2	9	4										
W. Va.	31	30	-	N	-	160	223	4	20	1	3										
N.C.	266	310	-	5	1	6,765	8,642	18	23	3	11										
S.C.	283	322	-	1	-	3,961	4,016	13	4	3	13										
Ga.	871	869	4,178	3	-	7,932	6,848	-	11	-	8										
Fla.	2,890	3,070	8,116	5	-	6,454	7,321	17	29	8	9										
E.S. CENTRAL	776	815	9,518	9	4	10,192	15,247	227	488	20	12										
Ky.	120	81	2,235	-	-	1,378	1,589	10	11	2	3										
Tenn.	283	347	4,096	N	4	3,548	4,661	192	475	9	5										
Ala.	244	230	2,989	2	-	4,655	5,964	1	2	-	3										
Miss.	129	157	198	3	-	611	3,033	24	-	9	1										
W.S. CENTRAL	2,096	2,220	4,448	11	4	6,775	11,413	126	76	2	6										
Ark.	97	86	-	5	2	916	1,707	1	1	-	1										
La.	559	360	2,388	N	2	2,732	4,197	58	43	-	2										
Okla.	55	100	2,060	1	-	1,299	10	38	20	2	3										
Tex.	1,385	1,674	-	1	-	1,828	5,499	29	12	-	-										
MOUNTAIN	648	818	5,480	31	15	2,400	3,248	211	160	10	48										
Mont.	8	8	-	-	-	10	30	8	7	1	2										
Idaho	10	22	571	11	4	32	46	62	22	-	1										
Wyo.	2	4	246	-	-	10	17	72	62	2	2										
Colo.	181	268	-	11	5	591	1,036	4	30	4	22										
N. Mex.	43	71	-	2	-	313	375	29	22	-	4										
Ariz.	197	201	3,737	N	6	1,210	1,170	25	7	2	5										
Utah	79	52	254	5	-	49	82	7	5	-	3										
Nev.	128	192	672	2	-	185	492	4	5	1	9										
PACIFIC	3,590	3,995	4,146	47	9	6,623	11,018	134	273	19	56										
Wash.	313	416	3,427	10	5	815	883	26	66	1	4										
Oreg.	189	158	-	12	-	143	165	3	18	-	-										
Calif.	3,025	3,280	-	21	-	5,351	9,432	44	179	18	47										
Alaska	10	39	N	-	-	192	299	2	1	-	-										
Hawaii	53	102	430	N	4	122	239	59	9	-	5										
Guam	3	-	90	N	-	22	32	-	-	-	-										
P.R.	423	952	N	N	U	98	199	16	52	-	-										
V.I.	6	19	N	N	U	-	14	-	-	-	-										
Amer. Samoa	-	-	-	N	U	-	8	-	-	-	-										
C.N.M.I.	-	-	N	N	U	11	10	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


