
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2009 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	53	51	105	213	349	8	8	23	18	37	112	242	303	616	828						
NEW ENGLAND	1	1	48	3	6	-	0	5	-	-	8	5	14	22	16						
Conn.	-	0	48	-	-	-	0	5	-	-	-	0	3	2	-						
Maine	-	0	2	-	2	-	0	1	-	-	-	0	2	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	7	4	11	16	13						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	4	1						
R.I.	-	0	2	-	3	-	0	1	-	-	-	0	5	-	2						
Vt.	1	0	2	3	1	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	1	4	13	6	26	-	0	2	-	1	29	34	52	122	123						
N.J.	-	0	0	-	-	-	0	0	-	-	3	4	10	10	15						
N.Y. (Upstate)	-	1	5	1	3	-	0	1	-	-	2	3	7	3	2						
N.Y. City	-	1	6	-	7	-	0	0	-	-	24	20	36	95	77						
Pa.	1	1	9	5	16	-	0	2	-	1	-	5	12	14	29						
E.N. CENTRAL	11	11	41	44	96	2	2	7	4	16	8	24	38	58	90						
Ill.	-	0	7	-	33	-	0	2	-	7	-	7	19	6	41						
Ind.	-	2	31	-	15	-	0	5	-	1	1	3	10	7	5						
Mich.	-	0	3	2	4	-	0	1	-	1	3	3	21	18	10						
Ohio	11	7	18	42	44	2	1	4	4	7	4	6	15	24	31						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	3	3						
W.N. CENTRAL	2	2	9	7	28	2	0	2	2	1	-	8	14	13	35						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
Kans.	1	1	5	1	10	1	0	1	1	1	-	0	5	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	1	7						
Mo.	1	1	5	6	18	1	0	1	1	-	-	4	10	11	27						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	1	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
S. ATLANTIC	35	22	53	129	142	4	3	13	10	12	12	55	106	138	124						
Del.	-	0	1	-	-	-	0	0	-	-	3	0	4	5	-						
D.C.	-	0	3	-	4	-	0	1	-	-	-	2	9	14	7						
Fla.	21	13	30	82	89	2	2	12	7	10	-	19	37	55	63						
Ga.	14	6	23	38	43	2	1	5	3	2	-	13	59	-	6						
Md.	-	0	2	1	1	-	0	1	-	-	-	7	14	10	16						
N.C.	N	0	0	N	N	N	0	0	N	N	9	5	19	41	15						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	3	9						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	10	8						
W. Va.	-	1	9	8	5	-	0	2	-	-	-	0	1	-	-						
E.S. CENTRAL	2	5	20	15	33	-	1	4	1	2	19	21	37	74	70						
Ala.	N	0	0	N	N	N	0	0	N	N	4	8	17	23	32						
Ky.	-	1	6	6	8	-	0	2	1	-	1	1	10	6	5						
Miss.	-	0	2	-	-	-	0	1	-	-	-	3	19	5	5						
Tenn.	2	3	18	9	25	-	0	3	-	2	14	8	19	40	28						
W.S. CENTRAL	1	2	7	7	10	-	0	2	1	3	33	42	62	143	145						
Ark.	-	0	4	5	-	-	0	1	1	-	10	3	19	29	6						
La.	1	1	6	2	10	-	0	1	-	3	-	10	31	7	28						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	4	14						
Tex.	-	0	0	-	-	-	0	0	-	-	23	27	46	103	97						
MOUNTAIN	-	1	11	-	7	-	0	4	-	1	2	9	16	8	39						
Ariz.	-	0	0	-	-	-	0	0	-	-	2	4	13	2	21						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	7	3	7						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	-	-						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	N	0	1	N	N	N	0	0	N	N	-	1	6	1	7						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	2	4						
Utah	-	1	10	-	7	-	0	4	-	1	-	0	1	-	-						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	1	44	64	38	186						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	-	40	58	27	162						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	4	3						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	3	3	2						
Wash.	N	0	0	N	N	N	0	0	N	N	-	3	9	4	19						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	8	3	11	12	1						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


