
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending November 10, 2012 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	220	277	426	11,799	11,084	-	3	10	164	211	6	51	350	3,541	2,021						
NEW ENGLAND	-	3	9	143	241	-	0	1	1	2	-	0	3	18	7						
Conn.	-	1	3	31	37	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	6	29	-	0	0	-	-	-	0	1	3	-						
Mass.	-	2	6	91	157	-	0	0	-	-	-	0	3	8	4						
N.H.	-	0	1	5	4	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	5	7	8	-	0	0	-	-	-	0	1	6	2						
Vt.	-	0	1	3	6	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	26	45	89	2,009	960	-	0	2	18	4	-	1	8	60	142						
N.J.	-	20	47	767	270	-	0	0	-	2	-	0	7	1	111						
N.Y. (Upstate)	24	12	41	626	254	-	0	1	3	2	-	0	3	11	6						
N.Y. City	-	12	28	512	330	-	0	0	-	-	-	0	2	15	11						
Pa.	2	2	7	104	106	-	0	2	15	-	-	1	4	33	14						
E.N. CENTRAL	61	24	111	1,930	819	-	0	3	23	8	-	3	14	214	104						
Ill.	-	5	13	211	238	-	0	1	7	-	-	1	11	139	50						
Ind.	-	1	17	141	73	-	0	3	15	3	-	1	6	53	24						
Mich.	-	3	14	163	165	-	0	0	-	-	-	0	1	2	3						
Ohio	61	14	94	1,337	278	-	0	1	1	3	-	0	2	20	18						
Wis.	-	1	11	78	65	-	0	0	-	2	-	0	0	-	9						
W.N. CENTRAL	2	8	32	448	333	-	0	6	17	20	1	6	33	474	265						
Iowa	2	0	13	74	17	-	0	0	-	-	-	0	1	7	6						
Kans.	-	2	9	109	57	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	75	-	0	0	-	-	-	0	1	-	10						
Mo.	-	1	7	77	165	-	0	5	15	12	1	6	33	461	244						
Nebr.	-	1	22	171	14	-	0	1	1	5	-	0	1	5	5						
N. Dak.	-	0	2	6	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	3	11	5	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	48	59	135	2,637	3,396	-	1	8	63	121	2	14	144	1,004	506						
Del.	-	0	4	18	6	-	0	0	-	-	-	0	2	24	20						
D.C.	-	0	6	17	22	-	0	0	-	1	-	0	1	1	2						
Fla.	26	35	66	1,605	2,286	-	0	1	3	2	-	0	3	28	6						
Ga.	15	13	21	570	569	-	1	4	39	87	-	0	0	-	-						
Md.	5	4	15	214	87	-	0	0	-	3	1	0	3	27	25						
N.C.	1	2	10	115	198	-	0	4	10	14	-	1	133	475	235						
S.C.	-	0	54	18	130	-	0	1	7	11	-	0	5	35	21						
Va.	1	1	6	78	93	-	0	1	4	3	1	5	35	413	193						
