
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2003 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	8,129	10,083	211,019	225,819	1,036	1,074	439	626	-	-											
NEW ENGLAND	277	314	7,312	7,657	-	-	24	26	-	-											
Maine	-	1	249	411	N	N	2	-	-	-											
N.H.	5	8	396	468	-	-	-	6	-	-											
Vt.	5	5	308	219	-	-	5	5	-	-											
Mass.	49	173	3,065	2,981	-	-	11	8	-	-											
R.I.	30	34	903	780	-	-	4	4	-	-											
Conn.	188	93	2,391	2,798	N	N	2	3	-	-											
MID. ATLANTIC	1,909	2,082	19,865	25,072	-	-	48	91	-	-											
Upstate N.Y.	93	145	4,945	4,013	N	N	17	16	-	-											
N.Y. City	1,108	1,281	5,527	8,619	-	-	12	39	-	-											
N.J.	230	391	2,776	3,763	-	-	3	6	-	-											
Pa.	478	265	6,617	8,677	N	N	16	30	-	-											
E.N. CENTRAL	708	963	34,040	40,044	2	6	86	179	-	-											
Ohio	111	191	7,458	10,957	-	-	17	40	-	-											
Ind.	121	133	4,719	4,844	N	N	7	16	-	-											
Ill.	271	475	10,433	10,743	-	1	8	33	-	-											
Mich.	168	116	7,240	8,713	2	5	24	34	-	-											
Wis.	37	48	4,190	4,787	-	-	30	56	-	-											
W.N. CENTRAL	148	144	13,110	12,503	-	-	46	55	-	-											
Minn.	23	27	2,499	2,982	N	N	27	18	-	-											
Iowa	20	32	1,243	1,159	N	N	7	5	-	-											
Mo.	77	46	4,963	4,169	-	-	2	10	-	-											
N. Dak.	-	-	372	339	N	N	2	5	-	-											
S. Dak.	3	2	715	618	-	-	6	3	-	-											
Nebr.	8	16	1,237	1,095	-	-	2	11	-	-											
Kans.	17	21	2,081	2,141	N	N	-	3	-	-											
S. ATLANTIC	2,216	3,477	42,772	42,475	1	-	83	123	-	-											
Del.	30	57	890	772	N	N	1	1	-	-											
Md.	47	419	4,593	4,364	1	-	7	3	-	-											
D.C.	163	152	741	962	-	-	-	3	-	-											
Va.	216	229	4,871	4,860	-	-	7	1	-	-											
W. Va.	5	19	721	684	N	N	-	1	-	-											
N.C.	211	260	6,713	5,895	N	N	10	15	-	-											
S.C.	160	253	3,973	4,006	-	-	1	2	-	-											
Ga.	220	649	9,212	9,107	-	-	37	62	-	-											
Fla.	1,164	1,439	11,058	11,825	N	N	20	35	-	-											
E.S. CENTRAL	339	404	14,647	15,316	N	N	29	32	-	-											
Ky.	10	46	2,463	2,564	N	N	6	1	-	-											
Tenn.	170	185	5,328	4,734	N	N	7	17	-	-											
Ala.	73	85	3,731	4,814	-	-	14	12	-	-											
Miss.	86	88	3,125	3,204	N	N	2	2	-	-											
W.S. CENTRAL	1,005	1,047	28,300	30,879	-	-	11	11	-	-											
Ark.	34	58	1,707	1,999	-	-	1	3	-	-											
La.	133	258	4,369	5,178	N	N	-	2	-	-											
Okla.	49	48	2,436	2,932	N	N	3	2	-	-											
Tex.	789	683	19,788	20,770	-	-	7	4	-	-											
MOUNTAIN	351	313	11,776	13,839	760	683	22	32	-	-											
Mont.	6	4	410	634	N	N	2	1	-	-											
Idaho	-	6	740	666	N	N	4	10	-	-											
Wyo.	1	3	295	246	-	-	1	4	-	-											
Colo.	76	63	2,290	4,012	N	N	5	6	-	-											
N. Mex.	27	11	818	2,347	-	4	-	3	-	-											
Ariz.	168	133	4,497	4,172	748	668	3	4	-	-											
Utah	42	18	1,178	9	1	2	5	1	-	-											
Nev.	31	75	1,548	1,753	11	9	2	3	-	-											
PACIFIC	1,176	1,339	39,197	38,034	273	385	90	77	-	-											
Wash.	89	141	4,234	3,924	N	N	-	-	-	-											
Oreg.	50	127	2,040	1,887	-	-	8	11	-	-											
Calif.	1,026	1,053	30,734	30,031	273	385	82	65	-	-											
Alaska	8	2	978	1,001	-	-	-	-	-	-											
Hawaii	3	16	1,211	1,191	-	-	-	1	-	-											
Guam	1	-	-	-	-	-	-	-	-	-											
P.R.	58	273	247	13	N	N	N	N	-	-											
V.I.	2	51	-	55	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


