
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2013 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	32	214	370	224	1,016	-	4	321	-	-	-	2	338	-	-						
NEW ENGLAND	3	20	49	25	107	-	0	8	-	-	-	0	5	-	-						
Conn.	3	5	10	21	25	-	0	2	-	-	-	0	3	-	-						
Maine	-	3	22	2	22	-	0	1	-	-	-	0	0	-	-						
Mass.	-	10	21	-	48	-	0	7	-	-	-	0	3	-	-						
N.H.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	9	-	1	-	0	1	-	-	-	0	1	-	-						
Vt.	-	2	13	2	11	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	7	20	56	44	97	-	0	16	-	-	-	0	17	-	-						
N.J.	-	6	25	-	36	-	0	5	-	-	-	0	4	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	6	-	-	-	0	8	-	-						
N.Y. City	-	0	0	-	-	-	0	5	-	-	-	0	2	-	-						
Pa.	7	15	35	44	61	-	0	4	-	-	-	0	3	-	-						
E.N. CENTRAL	19	61	126	116	279	-	0	90	-	-	-	0	42	-	-						
Ill.	-	16	36	24	90	-	0	31	-	-	-	0	18	-	-						
Ind.	-	8	26	5	22	-	0	8	-	-	-	0	6	-	-						
Mich.	4	17	45	28	80	-	0	32	-	-	-	0	13	-	-						
Ohio	15	16	33	51	87	-	0	19	-	-	-	0	12	-	-						
Wis.	-	0	7	8	-	-	0	11	-	-	-	0	5	-	-						
W.N. CENTRAL	-	6	26	-	77	-	0	36	-	-	-	0	57	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Kans.	-	0	14	-	38	-	0	3	-	-	-	0	6	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	-	5	24	-	35	-	0	3	-	-	-	0	1	-	-						
Nebr.	-	0	3	-	1	-	0	8	-	-	-	0	23	-	-						
N. Dak.	-	0	5	-	1	-	0	9	-	-	-	0	11	-	-						
S. Dak.	-	0	3	-	2	-	0	17	-	-	-	0	27	-	-						
S. ATLANTIC	-	23	76	7	138	-	0	20	-	-	-	0	19	-	-						
Del.	-	0	1	-	1	-	0	1	-	-	-	0	2	-	-						
D.C.	-	0	4	-	1	-	0	3	-	-	-	0	1	-	-						
Fla.	-	12	50	-	81	-	0	5	-	-	-	0	5	-	-						
Ga.	-	1	9	4	-	-	0	6	-	-	-	0	10	-	-						
Md.	N	0	0	N	N	-	0	5	-	-	-	0	5	-	-						
N.C.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
S.C.	-	0	2	-	-	-	0	5	-	-	-	0	2	-	-						
Va.	-	7	17	1	26	-	0	4	-	-	-	0	3	-	-						
W. Va.	-	3	12	2	29	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	3	13	3	18	-	0	20	-	-	-	0	21	-	-						
Ala.	-	3	12	3	15	-	0	7	-	-	-	0	3	-	-						
Ky.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
Miss.	-	0	1	-	3	-	0	12	-	-	-	0	17	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	2	43	98	17	153	-	1	144	-	-	-	1	163	-	-						
Ark.	-	3	17	-	12	-	0	9	-	-	-	0	3	-	-						
La.	-	1	7	3	15	-	0	18	-	-	-	0	26	-	-						
Okla.	N	0	0	N	N	-	0	24	-	-	-	0	22	-	-						
Tex.	2	40	94	14	126	-	1	104	-	-	-	1	128	-	-						
MOUNTAIN	-	28	61	8	139	-	0	37	-	-	-	0	22	-	-						
Ariz.	-	8	20	-	56	-	0	10	-	-	-	0	6	-	-						
Colo.	-	8	25	-	34	-	0	17	-	-	-	0	13	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	3	-	-						
Mont.	-	2	8	3	11	-	0	1	-	-	-	0	2	-	-						
Nev.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	1	8	-	12	-	0	9	-	-	-	0	5	-	-						
Utah	-	5	15	5	24	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	2	-	2	-	0	1	-	-	-	0	2	-	-						
PACIFIC	1	2	8	4	8	-	0	31	-	-	-	0	26	-	-						
Alaska	1	1	4	4	1	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	3	-	4	-	0	31	-	-	-	0	25	-	-						
Hawaii	-	1	3	-	3	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Wash.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	6	-	17	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


