
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2006 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	49	49	124	840	854	74	171	299	1,683	1,828	901	638	2,988	12,424	6,982						
NEW ENGLAND	-	1	14	7	43	5	4	17	45	47	12	35	1,130	350	824						
Conn.	U	0	0	U	U	-	0	11	4	1	U	0	0	U	U						
Maine	N	0	0	N	N	-	0	2	3	1	2	6	20	85	88						
Mass.	-	1	6	-	40	3	2	5	31	40	-	18	86	2	719						
N.H.	-	0	0	-	-	-	0	2	4	2	7	5	1,110	95	-						
R.I.	-	0	9	1	-	2	0	6	3	3	-	0	0	-	-						
Vt.	-	0	2	6	3	-	0	1	-	-	3	3	25	168	17						
MID. ATLANTIC	6	2	14	37	86	10	20	33	164	238	106	117	182	1,629	1,320						
N.J.	N	0	0	N	N	3	2	7	38	33	-	0	0	-	-						
N.Y. (Upstate)	4	1	10	9	35	1	2	15	31	14	-	0	0	-	-						
N.Y. City	U	0	0	U	U	2	11	21	45	155	-	0	0	-	-						
Pa.	2	2	9	28	51	4	4	8	50	36	106	117	182	1,629	1,320						
E.N. CENTRAL	13	12	37	214	187	13	19	42	217	125	380	148	533	5,094	1,992						
Ill.	-	0	2	7	-	5	9	32	85	34	-	1	5	4	22						
Ind.	7	3	19	50	51	2	1	5	20	15	N	0	347	N	N						
Mich.	-	1	4	9	14	3	2	8	39	16	81	86	231	1,456	1,235						
Ohio	6	7	32	148	122	3	4	11	61	53	299	33	382	3,530	559						
Wis.	N	0	0	N	N	-	1	3	12	7	-	7	27	104	176						
W.N. CENTRAL	-	1	15	15	13	2	5	9	41	58	60	15	73	557	41						
Iowa	N	0	0	N	N	-	0	1	2	3	N	0	0	N	N						
Kans.	N	0	0	N	N	1	0	2	7	5	-	0	0	-	-						
Minn.	-	0	15	-	-	-	1	5	6	12	-	0	0	-	-						
Mo.	-	0	3	15	12	1	2	8	25	37	58	11	72	528	2						
Nebr.	-	0	1	-	-	-	0	1	1	1	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	13	9						
S. Dak.	-	0	1	-	1	-	0	1	-	-	2	1	23	16	30						
S. ATLANTIC	24	21	42	436	371	27	43	178	436	431	92	53	810	1,242	639						
Del.	-	0	2	-	-	1	0	2	8	2	-	1	5	24	7						
D.C.	1	0	4	14	10	-	2	9	24	29	-	0	6	6	5						
Fla.	15	11	34	246	194	9	15	29	174	181	-	0	0	-	-						
Ga.	5	5	19	145	141	2	8	137	33	52	-	0	0	-	-						
Md.	-	0	0	-	-	8	5	19	67	72	-	0	0	-	-						
N.C.	N	0	0	N	N	4	5	17	75	58	-	0	0	-	-						
S.C.	-	0	0	-	-	-	1	7	18	16	4	12	43	240	158						
Va.	N	0	0	N	N	3	3	12	37	20	59	13	790	450	54						
W. Va.	3	2	10	31	26	-	0	1	-	1	29	19	70	522	415						
E.S. CENTRAL	4	4	14	71	51	9	10	20	141	114	-	0	0	-	-						
Ala.	N	0	0	N	N	7	3	12	76	53	-	0	0	-	-						
Ky.	1	0	5	9	9	-	1	5	11	6	N	0	0	N	N						
Miss.	-	0	0	-	-	-	0	5	11	15	-	0	0	-	-						
Tenn.	3	3	13	62	42	2	4	11	43	40	N	0	0	N	N						
