
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 16, 2000 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	816	853	7,990	11,624	4,716	5,005	1	49	-	17	66	67									
NEW ENGLAND	58	62	227	212	46	113	-	2	-	4	6	11									
Maine	1	5	14	5	5	1	-	-	-	-	-	-									
N.H.	12	11	18	11	14	10	-	2	-	1	3	1									
Vt.	5	5	8	8	6	2	-	-	-	3	3	-									
Mass.	24	26	81	79	7	38	U	-	U	-	-	8									
R.I.	4	1	19	14	14	26	-	-	-	-	-	-									
Conn.	12	14	87	95	-	36	-	-	-	-	-	2									
MID. ATLANTIC	137	149	772	830	663	626	-	14	-	5	19	5									
Upstate N.Y.	73	60	150	183	97	139	-	9	-	-	9	2									
N.Y. City	28	46	238	264	314	188	-	5	-	4	9	3									
N.J.	27	38	118	98	83	95	U	-	U	-	-	-									
Pa.	9	5	266	285	169	204	-	-	-	1	1	-									
E.N. CENTRAL	114	143	965	2,183	507	526	-	8	-	-	8	2									
Ohio	42	49	205	485	82	74	-	2	-	-	2	-									
Ind.	25	20	70	77	36	34	-	-	-	-	-	1									
Ill.	40	59	345	544	90	44	-	4	-	-	4	-									
Mich.	7	11	332	1,022	298	347	-	2	-	-	2	1									
Wis.	-	4	13	55	1	27	-	-	-	-	-	-									
W.N. CENTRAL	46	55	664	566	551	194	-	2	-	1	3	-									
Minn.	24	35	163	58	27	37	-	-	-	1	1	-									
Iowa	-	2	62	106	34	28	-	2	-	-	2	-									
Mo.	13	5	321	338	435	107	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	3	4	27	40	33	15	-	-	-	-	-	-									
Kans.	4	6	87	14	19	6	-	-	-	-	-	-									
S. ATLANTIC	215	187	1,042	1,336	881	822	1	3	-	-	3	5									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	57	49	168	228	87	112	-	-	-	-	-	-									
D.C.	-	4	20	53	27	19	-	-	-	-	-	-									
Va.	31	14	108	113	111	67	-	2	-	-	2	3									
W. Va.	6	6	51	30	10	20	-	-	-	-	-	-									
N.C.	19	28	112	110	165	182	-	-	-	-	-	-									
S.C.	11	5	45	30	13	57	-	-	-	-	-	-									
Ga.	54	51	190	349	155	113	-	-	-	-	-	-									
Fla.	37	30	348	421	313	251	1	1	-	-	1	2									
E.S. CENTRAL	38	51	304	294	336	352	-	-	-	-	-	2									
Ky.	12	6	35	54	57	33	-	-	-	-	-	2									
Tenn.	18	27	111	118	166	176	-	-	-	-	-	-									
Ala.	7	15	46	43	37	72	-	-	-	-	-	-									
Miss.	1	3	112	79	76	71	U	-	U	-	-	-									
W.S. CENTRAL	47	52	1,246	2,303	517	889	-	-	-	-	-	7									
Ark.	2	2	103	35	69	54	-	-	-	-	-	-									
La.	7	12	30	173	52	141	-	-	-	-	-	-									
Okla.	36	34	207	394	112	113	-	-	-	-	-	-									
Tex.	2	4	906	1,701	284	581	-	-	-	-	-	7									
MOUNTAIN	77	70	718	935	375	434	-	11	-	1	12	1									
Mont.	1	1	5	17	6	17	-	-	-	-	-	-									
Idaho	3	1	19	33	7	23	-	-	-	-	-	-									
Wyo.	1	1	39	7	24	12	-	-	-	-	-	-									
Colo.	11	11	149	175	65	73	-	1	-	1	2	-									
N. Mex.	17	18	60	38	76	140	-	-	-	-	-	-									
Ariz.	36	30	358	522	147	104	-	-	-	-	-	1									
Utah	7	5	40	37	17	25	-	3	-	-	3	-									
Nev.	1	3	48	106	33	40	-	7	-	-	7	-									
PACIFIC	84	84	2,052	2,965	840	1,049	-	9	-	6	15	34									
Wash.	5	3	202	226	72	50	-	2	-	1	3	5									
Oreg.	22	30	139	190	73	80	-	-	-	-	-	12									
Calif.	28	40	1,689	2,524	677	895	-	5	-	3	8	16									
Alaska	6	5	9	7	8	13	-	1	-	-	1	-									
Hawaii	23	6	13	18	10	11	-	1	-	2	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	3	2	191	228	187	162	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


