
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending May 13, 2006 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	33	291	1,903	1,711	2,353	10	26	124	331	408											
NEW ENGLAND	-	60	780	88	282	1	1	12	13	21											
Conn.	-	8	753	47	24	-	0	10	1	-											
Maine	-	2	26	15	17	-	0	1	2	1											
Mass.	-	19	205	1	217	1	0	3	7	16											
N.H.	-	5	21	20	19	-	0	1	2	2											
R.I.	-	0	12	-	3	-	0	8	-	2											
Vt.	-	1	5	5	2	-	0	1	1	-											
MID. ATLANTIC	22	160	929	1,201	1,380	-	6	15	47	108											
N.J.	1	25	311	205	458	-	1	7	-	28											
N.Y. (Upstate)	17	73	900	611	246	-	1	11	9	19											
N.Y. City	-	4	33	-	76	-	3	8	27	49											
Pa.	4	47	397	385	600	-	1	2	11	12											
E.N. CENTRAL	-	14	160	60	138	-	3	8	37	43											
Ill.	-	1	13	-	7	-	1	5	9	24											
Ind.	-	0	4	2	2	-	0	3	5	3											
Mich.	-	1	7	9	1	-	0	2	6	8											
Ohio	-	1	5	13	18	-	1	3	12	3											
Wis.	-	10	145	36	110	-	0	3	5	5											
W.N. CENTRAL	2	11	99	44	60	1	0	32	20	18											
Iowa	-	0	8	2	12	-	0	1	1	2											
Kans.	-	0	1	-	1	-	0	1	-	2											
Minn.	2	7	96	40	45	-	0	30	14	5											
Mo.	-	0	2	1	2	1	0	2	3	9											
Nebr.	-	0	2	1	-	-	0	2	-	-											
N. Dak.	-	0	1	-	-	-	0	1	1	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	5	33	124	249	436	3	6	16	105	87											
Del.	1	9	37	105	174	-	0	1	2	1											
D.C.	-	0	2	7	3	-	0	2	-	2											
Fla.	-	1	5	12	10	2	1	6	20	16											
Ga.	-	0	1	-	1	1	1	6	31	14											
Md.	3	16	87	109	195	-	1	9	22	29											
N.C.	-	0	5	8	18	-	0	8	10	13											
S.C.	1	0	3	2	7	-	0	2	3	3											
Va.	-	3	22	6	28	-	1	9	16	8											
W. Va.	-	0	44	-	-	-	0	2	1	1											
E.S. CENTRAL	-	0	4	1	7	-	0	3	7	8											
Ala.	-	0	1	-	-	-	0	1	3	3											
Ky.	-	0	2	-	-	-	0	2	1	1											
Miss.	-	0	0	-	-	-	0	1	1	-											
Tenn.	-	0	4	1	7	-	0	2	2	4											
W.S. CENTRAL	-	0	7	1	26	1	1	30	19	33											
Ark.	-	0	1	-	2	1	0	2	1	2											
La.	-	0	0	-	3	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	2	2											
Tex.	-	0	7	1	21	-	1	29	16	28											
MOUNTAIN	-	0	4	2	2	-	1	9	16	16											
Ariz.	-	0	4	2	-	-	0	9	4	2											
Colo.	-	0	0	-	-	-	0	3	4	8											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	1	1	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	1	-	0	2	7	4											
Wyo.	-	0	1	-	1	-	0	1	-	1											
PACIFIC	4	3	18	65	22	4	4	12	67	74											
Alaska	-	0	1	-	1	-	0	2	6	2											
Calif.	4	2	18	65	19	4	2	10	49	63											
Hawaii	N	0	0	N	N	-	0	4	-	4											
Oreg.	-	0	3	-	2	-	0	2	4	2											
Wash.	-	0	3	-	-	-	0	5	8	3											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


