
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	-	1	329	10,521	17,888	42	53	-	-												
NEW ENGLAND	-	-	23	213	210	-	2	-	-												
Maine	-	-	10	5	1	-	-	-	-												
N.H.	-	-	1	4	4	-	-	-	-												
Vt.	-	-	6	5	10	-	-	-	-												
Mass.	-	-	4	155	40	-	2	-	-												
R.I.	-	-	-	44	38	-	-	-	-												
Conn.	-	-	2	-	117	-	-	-	-												
MID. ATLANTIC	-	-	55	860	1,441	13	16	-	-												
Upstate N.Y.	-	-	16	107	119	6	4	-	-												
N.Y. City	-	-	7	491	585	5	4	-	-												
N.J.	-	-	-	-	274	-	8	-	-												
Pa.	-	-	32	262	463	2	-	-	-												
E.N. CENTRAL	-	-	83	1,643	3,605	10	11	-	-												
Ohio	-	-	41	151	1,265	10	4	-	-												
Ind.	-	-	-	84	325	-	-	-	-												
Ill.	-	-	11	547	1,218	-	4	-	-												
Mich.	-	-	27	818	439	-	1	-	-												
Wis.	-	-	4	43	358	-	2	-	-												
W.N. CENTRAL	-	-	32	98	834	-	1	-	-												
Minn.	-	-	4	70	167	-	-	-	-												
Iowa	-	-	7	-	12	-	-	-	-												
Mo.	-	-	12	15	419	-	1	-	-												
N. Dak.	-	-	-	-	1	-	-	-	-												
S. Dak.	-	-	3	13	14	-	-	-	-												
Nebr.	-	-	-	-	59	-	-	-	-												
Kans.	-	-	6	-	162	-	-	-	-												
S. ATLANTIC	-	-	51	2,756	4,735	13	17	-	-												
Del.	-	-	4	114	73	-	-	-	-												
Md.	-	-	8	436	509	3	-	-	-												
D.C.	-	-	5	92	187	-	-	-	-												
Va.	-	-	-	414	332	-	1	-	-												
W. Va.	-	-	-	40	21	-	1	-	-												
N.C.	-	-	-	378	796	3	5	-	-												
S.C.	-	-	-	252	1,377	-	-	-	-												
Ga.	-	-	34	269	625	7	7	-	-												
Fla.	-	-	-	761	815	-	3	-	-												
E.S. CENTRAL	-	1	11	1,590	1,820	-	1	-	-												
Ky.	-	1	-	187	172	-	-	-	-												
Tenn.	-	-	3	628	554	-	-	-	-												
Ala.	-	-	8	592	625	-	1	-	-												
Miss.	-	-	-	183	469	-	-	-	-												
W.S. CENTRAL	-	-	4	2,212	3,025	-	-	-	-												
Ark.	-	-	4	-	380	-	-	-	-												
La.	-	-	-	626	703	-	-	-	-												
Okla.	-	-	-	252	245	-	-	-	-												
Tex.	-	-	-	1,334	1,697	-	-	-	-												
MOUNTAIN	-	-	30	369	599	1	4	-	-												
Mont.	-	-	1	5	1	-	-	-	-												
Idaho	-	-	1	6	7	-	-	-	-												
Wyo.	-	-	-	3	7	-	-	-	-												
Colo.	-	-	22	124	254	1	2	-	-												
N. Mex.	-	-	5	25	63	-	2	-	-												
Ariz.	-	-	-	198	162	-	-	-	-												
Utah	-	-	1	8	2	-	-	-	-												
Nev.	-	-	-	-	103	-	-	-	-												
PACIFIC	-	-	40	780	1,619	5	1	-	-												
Wash.	-	-	4	180	164	-	-	-	-												
Oreg.	-	-	31	-	52	3	-	-	-												
Calif.	-	-	-	571	1,357	-	1	-	-												
Alaska	-	-	1	16	13	-	-	-	-												
Hawaii	-	-	4	13	33	2	-	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	61	-	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	-	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


