
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 23, 1999 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	943	883	12,405	18,126	5,122	7,815	1	53	-	22	75	77									
NEW ENGLAND	77	62	228	237	78	174	-	6	-	5	11	3									
Maine	5	3	11	16	1	2	-	-	-	-	-	-									
N.H.	17	10	15	11	13	16	U	-	U	1	1	-									
Vt.	5	7	17	14	2	8	-	-	-	-	-	1									
Mass.	28	36	70	106	33	64	-	5	-	3	8	2									
R.I.	5	5	16	14	29	58	-	-	-	-	-	-									
Conn.	17	1	99	76	-	26	-	1	-	1	2	-									
MID. ATLANTIC	142	140	768	1,423	520	1,021	-	-	-	2	2	14									
Upstate N.Y.	70	47	222	295	156	197	-	-	-	2	2	2									
N.Y. City	31	39	233	500	161	360	-	-	-	-	-	-									
N.J.	40	47	64	299	41	175	-	-	-	-	-	8									
Pa.	1	7	249	329	162	289	-	-	-	-	-	4									
E.N. CENTRAL	147	150	2,345	2,920	536	1,190	-	1	-	1	2	15									
Ohio	51	45	559	263	81	66	-	-	-	-	-	1									
Ind.	21	36	94	128	36	93	-	1	-	-	1	3									
Ill.	62	53	545	659	1	202	-	-	-	-	-	-									
Mich.	13	9	1,104	1,701	413	383	-	-	-	1	1	10									
Wis.	-	7	43	169	5	446	-	-	-	-	-	1									
W.N. CENTRAL	79	80	640	1,196	253	334	-	1	-	-	1	-									
Minn.	38	62	63	110	41	41	-	1	-	-	1	-									
Iowa	9	2	118	383	33	50	-	-	-	-	-	-									
Mo.	23	9	358	556	137	197	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	9	28	1	2	-	-	-	-	-	-									
Nebr.	3	1	50	25	14	18	-	-	-	-	-	-									
Kans.	4	6	40	91	27	22	-	-	-	-	-	-									
S. ATLANTIC	210	158	1,668	1,568	1,002	811	1	10	-	5	15	8									
Del.	-	-	2	3	1	3	-	-	-	-	-	1									
Md.	55	50	301	338	142	115	-	-	-	-	-	1									
D.C.	4	-	54	55	21	11	-	-	-	-	-	-									
Va.	16	16	142	174	75	84	1	10	-	3	13	2									
W. Va.	6	6	32	6	22	8	-	-	-	-	-	-									
N.C.	29	23	134	99	194	173	-	-	-	-	-	-									
S.C.	5	3	41	33	63	33	-	-	-	-	-	-									
Ga.	55	35	406	501	146	127	-	-	-	-	-	2									
Fla.	40	25	556	359	338	257	U	-	U	2	2	2									
E.S. CENTRAL	52	50	326	336	345	412	-	2	-	-	2	2									
Ky.	6	7	55	27	36	40	-	2	-	-	2	-									
Tenn.	28	29	142	193	166	230	-	-	-	-	-	1									
Ala.	15	12	47	61	74	65	-	-	-	-	-	1									
Miss.	3	2	82	55	69	77	-	-	-	-	-	-									
W.S. CENTRAL	45	48	2,360	3,209	722	1,724	-	6	-	4	10	-									
Ark.	2	-	43	74	49	91	-	1	-	-	1	-									
La.	7	20	73	85	77	127	U	-	U	-	-	-									
Okla.	32	25	389	491	108	71	-	-	-	-	-	-									
Tex.	4	3	1,855	2,559	488	1,435	-	5	-	4	9	-									
MOUNTAIN	96	97	1,083	2,714	487	693	-	3	-	-	3	-									
Mont.	2	-	17	87	17	5	-	-	-	-	-	-									
Idaho	1	-	36	221	25	38	-	-	-	-	-	-									
Wyo.	1	1	7	33	12	9	-	-	-	-	-	-									
Colo.	11	21	189	271	79	89	-	-	-	-	-	-									
N. Mex.	18	6	43	126	152	271	-	-	-	-	-	-									
Ariz.	52	46	630	1,617	129	149	-	1	-	-	1	-									
Utah	8	4	45	164	29	62	-	2	-	-	2	-									
Nev.	3	19	116	195	44	70	-	-	-	-	-	-									
PACIFIC	95	98	2,987	4,523	1,179	1,456	-	24	-	5	29	35									
Wash.	4	8	270	857	56	87	-	-	-	-	-	1									
Oreg.	38	37	216	357	81	154	-	9	-	-	9	-									
Calif.	40	43	2,480	3,242	1,016	1,190	-	15	-	4	19	7									
Alaska	6	3	9	16	14	12	-	-	-	-	-	27									
Hawaii	7	7	12	51	12	13	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	58	102	203	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


