
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 25, 1998 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,653	2,145	5	266	376	71	2,519	2,946	2	287	121										
NEW ENGLAND	75	134	-	1	7	17	456	592	-	36	1										
Maine	5	15	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	-	39	69	-	-	-										
Vt.	1	2	-	-	-	2	44	180	-	-	-										
Mass.	37	70	-	1	2	11	338	314	-	6	1										
R.I.	3	9	-	-	4	-	5	12	-	1	-										
Conn.	25	26	-	-	1	4	25	11	-	29	-										
MID. ATLANTIC	152	225	-	16	43	4	298	225	2	121	29										
Upstate N.Y.	38	62	-	3	9	3	149	83	-	107	5										
N.Y. City	18	40	-	4	3	1	9	53	2	9	24										
N.J.	41	43	-	1	7	-	5	11	-	4	-										
Pa.	55	80	-	8	24	-	135	78	-	1	-										
E.N. CENTRAL	251	318	3	46	47	4	216	284	-	-	5										
Ohio	92	116	1	20	18	3	79	85	-	-	-										
Ind.	46	35	-	5	4	-	68	33	-	-	-										
Ill.	60	91	1	3	8	-	16	35	-	-	1										
Mich.	29	47	1	18	14	1	36	31	-	-	-										
Wis.	24	29	-	-	3	-	17	100	-	-	4										
W.N. CENTRAL	140	162	-	20	12	17	210	172	-	27	-										
Minn.	25	29	-	10	5	15	130	108	-	-	-										
Iowa	23	37	-	6	6	-	40	9	-	-	-										
Mo.	53	70	-	3	-	-	16	31	-	2	-										
N. Dak.	2	1	-	1	-	-	-	1	-	-	-										
S. Dak.	6	4	-	-	-	1	6	3	-	-	-										
Nebr.	7	6	-	-	1	1	8	4	-	-	-										
Kans.	24	15	-	-	-	-	10	16	-	25	-										
S. ATLANTIC	292	362	-	37	45	6	147	262	-	8	56										
Del.	1	5	-	-	-	-	2	-	-	-	-										
Md.	23	35	-	-	1	-	29	82	-	-	-										
D.C.	-	5	-	-	-	-	1	3	-	-	-										
Va.	24	35	-	5	7	-	7	32	-	-	1										
W. Va.	9	14	-	-	-	-	1	5	-	-	-										
N.C.	42	69	-	9	7	-	50	73	-	5	49										
S.C.	41	40	-	4	10	1	17	11	-	-	6										
Ga.	64	72	-	1	6	-	6	8	-	-	-										
Fla.	88	87	-	18	14	5	34	48	-	3	-										
E.S. CENTRAL	116	155	-	1	19	2	58	60	-	-	1										
Ky.	17	38	-	-	3	-	22	16	-	-	-										
Tenn.	45	54	-	1	3	1	19	23	-	-	-										
Ala.	54	46	-	-	6	1	17	15	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	190	200	-	40	44	-	181	110	-	77	3										
Ark.	23	25	-	-	1	-	26	8	-	-	-										
La.	39	43	-	8	11	-	2	12	-	-	-										
Okla.	29	23	-	-	-	-	18	15	-	-	-										
Tex.	99	109	-	32	32	-	135	75	-	77	3										
MOUNTAIN	91	124	1	24	48	17	553	742	-	5	5										
Mont.	3	7	-	-	-	-	3	9	-	-	-										
Idaho	4	8	-	3	2	-	194	455	-	-	1										
Wyo.	4	1	-	1	1	-	7	5	-	-	-										
Colo.	19	33	1	6	3	9	120	194	-	-	-										
N. Mex.	16	20	N	N	N	2	69	39	-	1	-										
Ariz.	32	31	-	5	31	4	118	20	-	1	4										
Utah	10	11	-	3	6	2	30	10	-	2	-										
Nev.	3	13	U	6	5	U	12	10	U	1	-										
PACIFIC	346	465	1	81	111	4	400	499	-	13	21										
Wash.	47	55	-	6	13	-	153	210	-	9	5										
Oreg.	55	92	N	N	N	2	29	22	-	-	-										
Calif.	239	315	1	60	81	2	211	250	-	2	8										
Alaska	1	1	-	2	5	-	2	4	-	-	-										
Hawaii	4	2	-	13	12	-	5	13	-	2	8										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	6	8	-	1	5	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


