
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	55	213	370	299	1,297	-	4	321	-	-	-	3	338	-	-						
NEW ENGLAND	-	20	49	25	136	-	0	8	-	-	-	0	5	-	-						
Conn.	-	5	10	21	27	-	0	2	-	-	-	0	3	-	-						
Maine	-	3	22	2	31	-	0	1	-	-	-	0	0	-	-						
Mass.	-	10	21	-	61	-	0	7	-	-	-	0	3	-	-						
N.H.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	9	-	3	-	0	1	-	-	-	0	1	-	-						
Vt.	-	2	13	2	14	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	14	19	56	58	123	-	0	16	-	-	-	0	17	-	-						
N.J.	-	5	25	-	42	-	0	5	-	-	-	0	4	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	6	-	-	-	0	8	-	-						
N.Y. City	-	0	0	-	-	-	0	5	-	-	-	0	2	-	-						
Pa.	14	15	35	58	81	-	0	4	-	-	-	0	3	-	-						
E.N. CENTRAL	36	59	126	161	344	-	0	90	-	-	-	0	42	-	-						
Ill.	-	16	36	24	104	-	0	31	-	-	-	0	18	-	-						
Ind.	-	8	26	5	38	-	0	8	-	-	-	0	6	-	-						
Mich.	3	16	45	40	95	-	0	32	-	-	-	0	13	-	-						
Ohio	33	15	33	84	107	-	0	19	-	-	-	0	12	-	-						
Wis.	-	0	7	8	-	-	0	11	-	-	-	0	5	-	-						
W.N. CENTRAL	-	6	26	5	98	-	0	36	-	-	-	0	58	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Kans.	-	0	14	-	48	-	0	3	-	-	-	0	6	-	-						
