
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 20, 2005 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,421	1,333	3	9	74	74	138	129													
NEW ENGLAND	110	119	-	1	10	7	4	1													
Maine	5	9	-	-	-	-	1	-													
N.H.	5	14	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	50	58	-	1	3	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	37	30	-	-	5	3	-	-													
MID. ATLANTIC	271	278	-	1	-	4	35	32													
Upstate N.Y.	79	94	-	1	-	4	7	5													
N.Y. City	49	64	-	-	-	-	10	12													
N.J.	49	51	-	-	-	-	8	2													
Pa.	94	69	-	-	-	-	10	13													
E.N. CENTRAL	211	248	1	-	3	8	13	38													
Ohio	91	72	-	-	-	2	9	12													
Ind.	51	37	-	-	3	4	-	1													
Ill.	35	86	-	-	-	-	3	20													
Mich.	13	15	1	-	-	2	-	3													
Wis.	21	38	-	-	-	-	1	2													
W.N. CENTRAL	84	72	-	2	3	3	10	6													
Minn.	32	33	-	1	3	3	1	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	35	25	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	7	4	-	-	-	-	1	1													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	344	301	1	-	21	20	19	22													
Del.	-	-	-	-	-	-	-	-													
Md.	49	47	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	34	27	-	-	-	-	1	3													
W. Va.	22	11	-	-	1	3	4	-													
N.C.	60	40	1	-	7	5	-	1													
S.C.	20	9	-	-	-	-	1	1													
Ga.	68	86	-	-	-	-	9	16													
Fla.	91	79	-	-	8	7	4	-													
E.S. CENTRAL	83	54	-	1	1	-	14	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	58	35	-	-	-	-	8	5													
Ala.	17	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	77	52	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	10	1	-	2	-	6	1													
Okla.	44	40	-	-	2	6	-	-													
Tex.	1	1	-	1	-	-	-	-													
MOUNTAIN	167	142	-	3	13	17	29	16													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	34	33	-	-	-	-	9	3													
N. Mex.	15	30	-	-	4	5	1	6													
Ariz.	84	51	-	-	7	7	8	2													
Utah	14	12	-	2	-	2	7	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	74	67	-	-	18	9	8	6													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	28	30	-	-	-	-	5	2													
Calif.	33	24	-	-	18	9	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	8	7	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	2	-	-	-	-	-	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


