
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2001 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	76,692	92,868	446	879	173	183	78	521	1,093												
NEW ENGLAND	1,507	1,730	5	5	7	16	10	141	166												
Maine	37	21	-	-	-	2	-	-	-												
N.H.	33	25	-	-	1	2	-	42	17												
Vt.	23	14	3	2	3	-	-	1	-												
Mass.	702	696	2	3	2	9	6	19	59												
R.I.	201	159	-	-	-	-	-	-	-												
Conn.	511	815	-	-	1	3	4	79	90												
MID. ATLANTIC	8,829	9,530	22	181	16	37	8	246	737												
Upstate N.Y.	1,839	1,514	13	13	11	15	3	190	274												
N.Y. City	3,210	3,083	-	-	3	5	1	-	26												
N.J.	774	2,052	-	160	1	1	1	-	95												
Pa.	3,006	2,881	9	8	1	16	3	56	342												
E.N. CENTRAL	10,661	18,806	54	69	54	53	8	11	26												
Ohio	297	4,673	4	-	28	24	1	11	3												
Ind.	1,455	1,600	-	-	6	8	1	-	-												
Ill.	3,752	6,172	3	9	-	5	-	-	1												
Mich.	4,393	4,455	47	60	14	8	5	-	-												
Wis.	764	1,906	-	-	6	8	1	U	22												
W.N. CENTRAL	3,632	4,347	81	123	13	9	2	16	15												
Minn.	494	837	-	-	1	1	-	10	6												
Iowa	282	268	-	-	3	3	-	-	-												
Mo.	1,827	2,128	77	117	6	3	1	4	4												
N. Dak.	9	13	-	-	-	-	-	-	-												
S. Dak.	56	66	-	-	-	1	-	-	-												
Nebr.	247	338	2	2	2	-	-	1	1												
Kans.	717	697	2	4	1	1	1	1	4												
S. ATLANTIC	21,112	25,803	29	19	24	36	15	87	120												
Del.	439	435	-	1	-	2	-	-	16												
Md.	2,127	2,221	10	3	6	11	2	76	88												
D.C.	857	597	-	-	1	-	-	6	-												
Va.	2,494	2,665	-	-	4	3	2	2	6												
W. Va.	129	157	1	2	N	N	1	1	4												
N.C.	4,440	4,874	7	7	2	4	-	2	4												
S.C.	2,502	4,848	2	-	-	2	-	-	-												
Ga.	3,588	4,047	-	-	2	2	4	-	-												
Fla.	4,536	5,959	9	6	9	12	6	-	2												
E.S. CENTRAL	8,552	9,556	63	135	16	5	6	2	1												
Ky.	932	889	3	15	6	3	1	2	-												
Tenn.	2,622	2,916	16	26	6	1	3	-	1												
Ala.	2,960	3,430	1	3	2	1	2	-	-												
Miss.	2,038	2,321	43	91	2	-	-	-	-												
W.S. CENTRAL	13,034	13,958	139	267	3	4	2	-	6												
Ark.	1,451	651	2	3	-	-	1	-	-												
La.	3,207	3,553	55	157	2	2	-	-	2												
Okla.	1,202	1,041	1	-	1	-	-	-	-												
Tex.	7,174	8,713	81	107	-	2	1	-	4												
MOUNTAIN	2,559	2,873	22	29	11	12	7	1	-												
Mont.	19	7	-	1	-	-	-	-	-												
Idaho	26	25	1	-	-	1	-	-	-												
Wyo.	15	17	3	1	-	-	-	-	-												
Colo.	900	934	8	11	4	6	1	-	-												
N. Mex.	272	274	6	4	1	-	2	-	-												
Ariz.	921	1,165	1	9	4	2	1	-	-												
Utah	26	88	-	-	1	3	1	-	-												
Nev.	380	363	3	3	1	-	2	1	-												
PACIFIC	6,806	6,265	31	51	29	11	20	17	22												
Wash.	837	619	9	6	5	5	1	1	-												
Oreg.	20	231	1	12	N	N	-	-	2												
Calif.	5,715	5,239	21	33	24	6	19	16	20												
Alaska	75	73	-	-	-	-	-	-	-												
Hawaii	159	103	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	364	131	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


