
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 19, 2005 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	222	255	98	85	965	1,622	198	239													
NEW ENGLAND	8	5	2	3	23	122	4	19													
Maine	-	-	-	1	2	11	-	-													
N.H.	2	-	1	1	10	2	2	-													
Vt.	-	-	-	-	-	4	-	1													
Mass.	4	3	-	-	7	81	2	14													
R.I.	-	1	-	-	1	9	-	1													
Conn.	2	1	1	1	3	15	-	3													
MID. ATLANTIC	68	55	20	22	718	1,283	44	51													
Upstate N.Y.	16	10	5	4	95	298	8	8													
N.Y. City	2	3	4	3	-	-	19	25													
N.J.	14	19	4	7	302	385	11	10													
Pa.	36	23	7	8	321	600	6	8													
E.N. CENTRAL	43	72	13	11	22	38	11	17													
Ohio	24	32	4	4	20	8	3	3													
Ind.	9	11	-	2	1	-	-	3													
Ill.	-	13	-	-	-	-	1	2													
Mich.	8	14	4	3	1	-	6	4													
Wis.	2	2	5	2	U	30	1	5													
W.N. CENTRAL	9	4	8	3	29	12	7	15													
Minn.	1	-	2	2	27	3	1	6													
Iowa	-	-	3	-	1	2	2	1													
Mo.	7	3	2	1	1	7	3	4													
N. Dak.	1	-	1	-	-	-	-	1													
S. Dak.	-	1	-	-	-	-	-	1													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	1	2													
S. ATLANTIC	54	53	25	14	152	131	53	72													
Del.	-	1	N	N	25	14	-	1													
Md.	15	8	3	3	84	75	16	22													
D.C.	1	2	-	-	1	1	1	4													
Va.	4	4	2	-	10	2	7	4													
W. Va.	3	2	-	1	-	-	1	-													
N.C.	6	7	5	4	11	27	7	3													
S.C.	-	1	-	-	4	1	-	4													
Ga.	6	4	4	2	-	2	11	8													
Fla.	19	24	11	4	17	9	10	26													
E.S. CENTRAL	3	10	4	3	3	4	7	7													
Ky.	1	2	-	1	-	-	1	1													
Tenn.	-	5	2	2	3	1	5	1													
Ala.	2	3	2	-	-	-	1	4													
Miss.	-	-	-	-	-	3	-	1													
W.S. CENTRAL	2	26	1	9	5	12	17	21													
Ark.	1	-	-	-	-	-	1	1													
La.	1	1	1	-	-	-	-	2													
Okla.	-	2	-	-	-	-	2	1													
Tex.	-	23	-	9	5	12	14	17													
MOUNTAIN	16	15	-	2	-	4	11	8													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	1	-	1	-	1	-	-													
Wyo.	2	3	-	-	-	1	1	-													
Colo.	2	3	-	1	-	-	6	3													
N. Mex.	1	-	-	-	-	-	-	1													
Ariz.	3	2	-	-	-	1	2	1													
Utah	3	5	-	-	-	1	2	1													
Nev.	4	1	-	-	-	-	-	2													
PACIFIC	19	15	25	18	13	16	44	29													
Wash.	1	2	2	3	-	1	-	1													
Oreg.	N	N	1	4	1	7	1	3													
Calif.	18	13	22	11	11	8	40	25													
Alaska	-	-	-	-	1	-	2	-													
Hawaii	-	-	-	-	N	N	1	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


