
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 23, 2005 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	21,648	497,876	502,041	2,345	3,043	1,125	1,456													
NEW ENGLAND	778	756	17,200	12,678	-	-	46	85													
Maine	11	14	1,188	1,080	N	N	9	14													
N.H.	20	28	1,004	918	-	-	8	16													
Vt.	4	13	539	627	-	-	14	10													
Mass.	368	231	7,839	3,269	-	-	4	34													
R.I.	68	70	1,747	1,864	-	-	2	2													
Conn.	307	400	4,883	4,920	N	N	9	9													
MID. ATLANTIC	4,352	4,818	62,593	62,274	-	-	152	231													
Upstate N.Y.	800	648	12,380	12,190	N	N	45	47													
N.Y. City	2,327	2,609	20,622	19,125	-	-	31	70													
N.J.	574	865	9,329	10,000	N	N	10	19													
Pa.	651	696	20,262	20,959	N	N	66	95													
E.N. CENTRAL	1,938	1,693	76,161	88,260	5	5	245	401													
Ohio	312	228	20,028	21,734	N	N	86	84													
Ind.	236	209	10,970	10,009	N	N	17	40													
Ill.	983	834	21,585	25,763	-	-	18	63													
Mich.	322	323	13,207	20,410	5	5	36	70													
Wis.	85	99	10,371	10,344	N	N	88	144													
W.N. CENTRAL	463	450	29,405	30,855	4	5	181	188													
Minn.	123	118	4,740	6,484	3	N	47	62													
Iowa	50	26	3,345	3,703	N	N	40	36													
Mo.	198	200	12,432	11,303	1	3	65	32													
N. Dak.	5	14	603	1,052	N	N	-	8													
S. Dak.	10	6	1,513	1,343	-	-	12	23													
Nebr.	18	21	3,128	2,913	-	2	1	14													
Kans.	59	65	3,644	4,057	N	N	16	13													
S. ATLANTIC	6,473	6,678	95,611	95,090	-	-	240	238													
Del.	100	80	1,792	1,558	N	N	-	-													
Md.	812	799	10,218	10,332	-	-	14	10													
D.C.	467	356	2,065	1,966	-	-	2	8													
Va.	307	393	11,154	12,283	-	-	14	25													
W. Va.	36	32	1,449	1,558	N	N	4	3													
N.C.	531	335	18,599	15,666	N	N	29	41													
S.C.	386	424	10,928	10,269	-	-	8	11													
Ga.	1,103	886	15,448	17,869	-	-	53	73													
Fla.	2,731	3,373	23,958	23,589	N	N	116	67													
E.S. CENTRAL	1,093	1,000	36,420	32,807	-	3	36	59													
Ky.	135	129	5,421	3,109	N	N	12	21													
Tenn.	434	417	12,273	12,448	N	N	10	16													
Ala.	295	228	7,235	7,584	-	-	13	12													
Miss.	229	226	11,491	9,666	-	3	1	10													
W.S. CENTRAL	2,206	2,927	61,822	64,838	1	2	29	53													
Ark.	72	125	4,672	4,488	-	1	2	11													
La.	436	589	10,801	13,857	1	1	3	-													
Okla.	167	101	6,046	6,344	N	N	16	13													
Tex.	1,531	2,112	40,303	40,149	N	N	8	29													
MOUNTAIN	789	745	29,560	29,528	1,577	1,885	66	64													
Mont.	4	4	1,121	1,437	N	N	12	12													
Idaho	9	11	1,341	1,579	N	N	4	7													
Wyo.	2	6	579	593	2	-	2	2													
Colo.	163	160	7,788	7,361	N	N	22	26													
N. Mex.	72	115	2,422	4,849	3	15	3	4													
Ariz.	329	267	10,433	8,932	1,539	1,826	8	10													
Utah	33	31	2,384	1,965	2	10	7	2													
Nev.	177	151	3,492	2,812	31	34	8	1													
PACIFIC	2,313	2,581	89,104	85,711	758	1,143	130	137													
Wash.	229	213	10,596	9,779	N	N	10	-													
Oreg.	136	155	4,783	4,490	-	-	23	19													
Calif.	1,874	2,137	69,128	66,210	758	1,143	97	116													
Alaska	14	21	2,171	2,088	-	-	-	-													
Hawaii	60	55	2,426	3,144	-	-	-	2													
Guam	1	1	-	684	-	-	-	-													
P.R.	537	394	2,090	2,123	N	N	N	N													
V.I.	10	6	32	222	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


