
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 17, 2012 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	3	12	66	848	757	7	15	64	672	2,363	1	2	13	124	137						
NEW ENGLAND	-	0	2	20	3	-	5	19	256	414	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	90	146	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	44	16	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	168	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	46	20	-	0	0	-	1						
R.I.	-	0	2	14	1	-	1	11	66	59	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	5	-	0	0	-	-						
MID. ATLANTIC	3	0	6	37	103	6	6	44	291	374	-	0	2	12	20						
N.J.	-	0	1	-	57	-	0	7	-	104	-	0	0	-	7						
N.Y. (Upstate)	3	0	3	19	40	6	5	41	259	231	-	0	2	12	7						
N.Y. City	-	0	3	18	4	-	0	4	32	33	-	0	0	-	-						
Pa.	-	0	1	-	2	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	39	42	-	0	11	11	689	1	1	8	76	56						
Ill.	-	0	4	36	25	-	0	1	9	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	7	-	0	10	1	671	-	0	1	1	32						
W.N. CENTRAL	-	2	33	267	175	-	0	9	37	793	-	0	4	14	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	32	17	-	0	2	8	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	9	-	759	-	0	0	-	10						
Mo.	-	1	32	235	149	-	0	4	27	25	-	0	4	13	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	-	5	30	294	246	1	1	8	46	63	-	0	2	7	14						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	20	15	-	0	1	3	9	-	0	0	-	-						
Ga.	-	0	4	14	22	-	0	1	2	11	-	0	0	-	3						
Md.	-	0	4	31	32	1	0	2	5	6	-	0	0	-	-						
N.C.	-	0	19	97	64	-	0	6	20	19	-	0	0	-	1						
S.C.	-	0	1	1	2	-	0	0	-	-	-	0	0	-	1						
Va.	-	1	16	116	95	-	0	2	14	17	-	0	2	6	8						
W. Va.	-	0	0	-	1	-	0	1	1	-	-	0	1	1	1						
E.S. CENTRAL	-	1	9	94	77	-	0	3	22	15	-	0	2	11	14						
Ala.	-	0	2	11	5	-	0	3	10	4	-	0	1	5	-						
Ky.	-	0	4	25	15	-	0	1	1	-	-	0	0	-	-						
Miss.	-	0	1	1	3	-	0	1	1	1	-	0	1	1	-						
Tenn.	-	0	6	57	54	-	0	1	10	10	-	0	2	5	14						
W.S. CENTRAL	-	1	52	97	111	-	0	11	9	9	-	0	1	1	1						
Ark.	-	0	11	78	51	-	0	2	6	6	-	0	0	-	-						
La.	-	0	1	1	-	-	0	0	-	1	-	0	1	1	1						
Okla.	-	0	51	15	57	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	5	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	5	-	0	0	-	-						
