
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2001 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	1,393	1,405	1	109	206	31	2,440	3,168	1	16	95										
NEW ENGLAND	79	85	-	-	3	1	256	860	-	-	11										
Maine	1	6	-	-	-	-	-	14	-	-	-										
N.H.	10	9	-	-	-	-	25	62	-	-	2										
Vt.	4	2	-	-	-	1	25	161	-	-	-										
Mass.	45	50	-	-	1	-	190	580	-	-	8										
R.I.	2	6	-	-	1	-	2	11	-	-	-										
Conn.	17	12	-	-	1	-	14	32	-	-	1										
MID. ATLANTIC	116	155	-	10	13	1	201	259	-	4	8										
Upstate N.Y.	43	41	-	1	5	1	108	138	-	1	1										
N.Y. City	29	33	-	6	5	-	33	44	-	2	7										
N.J.	34	27	-	-	-	-	8	-	-	1	-										
Pa.	10	54	-	3	3	-	52	77	-	-	-										
E.N. CENTRAL	169	244	-	12	17	4	276	363	-	3	1										
Ohio	58	55	-	1	7	-	168	182	-	-	-										
Ind.	27	31	-	1	-	3	27	36	-	1	-										
Ill.	20	61	-	8	5	1	30	28	-	2	1										
Mich.	33	71	-	2	4	-	27	42	-	-	-										
Wis.	31	26	-	-	1	-	24	75	-	-	-										
W.N. CENTRAL	101	91	-	5	12	2	121	165	-	2	1										
Minn.	15	7	-	2	-	-	31	75	-	-	-										
Iowa	21	21	-	-	5	-	16	26	-	1	-										
Mo.	37	46	-	-	4	2	55	33	-	-	-										
N. Dak.	5	2	-	-	-	-	-	1	-	-	-										
S. Dak.	4	5	-	-	-	-	3	3	-	-	-										
Nebr.	10	4	-	1	1	-	3	4	-	-	1										
Kans.	9	6	-	2	2	-	13	23	-	1	-										
S. ATLANTIC	272	201	-	18	29	3	122	239	1	4	50										
Del.	2	-	-	-	-	-	-	6	-	-	-										
Md.	32	19	-	4	6	-	17	65	1	1	-										
D.C.	-	-	-	-	-	-	1	2	-	-	-										
Va.	28	34	-	2	5	1	13	33	-	-	-										
W. Va.	10	9	-	-	-	-	1	1	-	-	-										
N.C.	55	30	-	1	4	1	41	51	-	-	42										
S.C.	25	15	-	1	9	1	23	20	-	2	6										
Ga.	37	36	-	7	2	-	7	20	-	-	-										
Fla.	83	58	-	3	3	-	19	41	-	1	2										
E.S. CENTRAL	96	99	-	3	4	2	56	66	-	1	4										
Ky.	16	20	-	1	-	-	11	32	-	-	1										
Tenn.	43	40	-	-	2	1	24	19	-	1	-										
Ala.	29	29	-	-	2	1	18	12	-	-	3										
Miss.	8	10	-	2	-	-	3	3	-	-	-										
W.S. CENTRAL	167	150	-	8	22	3	200	145	-	-	6										
Ark.	12	8	-	1	1	-	7	14	-	-	1										
La.	54	35	-	2	4	-	2	9	-	-	1										
Okla.	21	21	-	-	-	-	1	9	-	-	-										
Tex.	80	86	-	5	17	3	190	113	-	-	4										
MOUNTAIN	74	64	-	7	14	10	912	412	-	1	2										
Mont.	3	4	-	-	1	3	13	12	-	-	-										
Idaho	7	6	-	-	-	-	164	41	-	-	-										
Wyo.	6	-	-	1	1	-	1	2	-	-	-										
Colo.	25	20	-	1	-	2	162	229	-	1	1										
N. Mex.	11	6	-	2	1	2	63	70	-	-	-										
Ariz.	11	19	-	1	3	-	460	40	-	-	1										
Utah	7	6	-	1	4	3	40	12	-	-	-										
Nev.	4	3	-	1	4	-	9	6	-	-	-										
PACIFIC	319	316	1	46	92	5	296	659	-	1	12										
Wash.	46	33	-	1	3	3	82	202	-	-	7										
Oreg.	24	38	N	N	N	2	29	63	-	-	-										
Calif.	239	232	1	27	71	-	165	357	-	-	5										
Alaska	2	5	-	1	7	-	2	12	-	-	-										
Hawaii	8	8	-	17	11	-	18	25	-	1	-										
Guam	-	-	U	-	11	U	-	3	U	-	1										
P.R.	3	7	-	-	-	-	2	4	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	U	-	-	U	-	-	U	-	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


