
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2000 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2000
Shigellosis NETSS cummulative for 1999
Shigellosis PHLIS cummulative for 2000
Shigellosis PHLIS cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 1999
Tuberculosis cummulative for 2000
Tuberculosis cummulative for 1999

tab delimited data:
test
UNITED STATES	3,442	3,254	1,353	1,726	1,521	1,789	2,268	3,397													
NEW ENGLAND	72	79	51	72	24	20	71	95													
Maine	2	1	-	-	-	-	-	3													
N.H.	1	5	1	5	-	-	2	-													
Vt.	1	4	-	3	-	1	-	-													
Mass.	48	50	37	47	20	11	48	50													
R.I.	7	11	4	8	1	1	7	15													
Conn.	13	8	9	9	3	7	14	27													
MID. ATLANTIC	308	271	233	152	40	81	467	525													
Upstate N.Y.	181	57	73	20	2	7	38	55													
N.Y. City	97	90	105	76	8	30	274	259													
N.J.	-	81	23	56	6	20	123	126													
Pa.	30	43	32	-	24	24	32	85													
E.N. CENTRAL	541	552	181	284	365	288	263	288													
Ohio	40	171	25	24	20	24	31	68													
Ind.	77	19	9	9	125	77	16	19													
Ill.	180	216	2	189	113	129	172	135													
Mich.	198	71	139	48	88	49	24	49													
Wis.	46	75	6	14	19	9	20	17													
W.N. CENTRAL	244	198	125	148	19	46	116	120													
Minn.	47	26	49	29	2	5	42	48													
Iowa	44	2	21	3	8	3	8	6													
Mo.	117	126	43	100	5	32	48	48													
N. Dak.	1	1	-	2	-	-	-	1													
S. Dak.	1	4	-	2	-	-	3	3													
Nebr.	22	13	8	5	2	3	4	4													
Kans.	12	26	4	7	2	3	11	10													
S. ATLANTIC	497	538	84	123	481	649	431	647													
Del.	3	7	2	2	2	1	-	5													
Md.	27	31	8	5	91	137	58	58													
D.C.	-	19	U	U	16	37	2	12													
Va.	16	19	13	5	36	46	-	44													
W. Va.	2	3	2	1	1	2	9	11													
N.C.	32	66	11	35	151	142	66	89													
S.C.	5	31	2	11	11	65	18	85													
Ga.	59	57	25	19	83	118	128	124													
Fla.	353	305	21	45	90	101	150	219													
E.S. CENTRAL	167	336	85	189	226	317	142	210													
Ky.	36	34	19	24	22	34	6	30													
Tenn.	86	239	63	148	147	154	65	70													
Ala.	9	39	1	16	34	79	71	83													
Miss.	36	24	2	1	23	50	-	27													
W.S. CENTRAL	311	522	287	575	205	254	56	524													
Ark.	58	35	3	21	16	25	37	28													
La.	19	43	45	36	59	44	-	U													
Okla.	8	130	5	33	47	64	19	25													
Tex.	226	314	234	485	83	121	-	471													
MOUNTAIN	252	182	73	112	49	51	104	99													
Mont.	1	3	-	-	-	-	4	-													
Idaho	23	3	-	3	-	-	-	-													
Wyo.	1	2	1	1	-	-	-	-													
Colo.	33	34	17	26	1	-	14	U													
N. Mex.	28	24	13	16	6	-	17	14													
Ariz.	103	94	32	50	40	50	43	53													
Utah	12	13	10	13	-	1	7	11													
Nev.	51	9	-	3	2	-	19	21													
PACIFIC	1,050	576	234	71	112	83	618	889													
Wash.	187	20	182	37	13	11	39	45													
Oreg.	76	16	45	19	2	1	-	26													
Calif.	768	524	-	-	97	69	537	763													
Alaska	7	-	1	-	-	1	15	13													
Hawaii	12	16	6	15	-	1	27	42													
Guam	-	3	U	U	-	-	-	-													
P.R.	1	20	U	U	24	59	-	41													
V.I.	-	U	U	U	-	U	-	U													
Amer. Samoa	-	U	U	U	-	U	-	U													
C.N.M.I.	-	U	U	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


