
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 31, 2011 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	104	235	742	11,699	14,786	-	3	15	204	156	2	28	245	2,030	1,822						
NEW ENGLAND	-	5	21	263	319	-	0	1	2	-	-	0	1	8	5						
Conn.	-	0	4	38	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	32	8	-	0	0	-	-	-	0	1	1	2						
Mass.	-	3	20	175	211	-	0	0	-	-	-	0	1	4	-						
N.H.	-	0	1	3	14	-	0	1	2	-	-	0	1	1	1						
R.I.	-	0	3	9	16	-	0	0	-	-	-	0	1	2	2						
Vt.	-	0	1	6	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	5	14	74	901	1,684	-	0	2	19	2	-	1	4	64	104						
N.J.	-	0	4	8	372	-	0	0	-	1	-	0	0	-	60						
N.Y. (Upstate)	3	5	21	346	235	-	0	1	4	1	-	0	2	10	18						
N.Y. City	1	7	28	425	300	-	0	0	-	-	-	0	3	32	11						
Pa.	1	2	56	122	777	-	0	2	15	-	-	0	3	22	15						
E.N. CENTRAL	9	13	40	750	1,548	-	0	2	9	4	-	2	10	116	78						
Ill.	-	4	16	211	841	-	0	1	2	3	-	1	4	48	34						
Ind.	-	1	4	50	64	-	0	1	2	1	-	0	4	48	20						
Mich.	-	3	11	174	260	-	0	1	2	-	-	0	1	2	2						
Ohio	9	5	27	315	309	-	0	2	3	-	-	0	2	18	15						
Wis.	-	0	1	-	74	-	0	0	-	-	-	0	0	-	7						
W.N. CENTRAL	-	5	18	301	2,070	-	0	4	27	13	-	4	29	354	278						
Iowa	-	0	3	20	57	-	0	0	-	-	-	0	2	7	5						
Kans.	-	1	6	71	302	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	66	-	0	0	-	-	-	0	2	-	2						
Mo.	-	3	14	190	1,582	-	0	3	19	10	-	4	29	342	268						
Nebr.	-	0	2	14	56	-	0	3	5	3	-	0	1	5	2						
N. Dak.	-	0	0	-	-	-	0	1	2	-	-	0	0	-	1						
S. Dak.	-	0	2	6	7	-	0	1	1	-	-	0	0	-	-						
S. ATLANTIC	42	73	134	3,809	2,784	-	1	8	103	82	2	6	55	555	512						
Del.	-	0	2	6	39	-	0	1	1	1	-	0	4	18	21						
D.C.	-	0	5	24	35	-	0	1	1	1	-	0	1	3	-						
Fla.	35	50	98	2,645	1,212	-	0	1	3	3	2	0	2	16	11						
Ga.	-	10	24	578	789	-	1	6	65	57	-	0	0	-	-						
Md.	-	1	7	98	130	-	0	1	3	-	-	0	2	31	49						
N.C.	7	3	19	213	253	-	0	4	15	15	-	0	49	265	271						
S.C.	-	1	54	138	70	-	0	2	11	1	-	0	2	21	19						
Va.	-	2	8	102	145	-	0	1	4	4	-	3	14	197	141						
W. Va.	-	0	2	5	111	-	0	0	-	-	-	0	1	4	-						
E.S. CENTRAL	4	17	47	970	790	-	0	2	14	20	-	4	25	336	404						
Ala.	-	5	21	302	239	-	0	1	5	5	-	1	8	73	78						
Ky.	4	3	22	242	221	-	0	1	3	6	-	0	2	2	-						
Miss.	-	4	24	229	60	-	0	0	-	1	-	0	2	12	25						
Tenn.	-	4	11	197	270	-	0	2	6	8	-	3	20	249	301						
W.S. CENTRAL	38	54	503	2,835	3,412	-	0	8	11	15	-	2	235	529	420						
Ark.	1	2	7	79	82	-	0	3	6	4	-	1	51	425	158						
La.	-	4	21	277	288	-	0	0	-	-	-	0	2	7	3						
Okla.	7	2	161	226	416	-	0	5	3	8	-	0	202	67	228						
Tex.	30	42	338	2,253	2,626	-	0	1	2	3	-	0	5	30	31						
MOUNTAIN	5	14	42	818	858	-	0	2	18	12	-	1	7	67	20						
Ariz.	4	5	27	386	465	-	0	2	18	9	-	0	6	47	8						
Colo.	-	1	8	99	96	-	0	0	-	1	-	0	1	2	1						
Idaho	-	0	3	16	23	-	0	0	-	-	-	0	1	1	5						
Mont.	1	1	15	124	9	-	0	0	-	2	-	0	1	1	1						
Nev.	-	0	4	35	49	-	0	0	-	-	-	0	1	2	-						
N. Mex.	-	2	7	108	166	-	0	0	-	-	-	0	0	-	1						
Utah	-	1	4	48	50	-	0	0	-	-	-	0	1	4	3						
Wyo.	-	0	1	2	-	-	0	0	-	-	-	0	2	10	1						
PACIFIC	1	20	63	1,052	1,321	-	0	2	1	8	-	0	1	1	1						
Alaska	-	0	2	5	2	N	0	0	N	N	N	0	0	N	N						
Calif.	1	16	59	866	1,098	-	0	1	1	7	-	0	1	1	-						
Hawaii	-	1	3	45	50	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	4	44	59	-	0	0	-	-	-	0	0	-	1						
Wash.	-	1	9	92	112	-	0	1	-	1	-	0	0	-	-						
Amer. Samoa	-	0	1	1	4	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	1	5	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	7	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


