
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 9, 2009 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	66	100	237	2,237	2,453	34	35	114	694	783											
NEW ENGLAND	9	5	31	148	153	-	1	12	21	40											
Conn.	7	0	26	43	12	-	0	11	-	-											
Maine	-	0	3	8	12	-	0	1	-	1											
Mass.	-	3	10	60	98	-	1	3	15	31											
N.H.	1	0	4	23	15	-	0	1	4	7											
R.I.	-	0	8	4	8	-	0	2	-	1											
Vt.	1	0	3	10	8	-	0	1	2	-											
MID. ATLANTIC	12	18	37	419	522	16	4	25	109	95											
N.J.	-	1	9	3	92	-	1	4	13	32											
N.Y. (Upstate)	10	6	25	158	157	5	2	17	58	39											
N.Y. City	-	4	12	90	105	11	0	23	38	24											
Pa.	2	6	18	168	168	N	0	2	N	N											
E.N. CENTRAL	7	17	43	445	499	7	6	18	101	145											
Ill.	-	5	11	107	140	-	1	5	14	40											
Ind.	-	3	23	70	62	-	0	13	11	16											
Mich.	1	3	9	74	93	1	1	5	27	41											
Ohio	6	4	13	132	137	6	1	5	37	25											
Wis.	-	1	10	62	67	-	0	3	12	23											
W.N. CENTRAL	1	6	37	178	191	1	2	14	59	42											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	4	25	24	N	0	1	N	N											
Minn.	-	0	34	65	83	-	0	9	22	15											
Mo.	1	2	8	51	49	1	1	4	27	18											
Nebr.	-	1	3	25	17	-	0	1	3	3											
N. Dak.	-	0	2	2	7	-	0	3	3	1											
S. Dak.	-	0	2	10	11	-	0	2	4	5											
S. ATLANTIC	24	22	46	494	485	6	6	14	141	155											
Del.	-	0	1	7	6	-	0	0	-	-											
D.C.	-	0	2	-	5	N	0	0	N	N											
Fla.	7	5	12	121	108	2	1	6	32	24											
Ga.	4	5	13	117	100	3	2	6	43	44											
Md.	6	3	10	77	92	-	1	3	29	33											
N.C.	5	2	12	53	57	N	0	0	N	N											
S.C.	1	1	5	35	32	1	1	6	26	25											
Va.	-	3	9	65	66	-	0	2	3	25											
W. Va.	1	1	4	19	19	-	0	2	8	4											
E.S. CENTRAL	6	4	10	98	80	-	2	6	28	44											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	5	17	18	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	13											
Tenn.	4	3	8	81	62	-	1	6	28	31											
W.S. CENTRAL	3	9	75	196	202	-	6	44	118	109											
Ark.	-	0	2	9	6	-	0	3	11	7											
La.	-	0	2	6	8	-	0	3	12	5											
Okla.	3	2	16	77	53	-	1	7	25	37											
Tex.	-	6	59	104	135	-	4	34	70	60											
MOUNTAIN	4	10	22	201	273	3	4	16	103	134											
Ariz.	-	3	8	59	90	3	2	10	62	61											
Colo.	4	3	8	76	68	-	1	4	20	28											
Idaho	-	0	2	3	10	-	0	1	2	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	3	5	-	0	1	-	2											
N. Mex.	-	2	7	38	70	-	0	3	8	20											
Utah	-	1	6	21	26	-	0	4	11	20											
Wyo.	-	0	1	1	4	-	0	1	-	1											
PACIFIC	-	3	9	58	48	1	1	5	14	19											
Alaska	-	0	4	8	12	1	0	4	9	10											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	50	36	-	0	2	5	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	16	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


