
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2001 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	5,820	6,226	117,782	140,712	241	264	169	286	107	225											
NEW ENGLAND	200	500	4,222	4,863	7	20	22	26	15	29											
Maine	3	6	197	284	-	2	3	3	1	2											
N.H.	12	6	203	227	-	-	4	4	3	4											
Vt.	9	-	123	118	3	6	1	1	-	2											
Mass.	118	360	1,788	2,029	1	5	13	8	9	7											
R.I.	24	17	632	487	1	2	-	-	-	-											
Conn.	34	111	1,279	1,718	2	5	1	10	2	14											
MID. ATLANTIC	1,180	1,591	6,797	12,689	19	20	12	28	8	39											
Upstate N.Y.	29	65	N	N	8	12	12	26	6	32											
N.Y. City	740	985	4,232	5,368	11	4	-	1	1	-											
N.J.	241	387	781	2,748	-	1	-	1	1	2											
Pa.	170	154	1,784	4,573	-	3	N	N	-	5											
E.N. CENTRAL	463	591	14,366	24,587	82	59	34	51	17	13											
Ohio	77	91	234	6,624	26	13	16	9	10	5											
Ind.	45	56	2,368	2,699	11	3	7	3	1	3											
Ill.	226	354	3,911	7,011	-	6	4	19	4	-											
Mich.	97	67	6,010	4,629	24	6	3	10	-	2											
Wis.	18	23	1,843	3,624	21	31	4	10	2	3											
W.N. CENTRAL	110	147	5,723	8,011	8	15	19	49	15	45											
Minn.	29	31	1,213	1,731	-	4	3	9	8	19											
Iowa	15	10	610	774	4	2	3	10	-	4											
Mo.	38	67	1,439	2,840	1	4	9	21	4	12											
N. Dak.	1	-	193	209	-	1	-	2	-	2											
S. Dak.	-	2	396	389	-	1	1	-	1	1											
Nebr.	9	7	619	718	3	2	-	3	-	4											
Kans.	18	30	1,253	1,350	-	1	3	4	2	3											
S. ATLANTIC	1,673	1,508	25,481	26,322	53	38	23	25	10	17											
Del.	37	25	645	607	-	-	-	-	-	-											
Md.	131	154	2,723	2,461	12	4	-	5	-	1											
D.C.	166	113	647	593	3	-	-	-	U	U											
Va.	137	113	3,302	3,300	3	1	3	5	4	5											
W. Va.	12	7	457	440	-	-	1	2	-	1											
N.C.	101	74	4,134	4,001	10	3	13	6	2	2											
S.C.	171	153	2,590	3,498	-	-	1	-	-	-											
Ga.	187	180	4,822	4,883	12	22	2	2	2	3											
Fla.	731	689	6,161	6,539	13	8	3	5	2	5											
E.S. CENTRAL	360	279	9,636	10,447	4	9	7	14	3	14											
Ky.	51	37	1,812	1,682	-	-	-	5	2	4											
Tenn.	132	104	2,963	2,977	1	1	4	4	1	8											
Ala.	95	91	2,506	3,384	2	6	3	1	-	-											
Miss.	82	47	2,355	2,404	1	2	-	4	-	2											
W.S. CENTRAL	629	532	20,561	21,121	4	14	13	16	18	26											
Ark.	45	20	1,877	994	2	1	-	4	-	3											
La.	188	91	3,716	4,003	1	2	-	-	6	7											
Okla.	36	17	2,095	1,813	1	1	5	4	5	3											
Tex.	360	404	12,873	14,311	-	10	8	8	7	13											
MOUNTAIN	241	210	6,434	8,103	20	18	13	29	8	12											
Mont.	5	3	366	271	-	1	-	8	-	-											
Idaho	5	3	390	421	2	1	2	4	-	1											
Wyo.	-	1	175	164	-	1	-	2	-	2											
Colo.	40	52	576	2,252	12	6	7	10	4	5											
N. Mex.	15	25	1,136	991	3	1	-	-	-	-											
Ariz.	93	55	2,685	2,729	1	2	4	3	3	3											
Utah	23	28	237	469	2	6	-	1	1	1											
Nev.	60	43	869	806	-	-	-	1	-	-											
PACIFIC	964	868	24,562	24,569	44	71	26	48	13	30											
Wash.	117	101	2,879	2,670	N	U	4	5	5	8											
Oreg.	38	22	1,041	1,005	8	2	3	7	1	6											
Calif.	798	721	19,507	19,685	36	69	19	32	5	13											
Alaska	2	-	493	501	-	-	-	-	-	-											
Hawaii	9	24	642	708	-	-	-	4	2	3											
Guam	5	7	-	-	-	-	N	N	U	U											
P.R.	158	150	960	U	-	-	-	1	U	U											
V.I.	1	5	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


