
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2007 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	39	94	261	3,222	3,508	16	30	108	917	791											
NEW ENGLAND	-	6	29	263	225	-	2	11	66	70											
Conn.	-	0	23	84	59	-	0	6	-	23											
Maine	-	0	3	19	12	-	0	1	1	-											
Mass.	-	3	12	121	117	-	2	6	50	41											
N.H.	-	0	5	24	24	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	6	-											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	6	15	41	608	664	3	4	20	108	117											
N.J.	-	2	9	80	115	-	1	4	19	43											
N.Y. (Upstate)	3	5	27	200	213	3	2	15	66	63											
N.Y. City	-	3	12	146	120	-	1	3	23	11											
Pa.	3	6	11	182	216	N	0	0	N	N											
E.N. CENTRAL	8	17	32	563	693	2	5	14	151	207											
Ill.	-	4	13	135	213	-	1	6	34	58											
Ind.	3	2	18	92	82	-	0	10	14	25											
Mich.	1	4	10	139	143	-	1	4	54	51											
Ohio	4	4	14	171	175	2	1	7	41	43											
Wis.	-	1	6	26	80	-	0	2	8	30											
W.N. CENTRAL	-	5	32	220	234	3	2	8	69	61											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	27	45	-	0	1	1	10											
Minn.	-	0	29	111	107	3	1	6	49	34											
Mo.	-	2	6	51	45	-	0	2	13	11											
Nebr.	-	0	3	15	21	-	0	2	5	4											
N. Dak.	-	0	2	10	8	-	0	2	1	2											
S. Dak.	-	0	2	6	8	-	0	0	-	-											
S. ATLANTIC	11	21	51	779	757	3	3	14	185	49											
Del.	-	0	2	6	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	-	6	16	182	161	1	0	5	41	-											
Ga.	-	5	12	145	165	-	0	5	45	-											
Md.	4	4	9	142	146	1	1	6	44	40											
N.C.	6	0	22	111	112	-	0	0	-	-											
S.C.	-	1	7	69	51	1	0	3	23	-											
Va.	-	2	11	96	86	-	0	3	27	-											
W. Va.	1	0	3	20	20	-	0	4	5	9											
E.S. CENTRAL	3	4	13	137	149	1	1	6	52	14											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	30	35	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	14											
Tenn.	3	3	13	107	114	1	0	6	49	-											
W.S. CENTRAL	4	6	90	193	261	1	4	43	140	128											
Ark.	-	0	2	16	20	-	0	2	7	16											
La.	-	0	2	9	13	-	0	4	25	16											
Okla.	1	2	23	50	67	1	1	13	34	24											
Tex.	3	3	64	118	161	-	2	27	74	72											
MOUNTAIN	7	10	23	379	466	3	4	12	124	130											
Ariz.	2	5	11	154	238	3	2	7	72	73											
Colo.	5	3	9	111	81	-	1	4	32	32											
Idaho	-	0	2	8	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	35	90	-	0	4	17	22											
Utah	-	1	7	64	47	-	0	0	-	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	-	3	9	80	59	-	1	4	22	15											
Alaska	-	0	3	20	N	-	0	2	20	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	60	59	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


