
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	35	52	1	6	2	4	432	775	10,484	17,408											
NEW ENGLAND	-	6	-	-	1	1	26	52	301	470											
Maine	-	-	-	-	-	-	6	7	13	4											
N.H.	-	-	-	-	-	-	-	3	-	8											
Vt.	-	-	-	-	-	-	3	6	1	5											
Mass.	-	3	-	-	1	1	17	36	226	177											
R.I.	-	-	-	-	-	-	-	-	60	56											
Conn.	-	3	-	-	-	-	-	-	1	220											
MID. ATLANTIC	3	7	-	-	-	2	58	157	1,154	2,399											
Upstate N.Y.	1	-	-	-	-	-	15	10	149	170											
N.Y. City	-	1	-	-	-	-	4	74	514	827											
N.J.	-	2	-	-	-	-	6	23	187	626											
Pa.	2	4	-	-	-	2	33	50	304	776											
E.N. CENTRAL	13	14	-	-	1	1	82	129	1,419	3,868											
Ohio	8	4	-	-	1	1	54	60	124	1,246											
Ind.	-	-	-	-	-	-	-	-	283	409											
Ill.	1	-	-	-	-	-	2	10	457	1,370											
Mich.	4	4	-	-	-	-	25	40	525	489											
Wis.	-	6	-	-	-	-	1	19	30	354											
W.N. CENTRAL	2	7	-	-	-	-	30	75	538	920											
Minn.	1	2	-	-	-	-	7	6	4	206											
Iowa	-	-	-	-	-	-	11	16	-	22											
Mo.	-	2	-	-	-	-	-	38	265	462											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	-	-	-	-	-	-	2	1	14	1											
Nebr.	-	3	-	-	-	-	3	6	76	49											
Kans.	1	-	-	-	-	-	7	8	179	179											
S. ATLANTIC	3	-	1	3	-	-	101	173	2,471	3,706											
Del.	-	-	N	N	N	N	-	3	58	80											
Md.	1	-	-	-	-	-	4	8	472	448											
D.C.	-	-	-	-	-	-	1	-	80	157											
Va.	-	-	-	-	-	-	6	1	374	381											
W. Va.	-	-	-	-	-	-	-	-	51	53											
N.C.	-	-	1	2	-	-	N	N	661	887											
S.C.	-	-	-	-	-	-	-	-	171	383											
Ga.	-	-	-	-	-	-	34	120	11	445											
Fla.	2	-	-	1	-	-	56	41	593	872											
E.S. CENTRAL	-	2	-	-	-	-	13	14	1,168	1,527											
Ky.	-	-	-	-	-	-	N	N	143	197											
Tenn.	-	2	-	-	-	-	6	8	413	402											
Ala.	-	-	-	-	-	-	7	6	381	500											
Miss.	-	-	-	-	-	-	-	-	231	428											
W.S. CENTRAL	-	3	-	2	-	-	5	5	2,257	2,398											
Ark.	-	1	-	-	-	-	5	5	190	255											
La.	-	-	-	-	-	-	-	-	972	393											
Okla.	-	-	-	-	-	-	-	-	105	170											
Tex.	-	2	-	2	-	-	-	-	990	1,580											
MOUNTAIN	3	4	-	1	-	-	30	57	347	595											
Mont.	1	-	-	-	-	-	1	1	-	10											
Idaho	1	1	-	-	-	-	15	10	3	6											
Wyo.	-	-	-	-	-	-	-	2	3	4											
Colo.	-	1	-	-	-	-	-	19	66	187											
N. Mex.	-	-	-	1	-	-	-	3	4	72											
Ariz.	-	1	N	N	N	N	-	12	259	217											
Utah	1	1	-	-	-	-	14	3	12	10											
Nev.	-	-	-	-	-	-	-	7	-	89											
PACIFIC	11	9	-	-	-	-	87	113	829	1,525											
Wash.	-	-	-	-	-	-	2	-	158	125											
Oreg.	2	-	-	-	-	-	18	11	-	41											
Calif.	6	9	-	-	-	-	63	90	652	1,268											
Alaska	-	-	-	-	-	-	2	6	18	27											
Hawaii	3	-	-	-	-	-	2	6	1	64											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	1	2	1											
V.I.	-	-	-	-	-	-	-	-	-	4											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


