
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 3, 2004 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	13,632	15,370	5,022	11,230	2,762	3,622	1,246	1,229	315	423											
NEW ENGLAND	679	797	118	138	131	335	15	67	7	5											
Maine	34	53	2	5	5	20	2	-	1	-											
N.H.	42	55	5	4	13	21	-	-	N	N											
Vt.	21	27	2	5	8	16	7	6	1	2											
Mass.	381	466	73	88	88	145	N	N	N	N											
R.I.	48	40	8	4	17	5	6	10	5	3											
Conn.	153	156	28	32	-	128	-	51	U	U											
MID. ATLANTIC	1,743	1,889	592	1,140	452	630	93	79	67	63											
Upstate N.Y.	448	399	289	153	158	224	45	38	47	45											
N.Y. City	484	514	166	183	65	92	U	U	U	U											
N.J.	303	340	87	193	90	129	-	-	2	2											
Pa.	508	636	50	611	139	185	48	41	18	16											
E.N. CENTRAL	1,693	2,248	361	950	560	890	302	272	94	183											
Ohio	515	600	79	152	157	208	222	186	56	62											
Ind.	176	229	88	65	66	77	79	86	21	16											
Ill.	321	813	87	529	125	228	-	-	-	71											
Mich.	369	313	54	134	185	260	1	N	N	N											
Wis.	312	293	53	70	27	117	N	N	17	34											
W.N. CENTRAL	1,034	921	179	355	194	220	10	9	40	44											
Minn.	243	219	23	45	97	107	-	-	31	33											
Iowa	218	158	37	23	N	N	N	N	N	N											
Mo.	294	306	77	182	41	46	7	6	4	2											
N. Dak.	18	20	2	4	9	10	-	3	1	4											
S. Dak.	45	33	6	8	8	18	3	-	-	-											
Nebr.	66	67	8	60	10	20	-	-	4	5											
Kans.	150	118	26	33	29	19	N	N	N	N											
S. ATLANTIC	3,185	3,542	1,323	3,515	548	595	632	653	10	11											
Del.	16	43	3	143	2	6	4	1	N	N											
Md.	279	357	53	268	114	150	-	4	-	-											
D.C.	17	14	20	31	5	5	3	-	3	3											
Va.	363	357	55	190	43	75	N	N	N	N											
W. Va.	62	43	-	-	16	27	64	40	7	8											
N.C.	389	482	137	449	82	66	N	N	U	U											
S.C.	185	187	185	225	35	30	54	100	N	N											
Ga.	512	583	305	746	115	120	149	150	N	N											
Fla.	1,362	1,476	565	1,463	136	116	358	358	N	N											
E.S. CENTRAL	853	989	283	496	132	122	75	92	-	-											
Ky.	146	156	36	57	45	32	19	11	N	N											
Tenn.	209	315	107	177	87	90	56	81	N	N											
Ala.	252	250	111	158	-	-	-	-	N	N											
Miss.	246	268	29	104	-	-	-	-	-	-											
W.S. CENTRAL	1,244	1,801	1,161	3,128	155	167	34	50	66	67											
Ark.	216	218	30	48	8	5	6	17	7	4											
La.	188	306	118	249	1	1	28	33	8	14											
Okla.	147	140	256	455	41	53	N	N	29	30											
Tex.	693	1,137	757	2,376	105	108	N	N	22	19											
MOUNTAIN	982	957	358	454	331	320	18	4	31	50											
Mont.	64	48	4	2	-	1	-	-	-	-											
Idaho	70	90	6	11	5	12	N	N	N	N											
Wyo.	22	48	1	1	6	1	5	3	-	-											
Colo.	231	235	60	69	83	84	-	-	28	38											
N. Mex.	101	92	55	97	57	81	5	-	-	8											
Ariz.	317	279	193	226	151	121	N	N	N	N											
Utah	102	89	19	22	28	19	6	1	3	4											
Nev.	75	76	20	26	1	1	2	-	-	-											
PACIFIC	2,219	2,226	647	1,054	259	343	67	3	-	-											
Wash.	212	266	55	87	34	29	-	-	N	N											
Oreg.	172	197	33	49	N	N	N	N	N	N											
Calif.	1,623	1,626	532	897	180	252	N	N	N	N											
Alaska	35	46	4	4	-	-	-	-	N	N											
Hawaii	177	91	23	17	45	62	67	3	-	-											
Guam	-	24	-	22	-	-	-	-	-	-											
P.R.	79	294	1	5	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


