
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2013 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	9	54	132	9	40	33	403	1,406	33	277	8	22	42	8	14						
NEW ENGLAND	-	5	19	-	2	2	111	602	2	101	-	1	5	-	2						
Conn.	-	1	7	-	-	1	38	177	1	29	-	0	1	-	-						
Maine	-	0	3	-	-	-	16	69	-	9	-	0	1	-	-						
Mass.	-	2	11	-	2	1	46	340	1	44	-	1	4	-	2						
N.H.	-	0	2	-	-	-	9	53	-	13	-	0	2	-	-						
R.I.	-	0	3	-	-	-	1	26	-	-	-	0	1	-	-						
Vt.	-	0	2	-	-	-	8	29	-	6	-	0	1	-	-						
MID. ATLANTIC	1	15	43	1	6	3	185	655	3	131	1	5	13	1	3						
N.J.	-	2	12	-	2	-	52	166	-	56	-	0	0	-	-						
N.Y. (Upstate)	-	6	15	-	1	1	41	148	1	1	-	0	4	-	-						
N.Y. City	-	2	13	-	2	-	1	12	-	1	1	4	11	1	3						
Pa.	1	4	18	1	1	2	92	405	2	73	-	1	4	-	-						
E.N. CENTRAL	3	11	37	3	12	-	22	164	-	23	1	2	8	1	2						
Ill.	-	3	22	-	1	-	2	18	-	-	-	0	6	-	-						
Ind.	-	2	5	-	1	-	1	6	-	1	-	0	2	-	-						
Mich.	-	1	6	-	3	-	2	9	-	1	1	0	5	1	1						
Ohio	3	5	17	3	7	-	1	6	-	1	-	1	3	-	-						
Wis.	-	0	2	-	-	-	17	134	-	20	-	0	2	-	1						
W.N. CENTRAL	-	3	10	-	2	-	2	23	-	2	1	1	5	1	1						
Iowa	-	0	2	-	-	-	1	16	-	1	-	0	1	-	1						
Kans.	-	0	1	-	-	-	0	3	-	-	-	0	2	-	-						
Minn.	-	1	4	-	-	-	1	6	-	1	-	0	0	-	-						
Mo.	-	1	8	-	2	-	0	2	-	-	1	0	2	1	-						
Nebr.	-	0	2	-	-	-	0	2	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	3	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	2	-	-						
S. ATLANTIC	4	10	22	4	8	28	52	149	28	16	5	7	16	5	4						
Del.	-	0	2	-	-	1	11	30	1	3	-	0	1	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Fla.	-	4	11	-	3	-	2	6	-	3	1	1	6	1	1						
Ga.	-	1	4	-	2	-	0	4	-	-	-	1	5	-	-						
Md.	2	2	6	2	1	25	20	91	25	7	4	1	8	4	-						
N.C.	2	1	8	2	1	-	0	13	-	-	-	0	7	-	-						
S.C.	-	0	3	-	-	-	1	3	-	-	-	0	2	-	-						
Va.	-	1	4	-	1	2	13	43	2	3	-	1	4	-	3						
W. Va.	-	0	2	-	-	-	1	10	-	-	-	0	0	-	-						
E.S. CENTRAL	-	2	7	-	3	-	1	5	-	-	-	0	4	-	-						
Ala.	-	0	2	-	1	-	0	2	-	-	-	0	2	-	-						
Ky.	-	0	4	-	1	-	0	4	-	-	-	0	1	-	-						
Miss.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Tenn.	-	1	3	-	1	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	1	3	12	1	1	-	1	6	-	-	-	1	6	-	-						
Ark.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
La.	-	0	3	-	-	-	0	1	-	-	-	0	2	-	-						
Okla.	-	0	9	-	-	-	0	0	-	-	-	0	4	-	-						
Tex.	1	2	7	1	1	-	1	6	-	-	-	1	5	-	-						
MOUNTAIN	-	2	4	-	-	-	0	4	-	2	-	1	5	-	-						
Ariz.	-	0	3	-	-	-	0	2	-	1	-	0	2	-	-						
Colo.	-	0	3	-	-	-	0	0	-	-	-	0	3	-	-						
Idaho	-	0	2	-	-	-	0	1	-	1	-	0	1	-	-						
Mont.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
Nev.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	4	-	-	-	0	1	-	-	-	0	2	-	-						
Wyo.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
PACIFIC	-	5	16	-	6	-	2	8	-	2	-	3	8	-	2						
Alaska	-	0	0	-	-	-	0	2	-	-	-	0	1	-	-						
Calif.	-	3	14	-	3	-	1	7	-	2	-	2	7	-	1						
Hawaii	-	0	1	-	-	N	0	0	N	N	-	0	1	-	-						
Oreg.	-	0	3	-	3	-	1	5	-	-	-	0	2	-	1						
Wash.	-	0	5	-	-	-	0	4	-	-	-	0	2	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
V.I.	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


