
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2013 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	39	223	370	39	192	-	3	320	-	-	-	2	336	-	-						
NEW ENGLAND	6	24	49	6	34	-	0	7	-	-	-	0	4	-	-						
Conn.	3	5	10	3	10	-	0	2	-	-	-	0	3	-	-						
Maine	2	4	22	2	4	-	0	1	-	-	-	0	0	-	-						
Mass.	-	10	21	-	16	-	0	6	-	-	-	0	2	-	-						
N.H.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	9	-	-	-	0	1	-	-	-	0	1	-	-						
Vt.	1	2	13	1	4	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	10	20	56	10	25	-	0	16	-	-	-	0	17	-	-						
N.J.	-	7	25	-	8	-	0	5	-	-	-	0	4	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	6	-	-	-	0	8	-	-						
N.Y. City	-	0	0	-	-	-	0	5	-	-	-	0	2	-	-						
Pa.	10	15	35	10	17	-	0	4	-	-	-	0	3	-	-						
E.N. CENTRAL	20	65	126	20	64	-	0	90	-	-	-	0	42	-	-						
Ill.	1	17	36	1	27	-	0	31	-	-	-	0	18	-	-						
Ind.	2	8	26	2	10	-	0	8	-	-	-	0	6	-	-						
Mich.	1	18	45	1	8	-	0	32	-	-	-	0	13	-	-						
Ohio	16	17	33	16	19	-	0	19	-	-	-	0	12	-	-						
Wis.	-	0	7	-	-	-	0	11	-	-	-	0	5	-	-						
W.N. CENTRAL	-	7	26	-	14	-	0	36	-	-	-	0	57	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Kans.	-	0	14	-	7	-	0	3	-	-	-	0	6	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	-	6	24	-	5	-	0	3	-	-	-	0	1	-	-						
Nebr.	-	0	3	-	1	-	0	8	-	-	-	0	22	-	-						
N. Dak.	-	0	4	-	-	-	0	9	-	-	-	0	11	-	-						
S. Dak.	-	0	3	-	1	-	0	17	-	-	-	0	27	-	-						
S. ATLANTIC	-	25	76	-	24	-	0	20	-	-	-	0	18	-	-						
Del.	-	0	1	-	-	-	0	1	-	-	-	0	2	-	-						
D.C.	-	0	4	-	-	-	0	3	-	-	-	0	1	-	-						
Fla.	-	12	50	-	8	-	0	5	-	-	-	0	5	-	-						
Ga.	-	1	9	-	-	-	0	6	-	-	-	0	8	-	-						
Md.	N	0	0	N	N	-	0	5	-	-	-	0	5	-	-						
N.C.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
S.C.	-	0	2	-	-	-	0	5	-	-	-	0	2	-	-						
Va.	-	7	17	-	7	-	0	4	-	-	-	0	3	-	-						
W. Va.	-	3	12	-	9	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	3	3	13	3	4	-	0	20	-	-	-	0	21	-	-						
Ala.	3	3	12	3	4	-	0	7	-	-	-	0	3	-	-						
Ky.	N	0	0	N	N	-	0	3	-	-	-	0	2	-	-						
Miss.	-	0	3	-	-	-	0	12	-	-	-	0	17	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	-	44	98	-	9	-	1	144	-	-	-	1	163	-	-						
Ark.	-	3	17	-	3	-	0	9	-	-	-	0	3	-	-						
La.	-	1	8	-	-	-	0	18	-	-	-	0	26	-	-						
Okla.	N	0	0	N	N	-	0	24	-	-	-	0	22	-	-						
Tex.	-	40	94	-	6	-	1	104	-	-	-	1	128	-	-						
MOUNTAIN	-	30	61	-	17	-	0	36	-	-	-	0	22	-	-						
Ariz.	-	9	26	-	4	-	0	9	-	-	-	0	6	-	-						
Colo.	-	8	25	-	7	-	0	17	-	-	-	0	13	-	-						
Idaho	N	0	0	N	N	-	0	1	-	-	-	0	3	-	-						
Mont.	-	2	8	-	-	-	0	1	-	-	-	0	2	-	-						
Nev.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
N. Mex.	-	1	8	-	1	-	0	9	-	-	-	0	5	-	-						
Utah	-	5	15	-	5	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	2	-	-	-	0	1	-	-	-	0	2	-	-						
PACIFIC	-	3	8	-	1	-	0	31	-	-	-	0	26	-	-						
Alaska	-	1	4	-	-	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	3	-	-	-	0	31	-	-	-	0	25	-	-						
Hawaii	-	1	3	-	1	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Wash.	N	0	0	N	N	-	0	4	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	9	-	1	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


