
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 19, 2009 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	35	101	239	3,928	4,211	11	36	122	1,205	1,260											
NEW ENGLAND	-	5	28	229	301	-	1	12	43	61											
Conn.	-	0	21	63	86	-	0	11	-	-											
Maine	-	0	2	13	20	-	0	1	3	1											
Mass.	-	3	10	97	140	-	1	4	30	45											
N.H.	-	1	4	34	20	-	0	2	8	8											
R.I.	-	0	2	9	22	-	0	2	-	7											
Vt.	-	0	3	13	13	-	0	1	2	-											
MID. ATLANTIC	1	19	43	788	861	1	5	33	182	158											
N.J.	-	3	6	104	155	-	1	4	31	47											
N.Y. (Upstate)	-	7	25	262	270	-	2	17	85	69											
N.Y. City	-	4	12	150	158	1	0	31	66	42											
Pa.	1	6	18	272	278	N	0	2	N	N											
E.N. CENTRAL	1	17	42	742	798	2	6	18	182	228											
Ill.	-	5	12	207	212	-	1	5	23	64											
Ind.	-	3	23	119	106	-	0	13	26	26											
Mich.	-	3	11	121	139	1	1	5	49	58											
Ohio	1	4	13	186	219	1	1	6	54	42											
Wis.	-	2	11	109	122	-	1	4	30	38											
W.N. CENTRAL	1	6	37	321	314	1	2	11	108	68											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	-	0	34	146	150	1	0	10	61	19											
Mo.	-	2	8	71	74	-	0	4	29	30											
Nebr.	-	1	3	35	31	-	0	1	8	7											
N. Dak.	-	0	4	11	8	-	0	3	4	6											
S. Dak.	1	0	3	21	19	-	0	2	6	6											
S. ATLANTIC	10	22	48	897	862	4	6	16	226	246											
Del.	-	0	1	10	6	-	0	0	-	-											
D.C.	-	0	3	11	12	N	0	0	N	N											
Fla.	4	6	12	221	196	1	1	6	53	46											
Ga.	3	5	13	213	190	2	2	6	58	67											
Md.	-	3	12	140	148	-	1	4	51	46											
N.C.	2	2	12	83	110	N	0	0	N	N											
S.C.	-	1	5	57	55	1	1	6	34	43											
Va.	1	3	9	128	112	-	0	4	18	38											
W. Va.	-	1	4	34	33	-	0	3	12	6											
E.S. CENTRAL	2	3	10	151	149	-	2	7	66	65											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	5	29	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	14	8											
Tenn.	1	3	9	122	117	-	1	6	52	57											
W.S. CENTRAL	19	9	79	343	380	1	6	46	204	198											
Ark.	-	0	2	14	8	1	0	4	22	11											
La.	-	0	3	11	15	-	0	3	13	11											
Okla.	3	3	20	111	88	-	1	7	43	49											
Tex.	16	5	59	207	269	-	3	34	126	127											
MOUNTAIN	1	10	22	341	435	2	4	16	171	198											
Ariz.	-	3	7	116	152	2	2	10	90	91											
Colo.	-	3	9	111	111	-	1	4	32	45											
Idaho	1	0	2	8	12	-	0	2	7	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	8	-	0	1	-	3											
N. Mex.	-	2	7	59	103	-	0	4	15	27											
Utah	-	1	6	41	43	-	0	5	27	28											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	-	3	9	116	111	-	0	4	23	38											
Alaska	-	1	3	22	28	-	0	3	17	24											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	94	83	-	0	2	6	14											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


