
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 7, 2002 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	974	577	12	21	2	2	39,234	37,678													
NEW ENGLAND	8	3	-	-	-	-	2,066	2,235													
Maine	-	-	-	-	-	-	142	163													
N.H.	-	1	-	-	-	-	133	159													
Vt.	-	-	-	-	-	-	73	79													
Mass.	4	2	-	-	-	-	1,147	1,286													
R.I.	4	-	-	-	-	-	163	131													
Conn.	-	-	-	-	-	-	408	417													
MID. ATLANTIC	48	32	1	8	-	-	4,873	4,944													
Upstate N.Y.	9	2	1	1	-	-	1,498	1,166													
N.Y. City	9	2	-	6	-	-	1,364	1,253													
N.J.	10	9	-	1	-	-	671	1,135													
Pa.	20	19	-	-	-	-	1,340	1,390													
E.N. CENTRAL	19	16	1	2	-	1	5,052	4,754													
Ohio	13	2	-	-	-	1	1,348	1,303													
Ind.	3	1	-	-	-	-	485	490													
Ill.	-	12	-	2	-	-	1,532	1,326													
Mich.	3	1	1	-	-	-	844	828													
Wis.	-	-	-	-	-	-	843	807													
W.N. CENTRAL	99	68	-	3	-	-	2,527	2,169													
Minn.	-	-	-	-	-	-	559	587													
Iowa	3	2	-	1	-	-	498	327													
Mo.	91	62	-	1	-	-	846	600													
N. Dak.	-	1	-	-	-	-	43	59													
S. Dak.	1	2	-	-	-	-	103	145													
Nebr.	4	1	-	-	-	-	150	151													
Kans.	-	-	-	1	-	-	328	300													
S. ATLANTIC	504	291	5	5	-	1	10,937	8,974													
Del.	4	11	-	-	-	-	94	92													
Md.	58	39	-	1	-	-	901	768													
D.C.	2	1	-	-	-	-	76	80													
Va.	42	28	-	-	-	1	1,173	1,258													
W. Va.	2	-	-	-	-	-	146	134													
N.C.	285	168	-	-	-	-	1,480	1,305													
S.C.	69	31	-	2	-	-	789	850													
Ga.	27	9	-	-	-	-	1,967	1,641													
Fla.	15	4	5	2	-	-	4,311	2,846													
E.S. CENTRAL	110	113	-	-	1	-	3,116	2,610													
Ky.	5	2	-	-	-	-	378	363													
Tenn.	81	77	-	-	1	-	788	630													
Ala.	20	18	-	-	-	-	840	725													
Miss.	4	16	-	-	-	-	1,110	892													
W.S. CENTRAL	163	42	1	1	-	-	3,462	4,869													
Ark.	97	9	-	-	-	-	1,033	893													
La.	-	2	-	-	-	-	753	805													
Okla.	61	31	-	-	-	-	485	462													
Tex.	5	-	1	1	-	-	1,191	2,709													
MOUNTAIN	14	11	1	-	-	-	2,143	2,082													
Mont.	1	1	-	-	-	-	87	72													
Idaho	-	1	-	-	-	-	147	135													
Wyo.	5	2	-	-	-	-	103	59													
Colo.	2	2	-	-	-	-	584	562													
N. Mex.	1	1	-	-	-	-	306	271													
Ariz.	-	-	-	-	-	-	539	583													
Utah	-	3	1	-	-	-	197	214													
Nev.	5	1	-	-	-	-	180	186													
PACIFIC	9	1	3	2	1	-	5,058	5,041													
Wash.	-	-	-	-	-	-	486	518													
Oreg.	3	1	-	-	-	-	339	267													
Calif.	6	-	3	1	-	-	3,891	3,868													
Alaska	-	-	-	-	-	-	76	47													
Hawaii	-	-	-	1	1	-	266	341													
Guam	-	-	-	-	-	-	-	24													
P.R.	-	-	-	3	-	-	201	872													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


