
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 18, 1996 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	124	190	10	242	360	94	1,075	1,011	3	67	38										
NEW ENGLAND	6	4	-	-	4	1	172	158	-	8	6										
Maine	-	-	-	-	2	-	8	18	-	-	-										
N.H.	-	-	-	-	-	-	17	12	-	-	1										
Vt.	1	-	-	-	-	-	7	5	-	2	-										
Mass.	4	2	-	-	1	1	137	116	-	4	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	7	-	2	3										
MID. ATLANTIC	8	3	1	28	49	-	88	89	-	4	3										
Upstate N.Y.	-	-	1	9	14	-	49	51	-	3	-										
N.Y. City	7	-	-	4	7	-	14	15	-	1	2										
N.J.	-	3	-	-	7	-	-	6	-	-	1										
Pa.	1	-	-	15	21	-	25	17	-	-	-										
E.N. CENTRAL	7	6	3	64	60	5	134	112	-	3	-										
Ohio	2	-	-	26	19	1	56	37	-	-	-										
Ind.	-	-	-	5	5	2	12	9	-	-	-										
Ill.	2	-	2	15	18	2	49	23	-	1	-										
Mich.	2	4	1	18	18	-	12	31	-	2	-										
Wis.	1	2	-	-	-	-	5	12	-	-	-										
W.N. CENTRAL	7	1	-	3	23	3	52	69	-	1	-										
Minn.	5	-	-	1	2	3	35	27	-	-	-										
Iowa	-	-	-	-	4	-	2	1	-	1	-										
Mo.	2	1	-	-	14	-	9	16	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	1	7	-	-	-										
Nebr.	-	-	-	-	3	-	1	3	-	-	-										
Kans.	-	-	-	-	-	-	4	10	-	-	-										
S. ATLANTIC	2	1	3	28	58	2	113	98	-	12	6										
Del.	1	-	-	-	-	-	7	5	-	-	-										
Md.	1	-	2	12	16	-	45	12	-	-	-										
D.C.	-	-	-	-	-	-	-	2	-	1	-										
Va.	-	-	-	3	13	-	5	7	-	-	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	-	16	-	25	49	-	-	-										
S.C.	-	-	1	4	6	-	5	10	-	1	-										
Ga.	-	-	-	2	-	2	6	-	-	-	-										
Fla.	-	1	-	7	7	-	18	13	-	10	6										
E.S. CENTRAL	-	-	-	11	10	1	37	26	-	-	-										
Ky.	-	-	-	-	-	-	23	2	-	-	-										
Tenn.	-	-	-	1	-	-	9	4	-	-	-										
Ala.	-	-	-	4	4	1	2	20	-	-	-										
Miss.	-	-	-	6	6	-	3	-	N	N	N										
W.S. CENTRAL	2	2	-	11	26	1	21	51	1	2	2										
Ark.	-	2	-	-	5	-	2	7	-	-	-										
La.	-	-	-	8	6	-	3	1	-	1	-										
Okla.	-	-	-	-	-	-	4	7	-	-	-										
Tex.	2	-	-	3	15	1	12	36	1	1	2										
MOUNTAIN	11	57	-	19	13	22	142	237	-	2	4										
Mont.	-	-	-	-	1	-	4	3	-	-	-										
Idaho	1	-	-	-	2	17	65	71	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	3	17	-	1	-	-	18	33	-	-	-										
N. Mex.	-	29	N	N	N	-	26	23	-	-	-										
Ariz.	3	10	-	1	1	5	9	96	-	1	3										
Utah	-	-	-	2	2	-	3	9	-	-	1										
Nev.	4	1	-	15	7	-	17	2	-	1	-										
PACIFIC	81	116	3	78	117	59	316	171	2	35	17										
Wash.	14	16	-	8	9	33	120	30	-	1	-										
Oreg.	1	1	N	N	N	-	25	13	-	-	1										
Calif.	2	97	3	54	96	25	162	115	2	32	14										
Alaska	63	-	-	2	11	-	-	-	-	-	-										
Hawaii	1	2	-	14	1	1	9	13	-	2	2										
Guam	-	-	U	2	3	U	-	-	U	-	-										
P.R.	1	7	-	1	1	-	-	8	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


