
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2003 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	305	445	2	4	44	78	8	4	1,146	2,302											
NEW ENGLAND	24	36	-	-	1	5	1	-	37	91											
Maine	1	1	-	-	-	-	-	-	2	3											
N.H.	4	4	-	-	-	-	-	-	3	5											
Vt.	4	2	-	-	-	-	-	-	1	-											
Mass.	9	19	-	-	1	3	1	-	23	48											
R.I.	-	-	-	-	-	-	-	-	2	4											
Conn.	6	10	-	-	-	2	-	-	6	31											
MID. ATLANTIC	47	80	-	1	7	11	2	-	126	255											
Upstate N.Y.	23	33	-	1	6	4	1	-	22	44											
N.Y. City	6	17	-	-	1	4	-	-	72	114											
N.J.	8	25	-	-	-	3	-	-	17	44											
Pa.	10	5	-	-	-	-	1	-	15	53											
E.N. CENTRAL	29	72	1	1	5	10	-	-	125	289											
Ohio	16	31	-	-	4	3	-	-	32	73											
Ind.	8	6	-	-	1	1	-	-	6	12											
Ill.	1	31	-	-	-	6	-	-	34	109											
Mich.	4	4	1	1	-	-	-	-	44	55											
Wis.	-	-	-	-	-	-	-	-	9	40											
W.N. CENTRAL	22	12	-	-	3	1	2	2	36	88											
Minn.	9	9	-	-	3	1	-	1	4	8											
Iowa	-	1	-	-	-	-	-	-	11	21											
Mo.	8	2	-	-	-	-	2	1	7	17											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	2											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	4	-	-	-	-	-	-	-	10	34											
S. ATLANTIC	71	107	-	-	5	21	-	-	329	606											
Del.	-	-	-	-	-	-	-	-	1	6											
Md.	17	28	-	-	1	-	-	-	40	83											
D.C.	-	-	-	-	-	-	-	-	4	22											
Va.	4	8	-	-	1	2	-	-	11	13											
W. Va.	2	1	-	-	-	-	-	-	4	5											
N.C.	5	10	-	-	-	1	-	-	20	89											
S.C.	1	3	-	-	-	1	-	-	12	12											
Ga.	16	34	-	-	2	11	-	-	126	87											
Fla.	26	23	-	-	1	6	-	-	111	289											
E.S. CENTRAL	24	20	-	1	3	4	-	-	36	80											
Ky.	2	2	-	-	-	-	-	-	7	16											
Tenn.	10	9	-	-	2	2	-	-	17	35											
Ala.	11	5	-	1	1	2	-	-	9	8											
Miss.	1	4	-	-	-	-	-	-	3	21											
W.S. CENTRAL	18	21	-	1	2	4	-	-	47	180											
Ark.	3	1	-	-	-	-	-	-	-	13											
La.	4	2	-	-	-	-	-	-	7	7											
Okla.	11	17	-	-	2	4	-	-	4	10											
Tex.	-	1	-	1	-	-	-	-	36	150											
MOUNTAIN	51	51	1	-	12	10	2	1	88	167											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	10											
Wyo.	-	1	-	-	-	-	-	-	-	2											
Colo.	10	11	-	-	3	1	-	-	7	23											
N. Mex.	5	11	-	-	2	4	1	-	5	4											
Ariz.	29	17	1	-	5	3	-	-	59	88											
Utah	5	7	-	-	2	1	-	-	5	14											
Nev.	2	3	-	-	-	1	1	1	11	21											
PACIFIC	19	46	-	-	6	12	1	1	322	546											
Wash.	3	-	-	-	2	-	1	-	13	36											
Oreg.	12	24	-	-	3	4	-	-	21	31											
Calif.	1	12	-	-	1	7	-	1	283	463											
Alaska	-	1	-	-	-	1	-	-	3	6											
Hawaii	3	9	-	-	-	-	-	-	2	10											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


