
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	1	1,105	27,954	39,005	156	164	-	1												
NEW ENGLAND	-	-	108	588	681	6	6	-	1												
Maine	-	-	18	11	19	1	-	-	-												
N.H.	-	-	9	10	13	-	-	-	-												
Vt.	-	-	15	13	14	-	-	-	-												
Mass.	-	-	33	450	269	5	6	-	1												
R.I.	-	-	10	104	95	-	-	-	-												
Conn.	-	-	23	-	271	-	-	-	-												
MID. ATLANTIC	-	-	214	2,535	3,503	26	29	-	-												
Upstate N.Y.	-	-	52	384	486	14	5	-	-												
N.Y. City	-	-	85	1,135	1,320	9	10	-	-												
N.J.	-	-	-	198	537	-	12	-	-												
Pa.	-	-	77	818	1,160	3	2	-	-												
E.N. CENTRAL	1	-	237	4,618	8,642	25	29	-	-												
Ohio	1	-	97	290	2,524	20	9	-	-												
Ind.	-	-	-	599	757	3	3	-	-												
Ill.	-	-	31	1,579	2,570	-	11	-	-												
Mich.	-	-	86	1,768	2,048	1	3	-	-												
Wis.	-	-	23	382	743	1	3	-	-												
W.N. CENTRAL	-	-	86	1,165	1,949	2	3	-	-												
Minn.	-	-	14	242	332	-	-	-	-												
Iowa	-	-	29	-	99	1	-	-	-												
Mo.	-	-	19	645	985	1	3	-	-												
N. Dak.	-	-	-	-	3	-	-	-	-												
S. Dak.	-	-	8	30	27	-	-	-	-												
Nebr.	-	-	-	-	155	-	-	-	-												
Kans.	-	-	16	248	348	-	-	-	-												
S. ATLANTIC	-	-	210	7,076	9,949	50	49	-	-												
Del.	-	-	7	141	174	-	-	-	-												
Md.	-	-	15	813	1,007	15	10	-	-												
D.C.	-	-	6	282	365	-	-	-	-												
Va.	-	-	5	1,117	935	2	3	-	-												
W. Va.	-	-	2	109	50	-	1	-	-												
N.C.	-	-	-	1,588	1,507	3	6	-	-												
S.C.	-	-	1	767	2,277	-	1	-	-												
Ga.	-	-	102	734	1,836	20	16	-	-												
Fla.	-	-	72	1,525	1,798	10	12	-	-												
E.S. CENTRAL	-	1	28	3,282	3,816	2	1	-	-												
Ky.	-	1	-	332	410	-	-	-	-												
Tenn.	-	-	9	1,129	1,255	1	-	-	-												
Ala.	-	-	19	1,169	1,194	1	1	-	-												
Miss.	-	-	-	652	957	-	-	-	-												
W.S. CENTRAL	-	-	9	5,246	6,347	4	2	-	-												
Ark.	-	-	9	253	772	-	-	-	-												
La.	-	-	-	1,389	1,442	-	-	-	-												
Okla.	-	-	-	436	600	4	2	-	-												
Tex.	-	-	-	3,168	3,533	-	-	-	-												
MOUNTAIN	-	-	105	1,112	1,161	24	31	-	-												
Mont.	-	-	3	11	3	-	-	-	-												
Idaho	-	-	3	11	12	-	-	-	-												
Wyo.	-	-	-	6	11	-	-	-	-												
Colo.	-	-	42	323	448	4	6	-	-												
N. Mex.	-	-	9	144	134	5	6	-	-												
Ariz.	-	-	10	354	324	12	18	-	-												
Utah	-	-	21	67	9	3	-	-	-												
Nev.	-	-	17	196	220	-	1	-	-												
PACIFIC	-	-	108	2,332	2,957	17	14	-	-												
Wash.	-	-	22	324	378	-	-	-	-												
Oreg.	-	-	66	-	135	12	-	-	-												
Calif.	-	-	-	1,890	2,333	-	11	-	-												
Alaska	-	-	8	66	30	-	1	-	-												
Hawaii	-	-	12	52	81	5	2	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	128	-	-	-	-												
V.I.	-	-	-	-	1	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	1	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


