
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2003 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	20,331	22,541	11,963	10,347	3,691	3,216	1,484	1,703	293	218											
NEW ENGLAND	1,173	1,196	177	180	307	250	40	75	6	1											
Maine	77	83	6	3	21	20	-	-	-	-											
N.H.	81	73	5	6	19	27	-	-	N	N											
Vt.	39	42	6	-	16	9	6	4	3	1											
Mass.	692	690	117	121	140	84	N	N	N	N											
R.I.	63	75	7	6	9	13	10	6	3	-											
Conn.	221	233	36	44	102	97	24	65	U	U											
MID. ATLANTIC	2,260	3,111	1,264	910	606	538	92	81	69	57											
Upstate N.Y.	567	818	202	138	275	215	50	72	53	47											
N.Y. City	640	804	217	270	90	125	U	U	U	U											
N.J.	211	659	161	352	42	113	N	N	N	N											
Pa.	842	830	684	150	199	85	42	9	16	10											
E.N. CENTRAL	3,069	3,395	1,095	1,144	842	691	320	152	130	81											
Ohio	887	796	245	394	247	157	210	28	77	-											
Ind.	340	280	92	59	86	39	110	122	33	40											
Ill.	978	1,193	517	488	179	202	-	2	-	-											
Mich.	460	570	167	99	284	212	N	N	N	N											
Wis.	404	556	74	104	46	81	N	N	20	41											
W.N. CENTRAL	1,428	1,389	489	695	241	185	125	326	42	40											
Minn.	335	328	59	141	121	95	-	220	36	36											
Iowa	206	228	35	72	N	N	N	N	N	N											
Mo.	536	468	249	104	49	38	9	5	2	1											
N. Dak.	25	24	3	16	10	-	3	1	4	3											
S. Dak.	60	52	9	150	18	10	1	1	-	-											
Nebr.	87	100	87	151	21	16	-	25	N	N											
Kans.	179	189	47	61	22	26	112	74	N	N											
S. ATLANTIC	5,301	5,259	4,817	3,301	678	527	758	787	8	19											
Del.	48	44	142	27	6	1	1	3	N	N											
Md.	466	507	399	645	207	84	-	-	-	14											
D.C.	21	48	41	39	10	6	2	-	4	3											
Va.	572	544	262	569	85	55	N	N	N	N											
W. Va.	70	68	-	4	30	13	51	34	4	2											
N.C.	644	670	596	207	80	100	N	N	U	U											
S.C.	281	316	268	69	30	29	106	136	N	N											
Ga.	1,005	985	1,276	765	83	101	187	196	N	N											
Fla.	2,194	2,077	1,833	976	147	138	411	418	N	N											
E.S. CENTRAL	1,326	1,582	558	813	139	74	95	104	-	-											
Ky.	236	188	68	82	32	13	12	13	N	N											
Tenn.	425	403	190	42	107	61	83	91	N	N											
Ala.	296	413	177	425	-	-	-	-	N	N											
Miss.	369	578	123	264	-	-	-	-	-	-											
W.S. CENTRAL	1,697	2,320	1,649	1,588	136	209	32	145	34	17											
Ark.	344	474	59	130	5	6	8	5	-	-											
La.	195	445	132	296	1	1	24	140	10	4											
Okla.	239	256	515	289	62	35	N	N	24	2											
Tex.	919	1,145	943	873	68	167	N	N	-	11											
MOUNTAIN	1,209	1,260	570	384	344	400	19	33	4	3											
Mont.	56	60	2	3	2	-	-	-	-	-											
Idaho	103	76	14	2	14	5	N	N	N	N											
Wyo.	59	37	1	4	2	7	4	10	-	-											
Colo.	275	359	93	79	96	82	-	-	-	-											
N. Mex.	111	165	108	71	85	74	15	23	-	-											
Ariz.	385	334	292	184	135	205	-	-	N	N											
Utah	123	98	30	18	9	27	-	-	4	3											
Nev.	97	131	30	23	1	-	-	-	-	-											
PACIFIC	2,868	3,029	1,344	1,332	398	342	3	-	-	-											
Wash.	319	280	102	92	38	18	-	-	N	N											
Oreg.	240	223	121	60	N	N	N	N	N	N											
Calif.	2,150	2,320	1,098	1,143	304	282	N	N	N	N											
Alaska	50	41	5	2	-	-	-	-	N	N											
Hawaii	109	165	18	35	56	42	3	-	-	-											
Guam	-	29	-	19	-	-	-	4	-	-											
P.R.	156	264	2	20	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


