
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2013 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2013
Rabies, animal cummulative for 2012
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2013
Salmonellosis cummulative for 2012
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2013
Shiga toxin-producing E. coli(STEC)† cummulative for 2012

tab delimited data:
test
UNITED STATES	17	71	127	78	247	208	986	1,677	1,128	2,021	15	114	202	99	238						
NEW ENGLAND	3	7	16	14	28	-	37	73	25	80	-	4	12	3	6						
Conn.	-	3	8	5	13	-	8	18	20	18	-	1	5	2	3						
Maine	-	1	4	2	9	-	2	11	2	6	-	0	6	-	-						
Mass.	-	0	0	-	-	-	21	54	2	42	-	2	7	-	3						
N.H.	1	0	3	2	3	-	1	8	-	7	-	0	4	1	-						
R.I.	1	0	5	1	2	-	2	7	-	-	-	0	1	-	-						
Vt.	1	1	7	4	1	-	1	7	1	7	-	0	2	-	-						
MID. ATLANTIC	4	14	31	21	30	10	89	192	76	220	-	11	23	7	32						
N.J.	-	0	0	-	-	-	17	48	-	65	-	2	6	-	8						
N.Y. (Upstate)	4	7	20	21	11	-	23	64	-	27	-	4	13	-	4						
N.Y. City	-	0	0	-	-	4	20	49	38	52	-	1	7	3	7						
Pa.	-	6	15	-	19	6	26	81	38	76	-	3	11	4	13						
E.N. CENTRAL	-	2	13	2	2	8	95	212	76	220	4	16	66	12	51						
Ill.	-	1	6	1	-	-	33	79	6	74	-	3	16	-	7						
Ind.	-	0	2	-	-	-	13	40	3	15	-	2	23	1	3						
Mich.	-	0	5	1	1	2	15	46	19	43	-	3	41	2	22						
Ohio	-	0	7	-	1	6	24	53	46	50	4	3	20	9	4						
Wis.	N	0	0	N	N	-	7	24	2	38	-	1	14	-	15						
