
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending September 10, 2005 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	3,153	3,346	1,615	1,584	618	543	5,338	5,309	172	274											
NEW ENGLAND	120	223	82	101	47	75	145	141	1	4											
Maine	9	9	N	N	-	4	1	2	-	-											
N.H.	13	15	-	-	4	N	12	3	-	3											
Vt.	9	8	10	6	4	1	1	-	-	-											
Mass.	81	101	59	26	39	41	92	87	-	-											
R.I.	8	17	13	14	-	6	8	19	-	1											
Conn.	-	73	U	55	U	23	31	30	1	-											
MID. ATLANTIC	699	573	155	114	108	80	695	690	20	27											
Upstate N.Y.	207	188	60	48	48	55	60	66	5	1											
N.Y. City	126	90	U	U	19	U	427	418	5	12											
N.J.	153	122	N	N	19	7	96	111	10	13											
Pa.	213	173	95	66	22	18	112	95	-	1											
E.N. CENTRAL	625	775	434	356	159	128	533	622	25	36											
Ohio	156	181	276	249	62	60	149	161	2	2											
Ind.	81	78	148	107	42	26	43	44	1	2											
Ill.	116	208	10	-	48	1	262	258	9	9											
Mich.	243	237	-	N	-	N	56	133	11	23											
Wis.	29	71	N	N	7	41	23	26	2	-											
W.N. CENTRAL	205	238	33	17	66	73	170	120	1	3											
Minn.	79	119	-	-	40	49	45	17	-	1											
Iowa	N	N	N	N	-	N	2	5	-	-											
Mo.	52	52	27	12	7	10	102	72	1	1											
N. Dak.	9	10	1	-	2	2	-	-	-	-											
S. Dak.	19	12	3	5	-	-	1	-	-	-											
Nebr.	14	15	2	-	6	6	4	6	-	-											
Kans.	32	30	N	N	11	6	16	20	-	1											
S. ATLANTIC	651	663	642	818	63	37	1,341	1,322	30	46											
Del.	1	3	1	4	-	N	8	6	-	1											
Md.	144	102	-	-	41	25	229	252	10	7											
D.C.	7	7	15	8	2	4	72	41	-	1											
Va.	60	59	N	N	-	N	88	69	3	2											
W. Va.	21	20	95	90	20	8	3	3	-	-											
N.C.	96	95	N	N	U	U	189	133	8	8											
S.C.	24	50	-	79	-	N	42	88	3	10											
Ga.	126	161	112	201	-	N	220	233	1	3											
Fla.	172	166	419	436	-	N	490	497	5	14											
E.S. CENTRAL	128	172	125	111	7	12	294	284	16	19											
Ky.	27	51	24	22	N	N	31	30	-	1											
Tenn.	101	121	101	87	-	N	143	88	12	7											
Ala.	-	-	-	-	-	N	92	126	3	9											
Miss.	-	-	-	2	7	12	28	40	1	2											
W.S. CENTRAL	195	261	94	46	122	108	864	815	50	54											
Ark.	14	16	12	6	13	7	33	37	-	3											
La.	6	2	82	40	22	23	176	194	6	3											
Okla.	87	49	N	N	19	32	29	19	1	2											
Tex.	88	194	N	N	68	46	626	565	43	46											
MOUNTAIN	459	364	50	20	38	30	270	276	15	35											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	1	8	N	N	-	N	20	15	1	2											
Wyo.	3	7	21	8	-	-	-	1	-	-											
Colo.	173	75	N	N	37	30	29	48	-	-											
N. Mex.	37	78	-	N	-	-	34	64	2	2											
Ariz.	183	164	N	N	-	N	104	119	12	30											
Utah	61	30	28	10	1	-	5	7	-	1											
Nev.	1	2	1	2	-	-	73	21	-	-											
PACIFIC	71	77	-	1	8	-	1,026	1,039	14	50											
Wash.	N	N	N	N	N	N	96	83	-	-											
Oreg.	N	N	N	N	6	N	19	22	-	-											
Calif.	-	-	N	N	N	N	901	929	14	50											
Alaska	-	-	-	-	-	N	6	-	-	-											
Hawaii	71	77	-	1	2	-	4	5	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	141	95	8	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


