
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 6, 1998 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,293	1,751	9	203	298	70	1,638	2,237	9	223	51										
NEW ENGLAND	66	110	-	-	7	9	284	494	-	32	-										
Maine	4	10	-	-	-	-	5	6	-	-	-										
N.H.	4	11	-	-	-	4	23	58	-	-	-										
Vt.	1	2	-	-	-	1	25	161	-	-	-										
Mass.	31	59	-	-	2	4	222	249	-	6	-										
R.I.	3	7	-	-	4	-	3	12	-	-	-										
Conn.	23	21	-	-	1	-	6	8	-	26	-										
MID. ATLANTIC	132	178	-	10	33	2	180	184	7	105	13										
Upstate N.Y.	33	43	-	3	5	2	114	62	7	101	2										
N.Y. City	13	31	U	4	1	U	4	45	U	2	11										
N.J.	36	33	-	-	5	-	5	11	-	2	-										
Pa.	50	71	-	3	22	-	57	66	-	-	-										
E.N. CENTRAL	188	255	3	36	35	10	165	212	-	-	3										
Ohio	74	97	1	17	13	1	63	65	-	-	-										
Ind.	25	31	1	3	4	2	47	22	-	-	-										
Ill.	47	78	-	1	8	-	10	28	-	-	-										
Mich.	22	24	1	15	9	7	28	28	-	-	-										
Wis.	20	25	-	-	1	-	17	69	-	-	3										
W.N. CENTRAL	105	127	-	19	8	7	139	124	-	3	-										
Minn.	16	17	-	10	3	1	79	76	-	-	-										
Iowa	15	25	-	5	4	5	34	7	-	-	-										
Mo.	45	63	-	3	-	-	11	21	-	2	-										
N. Dak.	-	1	U	1	-	U	-	2	U	-	-										
S. Dak.	6	4	-	-	-	-	4	1	-	-	-										
Nebr.	4	4	-	-	1	1	5	2	-	-	-										
Kans.	19	13	-	-	-	-	6	15	-	1	-										
S. ATLANTIC	227	296	-	30	35	1	110	181	1	5	12										
Del.	1	4	-	-	-	-	1	-	-	-	-										
Md.	21	31	-	-	1	-	20	71	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	21	28	-	4	4	-	6	19	-	-	1										
W. Va.	5	12	-	-	-	-	1	4	-	-	-										
N.C.	31	54	-	7	7	-	42	40	-	3	10										
S.C.	33	37	-	4	9	-	13	9	-	-	1										
Ga.	46	54	-	1	5	-	2	6	-	-	-										
Fla.	69	71	-	14	9	1	24	30	1	2	-										
E.S. CENTRAL	96	125	-	-	18	1	45	39	-	-	-										
Ky.	15	33	-	-	2	-	18	10	-	-	-										
Tenn.	36	39	-	-	3	-	14	12	-	-	-										
Ala.	45	36	-	-	6	1	13	12	-	-	-										
Miss.	U	17	U	U	7	U	U	5	U	U	-										
W.S. CENTRAL	134	159	-	29	34	15	111	61	1	60	3										
Ark.	18	25	-	-	-	2	15	3	-	-	-										
La.	25	30	-	2	7	-	-	7	-	-	-										
Okla.	25	22	-	-	-	-	13	8	-	-	-										
Tex.	66	82	-	27	27	13	83	43	1	60	3										
MOUNTAIN	77	110	2	19	36	17	379	603	-	5	4										
Mont.	2	8	-	-	-	-	1	6	-	-	-										
Idaho	3	7	2	3	2	3	167	399	-	-	1										
Wyo.	3	-	-	1	1	-	7	4	-	-	-										
Colo.	17	31	-	3	3	4	58	141	-	-	-										
N. Mex.	13	19	N	N	N	4	61	31	-	1	-										
Ariz.	28	23	-	4	22	1	59	10	-	1	3										
Utah	8	11	-	3	4	5	19	4	-	2	-										
Nev.	3	11	U	5	4	U	7	8	U	1	-										
PACIFIC	268	391	4	60	92	8	225	339	-	13	16										
Wash.	34	49	-	5	11	7	130	159	-	9	3										
Oreg.	49	82	N	N	N	1	14	23	-	-	-										
Calif.	180	257	3	40	66	-	76	147	-	2	7										
Alaska	1	1	-	2	5	-	-	2	-	-	-										
Hawaii	4	2	1	13	10	-	5	8	-	2	6										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	4	9	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	4	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


