
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 28, 2002 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	19,768	20,250	3,956	3,755	2,248	2,947	290	498													
NEW ENGLAND	332	312	173	239	21	150	3	52													
Maine	12	6	20	12	-	-	-	1													
N.H.	13	7	35	N	-	-	N	N													
Vt.	1	7	10	16	5	9	2	1													
Mass.	187	208	93	67	N	N	N	N													
R.I.	17	24	15	15	16	20	1	6													
Conn.	102	60	-	129	-	121	-	44													
MID. ATLANTIC	1,487	1,508	645	687	123	188	78	123													
Upstate N.Y.	370	489	292	282	96	178	75	123													
N.Y. City	460	410	148	166	U	U	U	U													
N.J.	403	274	136	148	N	N	N	N													
Pa.	254	335	69	91	27	10	3	-													
E.N. CENTRAL	1,977	4,471	762	785	277	209	123	178													
Ohio	681	2,979	217	199	107	3	31	-													
Ind.	107	253	48	69	165	206	66	107													
Ill.	819	630	196	254	2	-	-	71													
Mich.	198	304	300	212	3	-	N	N													
Wis.	172	305	1	51	N	N	26	-													
W.N. CENTRAL	991	2,112	253	409	433	207	61	70													
Minn.	225	496	132	200	292	108	60	58													
Iowa	123	365	-	-	N	N	N	N													
Mo.	201	321	47	75	5	11	1	-													
N. Dak.	16	27	3	22	1	7	-	12													
S. Dak.	156	716	13	17	1	6	-	-													
Nebr.	179	111	18	44	29	28	N	N													
Kans.	91	76	40	51	105	47	N	N													
S. ATLANTIC	7,401	3,440	748	640	1,134	1,582	8	14													
Del.	397	17	2	4	3	6	N	N													
Md.	1,256	163	149	N	N	N	N	N													
D.C.	61	54	9	22	57	11	1	4													
Va.	1,015	784	71	85	N	N	N	N													
W. Va.	12	8	19	25	46	52	7	10													
N.C.	638	356	122	147	N	N	U	U													
S.C.	128	251	35	14	186	292	N	N													
Ga.	1,354	752	124	187	196	434	N	N													
Fla.	2,540	1,055	217	156	646	787	N	N													
E.S. CENTRAL	1,517	1,772	112	123	130	266	-	-													
Ky.	201	846	21	39	18	27	N	N													
Tenn.	140	123	91	84	112	238	N	N													
Ala.	838	211	-	-	-	1	N	N													
Miss.	338	592	-	-	-	-	-	-													
W.S. CENTRAL	1,847	3,005	119	322	87	291	12	61													
Ark.	196	570	8	1	12	24	-	-													
La.	445	255	-	1	75	267	4	61													
Okla.	586	147	48	49	N	N	8	-													
Tex.	620	2,033	63	271	N	N	-	-													
MOUNTAIN	1,171	1,063	598	461	43	50	5	-													
Mont.	4	9	-	-	-	-	-	-													
Idaho	22	40	11	7	N	N	N	N													
Wyo.	9	8	7	12	11	11	-	-													
Colo.	212	245	147	161	-	-	-	-													
N. Mex.	231	122	109	91	31	37	-	-													
Ariz.	604	505	293	187	-	-	N	N													
Utah	42	63	31	3	-	-	5	-													
Nev.	47	71	-	-	1	2	-	-													
PACIFIC	3,045	2,567	546	89	-	4	-	-													
Wash.	179	236	65	-	-	-	N	N													
Oreg.	117	116	N	N	N	N	N	N													
Calif.	2,675	2,149	381	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	68	59	100	89	-	4	-	-													
Guam	-	50	-	1	-	-	-	-													
P.R.	8	21	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	18	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


