
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 20, 1998 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	526	562	10,113	12,822	3,538	4,250	-	23	1	13	36	72									
NEW ENGLAND	30	32	128	300	50	78	-	-	-	1	1	10									
Maine	2	3	13	41	-	5	-	-	-	-	-	-									
N.H.	5	4	7	17	9	5	-	-	-	-	-	1									
Vt.	2	2	10	7	1	3	-	-	-	-	-	-									
Mass.	19	20	38	148	15	35	-	-	-	1	1	8									
R.I.	2	2	9	26	25	8	-	-	-	-	-	-									
Conn.	-	1	51	61	-	22	-	-	-	-	-	1									
MID. ATLANTIC	74	69	636	1,123	511	645	-	9	-	2	11	16									
Upstate N.Y.	29	6	152	137	143	116	-	2	-	-	2	4									
N.Y. City	13	22	174	495	132	262	-	-	-	-	-	5									
N.J.	28	25	140	166	90	125	-	7	-	1	8	2									
Pa.	4	16	170	325	146	142	U	-	U	1	1	5									
E.N. CENTRAL	82	85	1,249	1,382	351	722	-	9	1	3	12	7									
Ohio	34	42	159	192	33	41	-	-	1	1	1	-									
Ind.	24	8	73	141	26	52	U	2	U	1	3	-									
Ill.	23	24	218	340	66	140	-	-	-	-	-	5									
Mich.	-	11	713	606	210	225	-	7	-	1	8	2									
Wis.	1	-	86	103	16	264	-	-	-	-	-	-									
W.N. CENTRAL	39	27	828	926	155	249	-	-	-	-	-	11									
Minn.	25	18	60	86	16	18	-	-	-	-	-	2									
Iowa	1	3	365	133	26	19	-	-	-	-	-	-									
Mo.	8	3	325	500	86	187	-	-	-	-	-	1									
N. Dak.	-	-	3	9	4	1	-	-	-	-	-	-									
S. Dak.	-	2	8	13	1	-	-	-	-	-	-	8									
Nebr.	-	1	15	38	7	8	-	-	-	-	-	-									
Kans.	5	-	52	147	15	16	-	-	-	-	-	-									
S. ATLANTIC	111	97	886	656	505	498	-	2	-	5	7	3									
Del.	-	-	2	13	-	3	-	-	-	1	1	-									
Md.	34	40	162	110	79	75	-	-	-	1	1	1									
D.C.	-	-	28	14	6	21	-	-	-	-	-	1									
Va.	12	6	124	87	51	57	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	8	-	-	-	-	-	-									
N.C.	13	16	48	103	82	108	-	-	-	-	-	1									
S.C.	4	3	16	64	3	57	-	-	-	-	-	-									
Ga.	23	20	236	120	82	47	-	-	-	1	1	-									
Fla.	21	9	269	139	199	122	-	2	-	-	2	-									
E.S. CENTRAL	31	36	171	320	187	315	-	-	-	-	-	1									
Ky.	4	4	10	38	22	19	-	-	-	-	-	-									
Tenn.	20	22	117	194	134	205	-	-	-	-	-	-									
Ala.	7	8	44	49	31	32	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	29	26	1,986	2,554	598	496	-	-	-	-	-	4									
Ark.	-	1	40	119	34	34	-	-	-	-	-	-									
La.	13	6	40	106	45	57	-	-	-	-	-	-									
Okla.	14	17	269	789	31	17	-	-	-	-	-	-									
Tex.	2	2	1,637	1,540	488	388	-	-	-	-	-	4									
MOUNTAIN	65	64	1,606	1,901	396	409	-	-	-	-	-	7									
Mont.	-	-	51	49	3	5	-	-	-	-	-	-									
Idaho	-	1	126	76	17	14	-	-	-	-	-	-									
Wyo.	-	1	23	19	2	14	-	-	-	-	-	-									
Colo.	14	9	123	219	46	80	-	-	-	-	-	-									
N. Mex.	5	6	82	147	161	139	-	-	-	-	-	-									
Ariz.	36	23	1,025	871	107	84	-	-	-	-	-	5									
Utah	4	3	108	331	37	48	-	-	-	-	-	-									
Nev.	6	21	68	189	23	25	U	-	U	-	-	2									
PACIFIC	65	126	2,623	3,660	785	838	-	3	-	2	5	13									
Wash.	3	2	556	251	61	34	-	-	-	1	1	-									
Oreg.	29	22	194	189	53	55	-	-	-	-	-	-									
Calif.	27	97	1,839	3,125	660	732	-	3	-	1	4	10									
Alaska	1	1	11	22	6	11	-	-	-	-	-	-									
Hawaii	5	4	23	73	5	6	-	-	-	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	23	172	245	660	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	5	-	1	7	25	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


