
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2005 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	546	721	284	406	78	102	707	937	18	68											
NEW ENGLAND	17	41	-	1	8	10	28	14	-	-											
Maine	1	1	N	N	-	-	-	-	-	-											
N.H.	1	5	-	-	-	N	2	1	-	-											
Vt.	2	-	-	-	-	-	-	-	-	-											
Mass.	13	33	-	-	8	10	26	5	-	-											
R.I.	-	2	-	1	-	-	-	1	-	-											
Conn.	-	-	-	-	U	U	-	7	-	-											
MID. ATLANTIC	104	123	31	26	17	8	81	125	3	13											
Upstate N.Y.	42	35	8	9	8	3	6	3	2	1											
N.Y. City	8	29	U	U	U	U	56	79	-	3											
N.J.	16	27	N	N	2	-	13	23	-	8											
Pa.	38	32	23	17	7	5	6	20	1	1											
E.N. CENTRAL	77	176	55	108	22	29	61	96	1	14											
Ohio	22	46	44	86	15	16	32	26	-	-											
Ind.	14	8	11	22	3	4	5	8	-	2											
Ill.	2	52	-	-	1	-	16	45	-	2											
Mich.	35	54	-	N	-	N	5	14	-	10											
Wis.	4	16	N	N	3	9	3	3	1	-											
W.N. CENTRAL	23	35	9	1	8	9	21	26	-	-											
Minn.	-	-	-	-	4	3	1	5	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	11	11	8	1	-	3	17	16	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	4	4	1	-	-	-	-	-	-	-											
Nebr.	5	3	-	-	1	2	1	4	-	-											
Kans.	2	14	N	N	2	1	2	-	-	-											
S. ATLANTIC	132	124	136	195	8	9	210	231	3	11											
Del.	-	-	-	1	-	N	2	1	-	-											
Md.	38	29	-	-	8	6	48	37	-	3											
D.C.	1	-	-	3	-	3	12	7	-	-											
Va.	3	8	N	N	-	N	11	3	2	1											
W. Va.	-	6	-	9	-	-	-	2	-	-											
N.C.	15	17	N	N	U	U	37	20	-	-											
S.C.	-	1	-	14	-	N	9	20	-	2											
Ga.	31	32	52	68	-	N	-	31	-	1											
Fla.	44	31	84	100	-	N	91	110	1	4											
E.S. CENTRAL	12	39	19	25	-	-	42	55	2	2											
Ky.	2	17	5	6	N	N	2	10	-	-											
Tenn.	10	22	14	19	-	N	17	27	1	1											
Ala.	-	-	-	-	-	N	20	13	1	1											
Miss.	-	-	-	-	-	-	3	5	-	-											
W.S. CENTRAL	22	61	15	14	7	25	131	137	7	17											
Ark.	6	2	3	1	-	-	4	9	-	-											
La.	3	1	12	13	2	6	12	23	-	-											
Okla.	13	8	N	N	5	6	8	4	1	2											
Tex.	-	50	N	N	-	13	107	101	6	15											
MOUNTAIN	120	39	9	9	8	12	37	47	2	1											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	1	N	N	-	N	6	4	-	-											
Wyo.	1	3	2	3	-	-	-	1	-	-											
Colo.	49	14	N	N	7	12	-	9	-	-											
N. Mex.	11	16	-	4	-	-	6	14	-	1											
Ariz.	55	3	N	N	-	N	20	15	2	-											
Utah	4	2	6	1	1	-	-	2	-	-											
Nev.	-	-	1	1	-	-	5	2	-	-											
PACIFIC	39	83	10	27	-	-	96	206	-	10											
Wash.	N	N	N	N	N	N	14	12	-	-											
Oreg.	N	N	N	N	-	N	-	9	-	-											
Calif.	22	61	N	N	-	N	81	183	-	10											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	17	22	10	27	-	-	1	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	10	13	-	-											
V.I.	-	-	-	-	-	-	-	2	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


