
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 26, 1999 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	596	587	7,445	10,953	3,075	4,314	1	28	-	13	41	40									
NEW ENGLAND	41	41	90	146	51	87	-	5	-	4	9	2									
Maine	5	2	4	13	-	2	-	-	-	-	-	-									
N.H.	8	6	7	7	8	10	-	-	-	1	1	-									
Vt.	4	2	3	11	1	3	-	-	-	-	-	-									
Mass.	17	29	29	48	26	34	-	4	-	2	6	2									
R.I.	-	2	9	9	16	20	-	-	-	-	-	-									
Conn.	7	-	38	58	-	18	U	1	U	1	2	-									
MID. ATLANTIC	83	87	500	825	383	619	-	-	-	2	2	11									
Upstate N.Y.	47	27	121	155	98	116	-	-	-	2	2	2									
N.Y. City	13	27	82	305	89	212	-	-	-	-	-	-									
N.J.	23	28	57	157	40	106	U	-	U	-	-	8									
Pa.	-	5	240	208	156	185	-	-	-	-	-	1									
E.N. CENTRAL	83	94	1,494	1,499	292	474	-	1	-	-	1	15									
Ohio	35	34	366	172	45	35	-	-	-	-	-	1									
Ind.	14	22	96	89	27	52	-	1	-	-	1	3									
Ill.	27	34	220	370	-	127	-	-	-	-	-	-									
Mich.	7	-	786	750	219	214	-	-	-	-	-	10									
Wis.	-	4	26	118	1	46	U	-	U	-	-	1									
W.N. CENTRAL	48	39	362	841	240	203	-	-	-	-	-	-									
Minn.	13	25	33	60	19	16	-	-	-	-	-	-									
Iowa	13	1	76	353	103	33	-	-	-	-	-	-									
Mo.	16	8	190	350	92	125	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	8	1	1	-	-	-	-	-	-									
Nebr.	3	-	30	14	10	9	-	-	-	-	-	-									
Kans.	2	5	24	53	15	15	-	-	-	-	-	-									
S. ATLANTIC	139	110	926	830	554	449	-	1	-	3	4	6									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	32	36	155	170	78	86	-	-	-	-	-	1									
D.C.	4	-	32	30	11	6	-	-	-	-	-	-									
Va.	12	12	76	126	49	53	-	1	-	2	3	2									
W. Va.	4	4	15	1	11	3	-	-	-	-	-	-									
N.C.	21	15	64	49	117	103	-	-	-	-	-	-									
S.C.	2	3	18	17	38	8	-	-	-	-	-	-									
Ga.	35	22	251	235	65	84	-	-	-	-	-	1									
Fla.	29	18	313	199	185	106	-	-	-	1	1	1									
E.S. CENTRAL	46	36	233	217	225	201	-	-	-	-	-	1									
Ky.	6	5	37	14	25	23	-	-	-	-	-	-									
Tenn.	25	22	121	122	108	138	-	-	-	-	-	-									
Ala.	13	7	36	44	47	40	-	-	-	-	-	1									
Miss.	2	2	39	37	45	-	U	-	U	-	-	-									
W.S. CENTRAL	33	30	1,306	1,950	291	980	-	1	-	2	3	-									
Ark.	1	-	26	39	25	47	-	-	-	-	-	-									
La.	7	13	59	41	72	47	U	-	U	-	-	-									
Okla.	23	15	250	280	60	31	-	-	-	-	-	-									
Tex.	2	2	971	1,590	134	855	-	1	-	2	3	-									
MOUNTAIN	60	77	726	1,652	312	416	1	2	-	-	2	-									
Mont.	1	-	12	51	15	3	-	-	-	-	-	-									
Idaho	1	-	27	134	16	17	-	-	-	-	-	-									
Wyo.	1	-	4	23	5	2	U	-	U	-	-	-									
Colo.	9	14	126	125	43	52	-	-	-	-	-	-									
N. Mex.	13	4	28	83	108	154	-	-	-	-	-	-									
Ariz.	29	39	442	1,008	80	102	-	1	-	-	1	-									
Utah	4	3	25	113	17	38	1	1	-	-	1	-									
Nev.	2	17	62	115	28	48	-	-	-	-	-	-									
PACIFIC	63	73	1,808	2,993	727	885	-	18	-	2	20	5									
Wash.	2	3	149	567	32	52	-	-	-	-	-	1									
Oreg.	25	30	137	233	49	88	-	8	-	-	8	-									
Calif.	30	33	1,512	2,150	631	731	-	10	-	2	12	4									
Alaska	4	1	3	14	9	7	U	-	U	-	-	-									
Hawaii	2	6	7	29	6	7	-	-	-	-	-	-									
Guam	-	-	2	-	2	2	U	1	U	-	1	-									
P.R.	1	2	80	31	76	277	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	34	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


