
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2004 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	1,320	1,763	508	1,458	307	330	255	130	21	39											
NEW ENGLAND	66	70	17	22	5	33	-	12	-	-											
Maine	3	2	-	-	1	-	-	-	-	-											
N.H.	-	2	-	-	-	1	-	-	N	N											
Vt.	3	1	-	-	-	1	-	2	-	-											
Mass.	46	53	14	18	4	17	N	N	N	N											
R.I.	-	4	-	2	-	-	-	-	-	-											
Conn.	14	8	3	2	-	14	-	10	U	U											
MID. ATLANTIC	82	220	43	133	30	62	12	8	4	3											
Upstate N.Y.	25	16	28	10	13	11	5	2	2	2											
N.Y. City	3	73	-	38	-	10	U	U	U	U											
N.J.	5	52	3	45	1	12	N	N	N	N											
Pa.	49	79	12	40	16	29	7	6	2	1											
E.N. CENTRAL	192	263	54	121	62	87	72	30	17	27											
Ohio	72	88	19	21	28	19	64	30	14	19											
Ind.	12	7	2	4	-	2	8	-	3	1											
Ill.	49	94	16	64	-	33	-	-	-	-											
Mich.	42	39	11	21	32	20	N	N	N	N											
Wis.	17	35	6	11	2	13	N	N	-	7											
W.N. CENTRAL	66	84	19	62	16	19	21	20	-	2											
Minn.	13	16	2	1	-	-	-	-	-	1											
Iowa	19	21	2	1	N	N	N	N	N	N											
Mo.	-	29	-	32	-	9	-	-	-	-											
N. Dak.	2	1	1	-	1	-	-	-	-	1											
S. Dak.	5	4	1	2	3	3	-	-	-	-											
Nebr.	6	3	1	20	-	4	-	-	N	N											
Kans.	21	10	12	6	12	3	21	20	N	N											
S. ATLANTIC	441	466	211	628	108	22	137	43	-	-											
Del.	-	4	1	37	-	1	-	-	N	N											
Md.	34	40	12	73	16	10	-	-	-	-											
D.C.	-	-	4	-	-	-	-	-	-	-											
Va.	24	15	6	11	4	1	N	N	N	N											
W. Va.	1	-	-	-	1	-	4	-	-	-											
N.C.	43	67	24	61	11	2	N	N	U	U											
S.C.	9	3	9	3	1	1	9	7	N	N											
Ga.	128	192	55	246	53	6	64	28	N	N											
Fla.	202	145	100	197	22	1	60	8	N	N											
E.S. CENTRAL	83	129	15	58	15	5	7	4	-	-											
Ky.	7	15	1	9	5	1	3	-	N	N											
Tenn.	18	38	3	8	10	4	4	4	N	N											
Ala.	37	48	8	27	-	-	-	-	N	N											
Miss.	21	28	3	14	-	-	-	-	-	-											
W.S. CENTRAL	41	161	26	187	8	44	2	11	-	6											
Ark.	20	14	3	1	-	-	1	-	-	-											
La.	-	30	1	34	-	-	1	11	-	1											
Okla.	16	5	16	24	3	3	N	N	-	2											
Tex.	5	112	6	128	5	41	N	N	-	3											
MOUNTAIN	84	101	30	61	14	42	4	2	-	1											
Mont.	5	2	1	-	-	-	-	-	-	-											
Idaho	22	8	-	-	1	3	N	N	N	N											
Wyo.	2	1	1	1	2	-	2	-	-	-											
Colo.	10	43	4	14	3	11	-	-	-	-											
N. Mex.	13	9	11	20	6	8	2	2	-	-											
Ariz.	21	19	12	22	-	19	-	-	N	N											
Utah	11	8	1	2	2	1	-	-	-	1											
Nev.	-	11	-	2	-	-	-	-	-	-											
PACIFIC	265	269	93	186	49	16	-	-	-	-											
Wash.	9	15	3	-	-	-	-	-	N	N											
Oreg.	17	9	5	6	N	N	N	N	N	N											
Calif.	211	221	79	176	35	7	N	N	N	N											
Alaska	11	10	-	1	-	-	-	-	N	N											
Hawaii	17	14	6	3	14	9	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	14	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


