
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 2004 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	8,321	154,928	174,526	1,145	772	550	486	6	57											
NEW ENGLAND	-	279	5,944	5,819	-	-	29	28	-	-											
Maine	-	8	295	384	N	N	4	1	-	-											
N.H.	-	3	356	311	-	-	7	3	-	-											
Vt.	-	5	247	230	-	-	3	4	-	-											
Mass.	-	111	3,011	2,247	-	-	10	15	-	-											
R.I.	-	21	759	617	-	-	1	3	-	-											
Conn.	-	131	1,276	2,030	N	N	4	2	-	-											
MID. ATLANTIC	-	2,163	22,832	19,789	-	-	102	55	2	-											
Upstate N.Y.	-	92	4,217	3,246	N	N	21	11	-	-											
N.Y. City	-	1,272	6,884	7,158	-	-	18	23	-	-											
N.J.	-	296	2,630	3,127	-	-	7	2	-	-											
Pa.	-	503	9,101	6,258	N	N	56	19	2	-											
E.N. CENTRAL	-	856	23,046	33,416	4	2	108	83	-	-											
Ohio	-	128	2,735	9,217	-	-	37	12	-	-											
Ind.	-	119	3,754	3,739	N	N	18	4	-	-											
Ill.	-	365	6,192	10,646	-	-	8	15	-	-											
Mich.	-	202	8,505	6,219	4	2	23	18	-	-											
Wis.	-	42	1,860	3,595	-	-	22	34	-	-											
W.N. CENTRAL	-	136	8,958	10,189	-	1	65	34	1	-											
Minn.	-	23	1,529	2,308	N	N	27	19	-	-											
Iowa	-	23	-	984	N	N	8	5	-	-											
Mo.	-	73	3,990	3,733	-	1	14	2	1	-											
N. Dak.	-	-	207	250	N	N	-	-	-	-											
S. Dak.	-	4	514	489	-	-	4	6	-	-											
Nebr.	-	6	1,143	914	-	-	-	2	-	-											
Kans.	-	7	1,575	1,511	N	N	12	-	-	-											
S. ATLANTIC	-	1,814	24,989	30,925	-	1	114	169	2	57											
Del.	-	49	653	643	N	N	-	1	-	-											
Md.	-	187	4,197	3,305	-	1	7	6	-	-											
D.C.	-	233	759	729	-	-	1	-	-	-											
Va.	-	264	1,245	3,145	-	-	9	5	-	-											
W. Va.	-	13	619	536	N	N	-	-	-	-											
N.C.	-	192	5,277	4,956	N	N	24	7	-	-											
S.C.	-	169	3,934	2,746	-	-	2	1	1	-											
Ga.	-	415	802	6,379	-	-	42	20	-	-											
Fla.	-	292	7,503	8,486	N	N	29	129	1	57											
E.S. CENTRAL	-	324	10,629	11,637	N	N	24	19	-	-											
Ky.	-	38	1,258	1,814	N	N	6	2	-	-											
Tenn.	-	145	4,134	3,927	N	N	10	9	-	-											
Ala.	-	64	2,763	3,035	-	-	6	6	-	-											
Miss.	-	77	2,474	2,861	N	N	2	2	-	-											
W.S. CENTRAL	-	940	21,952	21,644	-	1	20	9	1	-											
Ark.	-	23	1,624	1,311	-	-	8	2	-	-											
La.	-	49	5,433	4,136	N	N	-	-	1	-											
Okla.	-	40	1,481	1,715	N	N	8	1	-	-											
Tex.	-	828	13,414	14,482	-	1	4	6	-	-											
MOUNTAIN	-	312	9,140	10,872	767	561	30	15	-	-											
Mont.	-	7	27	453	N	N	3	1	-	-											
Idaho	-	4	692	503	N	N	1	4	-	-											
Wyo.	-	2	226	220	-	-	2	-	-	-											
Colo.	-	72	1,466	2,824	N	N	17	3	-	-											
N. Mex.	-	27	1,245	1,671	6	-	1	-	-	-											
Ariz.	-	145	3,863	3,374	748	553	5	1	-	-											
Utah	-	14	567	538	4	1	-	4	-	-											
Nev.	-	41	1,054	1,289	9	7	1	2	-	-											
PACIFIC	-	1,497	27,438	30,235	374	206	58	74	-	-											
Wash.	-	117	3,643	3,127	N	N	3	-	-	-											
Oreg.	-	66	1,449	1,512	-	-	6	5	-	-											
Calif.	-	1,294	21,644	23,714	374	206	48	69	-	-											
Alaska	-	7	691	746	-	-	-	-	-	-											
Hawaii	-	13	11	1,136	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	235	298	243	N	N	N	N	-	-											
V.I.	-	6	20	66	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


