
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 9, 2000 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,488	1,752	2	256	259	102	3,968	4,209	1	110	225										
NEW ENGLAND	90	81	-	4	6	4	914	496	1	12	7										
Maine	9	5	-	-	-	-	31	-	-	-	-										
N.H.	9	11	-	-	1	3	82	77	-	2	-										
Vt.	2	4	-	-	1	1	173	41	-	-	-										
Mass.	53	45	-	1	4	-	577	346	-	8	7										
R.I.	8	4	-	1	-	-	14	20	1	1	-										
Conn.	9	12	-	2	-	-	37	12	-	1	-										
MID. ATLANTIC	143	168	1	19	34	5	374	690	-	9	30										
Upstate N.Y.	46	46	1	8	7	5	170	537	-	2	18										
N.Y. City	30	49	-	4	9	-	44	37	-	7	5										
N.J.	31	39	-	3	1	-	34	19	-	-	4										
Pa.	36	34	-	4	17	-	126	97	-	-	3										
E.N. CENTRAL	252	315	1	27	34	16	459	383	-	1	2										
Ohio	63	111	-	7	11	9	238	156	-	-	-										
Ind.	37	45	1	1	4	6	68	52	-	-	1										
Ill.	64	82	-	6	9	-	45	67	-	1	1										
Mich.	68	46	-	13	8	1	53	39	-	-	-										
Wis.	20	31	-	-	2	-	55	69	-	-	-										
W.N. CENTRAL	128	171	-	17	9	12	325	284	-	-	124										
Minn.	17	38	-	-	1	9	191	127	-	-	5										
Iowa	22	31	-	6	4	1	40	43	-	-	30										
Mo.	72	62	-	5	1	1	49	52	-	-	2										
N. Dak.	2	3	-	-	-	1	3	4	-	-	-										
S. Dak.	5	11	-	-	-	-	3	5	-	-	-										
Nebr.	4	9	-	3	-	-	9	4	-	-	87										
Kans.	6	17	-	3	3	-	30	49	-	-	-										
S. ATLANTIC	243	287	-	40	39	18	329	294	-	61	34										
Del.	-	8	U	-	-	U	8	4	U	-	-										
Md.	22	44	-	9	3	1	77	93	-	-	1										
D.C.	-	3	-	-	2	-	3	-	-	-	-										
Va.	35	36	-	8	8	14	58	17	-	-	-										
W. Va.	10	5	-	-	-	-	1	2	-	-	-										
N.C.	32	34	-	5	8	2	76	76	-	52	33										
S.C.	18	35	-	11	3	-	23	14	-	7	-										
Ga.	38	49	-	2	4	-	27	26	-	-	-										
Fla.	88	73	-	5	11	1	56	62	-	2	-										
E.S. CENTRAL	107	122	-	6	11	1	84	73	-	5	2										
Ky.	24	24	-	-	-	-	40	22	-	1	-										
Tenn.	44	49	-	2	-	-	25	30	-	1	-										
Ala.	29	30	-	2	8	1	18	18	-	3	2										
Miss.	10	19	-	2	3	-	1	3	-	-	-										
W.S. CENTRAL	103	182	-	23	36	6	207	157	-	4	6										
Ark.	12	31	-	2	-	-	29	18	-	-	-										
La.	28	54	-	3	10	-	3	9	-	-	-										
Okla.	22	27	-	-	1	3	13	30	-	-	-										
Tex.	41	70	-	18	25	3	162	100	-	4	6										
MOUNTAIN	105	106	-	18	10	15	528	501	-	2	16										
Mont.	4	2	U	1	-	U	24	2	U	-	-										
Idaho	6	8	-	-	1	2	48	117	-	-	-										
Wyo.	-	4	-	2	-	-	5	2	-	-	-										
Colo.	28	27	-	1	3	13	296	188	-	1	1										
N. Mex.	7	13	-	1	N	-	74	71	-	-	-										
Ariz.	50	32	-	4	-	-	57	66	-	1	13										
Utah	7	13	U	4	3	U	15	51	U	-	1										
Nev.	3	7	-	5	3	-	9	4	-	-	1										
PACIFIC	317	320	-	102	80	25	748	1,331	-	16	4										
Wash.	38	51	-	6	2	20	248	544	-	7	-										
Oreg.	50	55	N	N	N	4	96	31	-	-	-										
Calif.	215	202	-	75	65	1	358	722	-	9	4										
Alaska	6	6	-	7	1	-	19	4	-	-	-										
Hawaii	8	6	-	14	12	-	27	30	-	-	-										
Guam	-	1	U	-	1	U	-	2	U	-	-										
P.R.	6	9	-	-	-	-	2	19	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


