
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending October 9, 1999 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,861	2,083	9	257	540	60	4,122	4,923	2	224	338										
NEW ENGLAND	91	90	-	4	6	1	486	793	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	11	-	1	-	-	74	80	-	-	-										
Vt.	4	5	-	1	-	1	53	66	-	-	-										
Mass.	52	41	-	2	4	-	321	595	-	7	8										
R.I.	4	3	-	-	-	-	24	9	-	-	1										
Conn.	14	25	-	-	2	-	14	38	-	-	29										
MID. ATLANTIC	167	218	-	28	176	3	684	493	-	22	146										
Upstate N.Y.	51	56	-	9	5	3	598	259	-	18	114										
N.Y. City	44	26	-	3	155	-	10	31	-	-	18										
N.J.	39	51	-	-	6	-	12	15	-	1	13										
Pa.	33	85	-	16	10	-	64	188	-	3	1										
E.N. CENTRAL	321	320	2	32	67	11	315	624	-	2	-										
Ohio	117	115	2	13	25	10	166	220	-	-	-										
Ind.	53	56	-	4	6	-	54	113	-	1	-										
Ill.	87	84	-	8	9	-	49	78	-	1	-										
Mich.	40	38	-	7	25	1	42	56	-	-	-										
Wis.	24	27	-	-	2	-	4	157	-	-	-										
W.N. CENTRAL	206	182	-	11	28	17	289	407	-	123	32										
Minn.	45	29	-	1	12	15	154	215	-	5	-										
Iowa	37	33	-	5	10	2	41	60	-	29	-										
Mo.	80	67	-	2	3	-	47	30	-	2	2										
N. Dak.	3	5	-	-	2	-	4	3	-	-	-										
S. Dak.	11	7	U	-	-	U	5	8	U	-	-										
Nebr.	12	13	-	-	-	-	3	15	-	87	-										
Kans.	18	28	U	3	1	U	35	76	U	-	30										
S. ATLANTIC	327	344	-	42	42	9	335	264	-	36	18										
Del.	7	2	-	-	-	-	4	5	-	-	-										
Md.	46	25	-	3	-	1	95	51	-	1	1										
D.C.	1	1	-	2	-	-	-	1	-	-	-										
Va.	42	31	-	9	7	-	19	26	-	-	1										
W. Va.	5	13	-	-	-	-	2	1	-	-	-										
N.C.	36	48	-	8	10	-	83	89	-	35	13										
S.C.	41	49	-	4	6	-	15	25	-	-	-										
Ga.	52	79	-	4	1	1	34	21	-	-	-										
Fla.	97	96	-	12	18	7	83	45	-	-	3										
E.S. CENTRAL	118	161	-	11	13	1	69	102	-	1	2										
Ky.	25	28	-	-	-	-	20	43	-	-	-										
Tenn.	43	58	-	-	1	-	28	32	-	-	2										
Ala.	29	41	-	8	7	1	18	23	-	1	-										
Miss.	21	34	-	3	5	-	3	4	-	-	-										
W.S. CENTRAL	147	248	-	30	53	1	140	310	1	12	87										
Ark.	31	27	-	-	11	-	17	60	1	5	-										
La.	34	50	U	3	6	U	3	7	U	-	-										
Okla.	26	34	-	1	-	-	12	31	-	-	-										
Tex.	56	137	-	26	36	1	108	212	-	7	87										
MOUNTAIN	120	115	4	23	35	17	508	865	1	17	5										
Mont.	2	4	-	-	-	-	2	9	-	-	-										
Idaho	10	9	-	1	4	-	129	206	-	-	-										
Wyo.	4	5	-	-	1	-	2	8	-	-	-										
Colo.	30	22	1	5	6	9	146	200	1	2	-										
N. Mex.	13	21	N	N	N	2	104	82	-	-	1										
Ariz.	41	37	3	7	6	6	65	179	-	13	1										
Utah	13	10	-	5	5	-	55	142	-	1	2										
Nev.	7	7	-	5	13	-	5	39	-	1	1										
PACIFIC	364	405	3	76	120	-	1,296	1,065	-	4	10										
Wash.	59	58	-	2	8	-	581	262	-	-	5										
Oreg.	61	68	N	N	N	-	41	73	-	-	-										
Calif.	234	271	1	60	87	-	642	701	-	4	3										
Alaska	5	3	1	2	2	-	4	14	-	-	-										
Hawaii	5	5	1	12	23	-	28	15	-	-	2										
Guam	1	2	U	1	3	U	1	1	U	-	-										
P.R.	5	9	U	-	3	U	16	4	U	-	12										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


