
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 13, 1996 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	70	172	4	166	237	41	705	760	-	43	24										
NEW ENGLAND	6	3	-	-	3	8	134	114	-	5	2										
Maine	-	-	-	-	2	-	8	11	-	-	-										
N.H.	-	-	-	-	-	2	17	6	-	-	1										
Vt.	1	-	-	-	-	-	6	2	-	-	-										
Mass.	4	1	-	-	-	6	100	89	-	3	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	6	-	2	-										
MID. ATLANTIC	3	2	-	20	37	5	73	68	-	3	2										
Upstate N.Y.	-	-	-	6	9	5	42	38	-	2	-										
N.Y. City	3	-	-	4	5	-	13	12	-	1	1										
N.J.	-	2	-	-	6	-	-	6	-	-	1										
Pa.	-	-	-	10	17	-	18	12	-	-	-										
E.N. CENTRAL	2	1	1	43	31	2	116	76	-	1	-										
Ohio	2	-	-	17	15	-	51	32	-	-	-										
Ind.	-	-	-	5	5	-	9	7	-	-	-										
Ill.	-	-	-	9	-	2	45	-	-	1	-										
Mich.	-	-	1	12	11	-	9	26	-	-	-										
Wis.	-	1	-	-	-	-	2	11	-	-	-										
W.N. CENTRAL	2	1	-	2	14	-	26	48	-	1	-										
Minn.	2	-	-	-	2	-	22	14	-	-	-										
Iowa	-	-	-	-	3	-	2	1	-	1	-										
Mo.	-	1	-	-	7	-	1	12	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	1	6	-	-	-										
Nebr.	-	-	-	-	2	-	-	3	-	-	-										
Kans.	-	-	-	-	-	-	-	7	-	-	-										
S. ATLANTIC	2	-	1	16	40	9	62	75	-	-	4										
Del.	1	-	-	-	-	-	7	5	-	-	-										
Md.	1	-	1	8	9	-	25	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	-	3	9	-	3	7	-	-	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	-	16	9	9	49	-	-	-										
S.C.	-	-	-	3	3	-	3	9	-	-	-										
Ga.	-	-	-	1	-	-	2	-	-	-	-										
Fla.	-	-	-	1	3	-	11	4	-	-	4										
E.S. CENTRAL	-	-	-	8	8	1	16	20	-	2	-										
Ky.	-	-	-	-	-	-	5	1	-	-	-										
Tenn.	-	-	-	1	-	1	7	4	-	-	-										
Ala.	-	-	-	4	3	-	1	15	-	-	-										
Miss.	-	-	-	3	5	-	3	-	N	N	N										
W.S. CENTRAL	1	2	-	7	12	1	9	33	-	-	1										
Ark.	-	2	-	-	3	-	2	3	-	-	-										
La.	-	-	-	7	2	-	2	1	-	-	-										
Okla.	-	-	-	-	-	-	1	2	-	-	-										
Tex.	1	-	-	-	7	1	4	27	-	-	1										
MOUNTAIN	4	56	-	17	11	7	102	199	-	1	3										
Mont.	-	-	-	-	-	-	3	3	-	-	-										
Idaho	-	-	-	-	2	1	41	59	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	1	17	-	-	-	3	17	32	-	-	-										
N. Mex.	-	28	N	N	N	3	22	17	-	-	-										
Ariz.	-	10	-	1	1	-	4	85	-	1	3										
Utah	-	-	-	1	1	-	2	2	-	-	-										
Nev.	3	1	-	15	7	-	13	1	-	-	-										
PACIFIC	50	107	2	53	81	8	167	127	-	30	12										
Wash.	4	14	-	5	4	7	42	20	-	1	1										
Oreg.	-	1	N	N	N	1	22	7	-	-	1										
Calif.	1	91	1	38	68	-	95	96	-	27	9										
Alaska	44	-	1	2	8	-	-	-	-	-	-										
Hawaii	1	1	U	8	1	U	8	4	U	2	1										
Guam	-	-	U	1	2	U	-	-	U	-	-										
P.R.	-	3	-	1	1	-	-	4	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


