
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2007 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	47	84	212	407	662	19	23	67	125	129											
NEW ENGLAND	1	3	15	9	27	-	1	4	5	6											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	2	3	-	0	2	-	-											
Mass.	-	1	5	-	19	-	0	4	-	5											
N.H.	-	0	9	2	4	-	0	4	2	1											
R.I.	-	0	4	-	-	-	0	3	2	-											
Vt.	1	0	2	5	1	-	0	1	1	-											
MID. ATLANTIC	7	15	40	57	128	3	3	13	16	19											
N.J.	-	2	9	-	26	-	1	4	-	8											
N.Y. (Upstate)	6	5	24	26	20	3	2	13	16	9											
N.Y. City	-	2	8	4	30	-	0	2	-	2											
Pa.	1	6	13	27	52	N	0	0	N	N											
E.N. CENTRAL	9	13	44	75	146	2	6	14	25	36											
Ill.	-	2	12	5	48	-	1	6	1	9											
Ind.	2	2	9	11	15	-	0	10	3	3											
Mich.	-	3	11	12	35	1	1	5	11	9											
Ohio	7	4	19	47	35	1	1	7	9	9											
Wis.	-	1	4	-	13	-	0	2	1	6											
W.N. CENTRAL	3	4	57	26	33	-	2	10	6	5											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	1	3	7	17	-	0	3	2	4											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	1	2	5	16	9	-	0	2	4	1											
Nebr.	-	0	2	1	6	-	0	2	-	-											
N. Dak.	-	0	2	-	1	-	0	1	-	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	10	21	44	112	147	4	1	7	25	12											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	3	-	0	1	-	-											
Fla.	2	5	16	26	38	2	0	1	4	-											
Ga.	4	5	12	34	39	-	0	2	7	-											
Md.	3	4	12	24	29	2	1	5	11	9											
N.C.	-	0	26	13	13	-	0	0	-	-											
S.C.	1	1	6	6	10	-	0	1	2	-											
Va.	-	2	9	7	12	-	0	1	1	-											
W. Va.	-	0	6	2	2	-	0	2	-	3											
E.S. CENTRAL	2	4	11	24	23	2	0	6	11	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	5	3	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	3											
Tenn.	2	3	9	19	20	2	0	6	11	-											
W.S. CENTRAL	8	6	27	28	40	6	4	32	16	16											
Ark.	1	0	5	4	1	-	0	2	2	3											
La.	-	0	2	-	1	-	0	1	1	-											
Okla.	3	2	8	13	16	1	1	12	6	9											
Tex.	4	4	23	11	22	5	2	17	7	4											
MOUNTAIN	6	11	42	64	101	2	4	12	19	32											
Ariz.	-	5	34	21	60	-	2	9	12	20											
Colo.	3	2	7	20	21	2	1	4	5	6											
Idaho	-	0	1	2	2	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	3	3	-	-	0	0	-	-											
N. Mex.	-	1	5	6	7	-	0	3	2	5											
Utah	3	1	5	11	10	-	0	0	-	-											
Wyo.	-	0	1	1	1	-	0	0	-	-											
PACIFIC	1	2	9	12	17	-	0	1	2	-											
Alaska	1	0	1	3	N	-	0	1	2	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	9	17	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


