
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2012 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	161	247	464	161	437	11	20	41	11	21	25	263	316	25	240						
NEW ENGLAND	6	12	31	6	25	-	1	4	-	-	-	7	21	-	13						
Conn.	-	5	20	-	15	-	0	2	-	-	-	0	12	-	-						
Maine	4	2	8	4	1	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	3	-	1	-	0	2	-	-	-	5	10	-	9						
N.H.	-	1	8	-	4	-	0	1	-	-	-	0	3	-	-						
R.I.	-	1	6	-	4	-	0	1	-	-	-	0	7	-	3						
Vt.	2	1	6	2	-	-	0	2	-	-	-	0	2	-	-						
MID. ATLANTIC	14	15	47	14	34	-	1	9	-	-	3	30	53	3	41						
N.J.	2	0	6	2	-	-	0	0	-	-	-	4	13	-	3						
N.Y. (Upstate)	5	1	30	5	1	-	1	6	-	-	1	4	9	1	3						
N.Y. City	7	12	33	7	33	-	0	9	-	-	-	14	30	-	30						
Pa.	N	0	0	N	N	N	0	0	N	N	2	6	16	2	5						
E.N. CENTRAL	53	61	123	53	100	3	3	10	3	3	-	30	47	-	27						
Ill.	N	0	0	N	N	-	0	0	-	-	-	11	24	-	14						
Ind.	-	14	36	-	23	-	1	4	-	1	-	3	8	-	3						
Mich.	6	13	26	6	22	-	0	3	-	1	-	5	12	-	7						
Ohio	41	27	44	41	44	3	2	7	3	1	-	8	17	-	3						
Wis.	6	8	24	6	11	-	0	3	-	-	-	1	5	-	-						
W.N. CENTRAL	5	2	28	5	4	-	0	2	-	1	-	6	13	-	9						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	-	-						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	6						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	6	-	3						
Nebr.	5	2	9	5	4	-	0	2	-	1	-	0	2	-	-						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	58	65	157	58	145	4	6	15	4	8	18	68	100	18	55						
Del.	1	1	5	1	3	-	0	0	-	-	-	0	4	-	-						
D.C.	-	1	5	-	-	-	0	1	-	-	2	3	8	2	3						
Fla.	24	21	64	24	64	2	3	8	2	3	1	23	36	1	28						
Ga.	14	19	44	14	44	2	2	5	2	3	4	14	31	4	4						
Md.	9	9	33	9	25	-	1	3	-	2	-	8	20	-	3						
N.C.	N	0	0	N	N	N	0	0	N	N	9	8	21	9	9						
S.C.	10	8	25	10	9	-	0	3	-	-	-	4	11	-	4						
Va.	N	0	0	N	N	-	0	0	-	-	2	4	12	2	4						
W. Va.	-	0	48	-	-	-	0	4	-	-	-	0	1	-	-						
E.S. CENTRAL	10	22	45	10	44	2	2	6	2	6	1	13	29	1	10						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	-	4						
Ky.	-	4	12	-	11	-	0	3	-	3	-	2	8	-	-						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	14	-	-						
Tenn.	10	18	37	10	33	2	1	4	2	3	1	5	11	1	6						
W.S. CENTRAL	3	31	79	3	14	-	3	10	-	-	2	36	50	2	31						
Ark.	1	4	14	1	1	-	0	4	-	-	-	4	10	-	2						
La.	1	2	11	1	8	-	0	2	-	-	2	7	25	2	-						
Okla.	N	0	0	N	N	-	0	0	-	-	-	1	6	-	-						
Tex.	1	24	75	1	5	-	2	9	-	-	-	23	37	-	29						
MOUNTAIN	11	26	72	11	67	1	2	8	1	3	-	12	20	-	10						
Ariz.	10	11	45	10	33	-	1	5	-	1	-	4	10	-	4						
Colo.	-	8	23	-	21	-	0	4	-	-	-	2	6	-	1						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	-	-						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	-	4						
N. Mex.	1	4	12	1	6	1	0	2	1	-	-	1	4	-	-						
Utah	-	1	8	-	6	-	0	3	-	2	-	0	2	-	-						
Wyo.	-	0	3	-	1	-	0	0	-	-	-	0	0	-	-						
PACIFIC	1	3	11	1	4	1	0	2	1	-	1	53	74	1	44						
Alaska	1	2	11	1	4	1	0	1	1	-	-	0	2	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	-	42	62	-	39						
Hawaii	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	4	14	-	1						
Wash.	N	0	0	N	N	N	0	0	N	N	1	5	11	1	4						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	-	4	14	-	2						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


