
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	527	844	207	755	162	152	122	69	1	14											
NEW ENGLAND	25	25	6	10	3	19	-	7	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	N	N											
Vt.	2	1	-	-	-	1	-	1	-	-											
Mass.	23	24	6	10	3	9	N	N	N	N											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	9	-	6	U	U											
MID. ATLANTIC	40	98	19	67	15	34	5	3	1	1											
Upstate N.Y.	8	2	12	2	7	2	1	-	1	-											
N.Y. City	3	30	-	18	-	4	U	U	U	U											
N.J.	5	29	3	27	1	10	N	N	N	N											
Pa.	24	37	4	20	7	18	4	3	-	1											
E.N. CENTRAL	51	105	17	42	34	32	12	15	-	11											
Ohio	16	46	3	11	13	5	11	15	-	6											
Ind.	-	-	-	-	-	-	1	-	-	-											
Ill.	16	27	9	13	-	5	-	-	-	-											
Mich.	19	10	5	13	21	12	N	N	N	N											
Wis.	-	22	-	5	-	10	N	N	-	5											
W.N. CENTRAL	23	30	10	23	5	9	6	13	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	6	3	2	-	N	N	N	N	N	N											
Mo.	-	15	-	16	-	6	-	-	-	-											
N. Dak.	1	-	1	-	-	-	-	-	-	-											
S. Dak.	3	4	-	1	1	1	-	-	-	-											
Nebr.	-	1	-	3	-	-	-	-	N	N											
Kans.	13	7	7	3	4	2	6	13	N	N											
S. ATLANTIC	214	309	103	401	64	9	95	25	-	-											
Del.	-	-	1	13	-	-	-	-	N	N											
Md.	19	26	5	42	7	2	-	-	-	-											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	N	N	N	N											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	18	54	10	35	-	1	N	N	U	U											
S.C.	1	1	-	-	1	1	-	2	N	N											
Ga.	68	140	36	180	43	4	57	19	N	N											
Fla.	108	88	51	131	13	1	38	4	N	N											
E.S. CENTRAL	13	59	1	32	10	2	2	1	-	-											
Ky.	2	2	-	3	-	1	-	-	N	N											
Tenn.	11	10	1	3	10	1	2	1	N	N											
Ala.	-	30	-	18	-	-	-	-	N	N											
Miss.	-	17	-	8	-	-	-	-	-	-											
W.S. CENTRAL	21	80	13	82	4	28	1	4	-	2											
Ark.	5	3	-	-	-	-	1	-	-	-											
La.	-	10	-	15	-	-	-	4	-	-											
Okla.	16	-	10	4	1	1	N	N	-	-											
Tex.	-	67	3	63	3	27	N	N	-	2											
MOUNTAIN	20	38	1	23	6	17	1	1	-	-											
Mont.	3	2	-	-	-	-	-	-	-	-											
Idaho	12	4	-	-	1	1	N	N	N	N											
Wyo.	1	-	1	1	2	-	1	-	-	-											
Colo.	-	17	-	4	-	6	-	-	-	-											
N. Mex.	-	4	-	9	3	5	-	1	-	-											
Ariz.	-	3	-	7	-	5	-	-	N	N											
Utah	4	-	-	1	-	-	-	-	-	-											
Nev.	-	8	-	1	-	-	-	-	-	-											
PACIFIC	120	100	37	75	21	2	-	-	-	-											
Wash.	-	1	-	-	-	-	-	-	N	N											
Oreg.	7	2	2	2	N	N	N	N	N	N											
Calif.	103	88	34	70	19	-	N	N	N	N											
Alaska	6	2	-	-	-	-	-	-	N	N											
Hawaii	4	7	1	3	2	2	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	5	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


