
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 1, 2003 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	92	149	2	-	13	18	-	-	345	868											
NEW ENGLAND	10	11	-	-	-	1	-	-	9	44											
Maine	-	-	-	-	-	-	-	-	-	1											
N.H.	3	-	-	-	-	-	-	-	-	1											
Vt.	4	-	-	-	-	-	-	-	1	-											
Mass.	1	8	-	-	-	1	-	-	6	24											
R.I.	-	-	-	-	-	-	-	-	-	2											
Conn.	2	3	-	-	-	-	-	-	2	16											
MID. ATLANTIC	9	32	-	-	3	1	-	-	54	88											
Upstate N.Y.	4	13	-	-	1	1	-	-	3	6											
N.Y. City	4	10	-	-	2	-	-	-	51	25											
N.J.	1	7	-	-	-	-	-	-	-	26											
Pa.	-	2	-	-	-	-	-	-	-	31											
E.N. CENTRAL	7	32	1	-	1	4	-	-	37	107											
Ohio	4	17	-	-	1	1	-	-	16	24											
Ind.	1	3	-	-	-	1	-	-	1	1											
Ill.	-	11	-	-	-	2	-	-	1	50											
Mich.	2	1	1	-	-	-	-	-	18	22											
Wis.	-	-	-	-	-	-	-	-	1	10											
W.N. CENTRAL	3	2	-	-	1	-	-	-	13	36											
Minn.	1	-	-	-	-	-	-	-	-	-											
Iowa	-	1	-	-	-	-	-	-	6	8											
Mo.	1	1	-	-	-	-	-	-	1	8											
N. Dak.	-	-	-	-	-	-	-	-	1	-											
S. Dak.	-	-	-	-	-	-	-	-	-	1											
Nebr.	-	-	-	-	-	-	-	-	1	1											
Kans.	1	-	-	-	1	-	-	-	4	18											
S. ATLANTIC	25	40	-	-	2	6	-	-	133	225											
Del.	-	-	-	-	-	-	-	-	-	2											
Md.	7	12	-	-	1	-	-	-	20	46											
D.C.	-	-	-	-	-	-	-	-	-	8											
Va.	1	3	-	-	-	1	-	-	1	2											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	1	3	-	-	-	-	-	-	4	31											
S.C.	1	-	-	-	-	-	-	-	6	3											
Ga.	4	13	-	-	-	2	-	-	57	33											
Fla.	11	9	-	-	1	3	-	-	45	100											
E.S. CENTRAL	11	1	-	-	2	1	-	-	10	40											
Ky.	1	-	-	-	-	-	-	-	1	6											
Tenn.	4	-	-	-	1	-	-	-	6	13											
Ala.	6	1	-	-	1	1	-	-	3	5											
Miss.	-	-	-	-	-	-	-	-	-	16											
W.S. CENTRAL	7	2	-	-	1	1	-	-	3	93											
Ark.	1	-	-	-	-	-	-	-	-	4											
La.	2	-	-	-	-	-	-	-	2	2											
Okla.	4	2	-	-	1	1	-	-	1	3											
Tex.	-	-	-	-	-	-	-	-	-	84											
MOUNTAIN	15	14	1	-	2	2	-	-	25	41											
Mont.	-	-	-	-	-	-	-	-	-	2											
Idaho	-	-	-	-	-	-	-	-	-	5											
Wyo.	-	-	-	-	-	-	-	-	-	2											
Colo.	2	3	-	-	-	-	-	-	4	8											
N. Mex.	2	2	-	-	-	1	-	-	-	3											
Ariz.	7	6	1	-	1	1	-	-	15	9											
Utah	3	3	-	-	1	-	-	-	3	3											
Nev.	1	-	-	-	-	-	-	-	3	9											
PACIFIC	5	15	-	-	1	2	-	-	61	194											
Wash.	-	-	-	-	-	-	-	-	2	4											
Oreg.	4	9	-	-	1	1	-	-	7	18											
Calif.	-	1	-	-	-	1	-	-	51	172											
Alaska	-	-	-	-	-	-	-	-	1	-											
Hawaii	1	5	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	6											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


