
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending September 17, 2011 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	71	298	937	9,918	10,941	8	23	101	717	1,340	86	258	363	8,726	9,645						
NEW ENGLAND	-	17	79	549	600	-	1	5	29	77	1	8	18	254	344						
Conn.	-	6	49	235	246	-	0	3	6	22	-	1	8	39	70						
Maine	-	2	13	96	86	-	0	1	3	6	-	0	3	11	19						
Mass.	-	0	3	21	53	-	0	3	8	37	1	5	11	153	214						
N.H.	-	2	8	73	82	-	0	1	5	4	-	0	3	14	14						
R.I.	-	2	8	73	73	-	0	1	2	4	-	0	7	32	25						
Vt.	-	1	6	51	60	-	0	2	5	4	-	0	2	5	2						
MID. ATLANTIC	3	33	81	990	1,125	1	3	27	84	167	8	31	49	1,048	1,209						
N.J.	-	13	35	463	500	-	1	4	28	41	-	5	13	138	170						
N.Y. (Upstate)	1	2	10	60	111	1	1	9	34	82	4	3	20	129	97						
N.Y. City	2	14	42	467	514	-	0	14	22	44	-	15	30	536	684						
Pa.	N	0	0	N	N	N	0	0	N	N	4	7	13	245	258						
E.N. CENTRAL	12	66	112	2,151	2,205	2	4	10	119	199	2	31	48	1,060	1,409						
Ill.	N	0	0	N	N	N	0	0	N	N	-	13	22	424	672						
Ind.	-	15	32	477	506	-	0	4	21	41	-	3	8	113	134						
Mich.	-	15	29	474	503	-	1	4	25	62	-	5	11	173	184						
Ohio	12	26	45	885	844	2	2	7	61	68	2	9	21	310	385						
Wis.	-	9	24	315	352	-	0	3	12	28	-	1	5	40	34						
W.N. CENTRAL	2	4	35	127	579	-	0	5	9	81	1	7	17	210	239						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	2	12	16						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	17	14						
Minn.	-	0	24	-	437	-	0	5	-	65	-	3	10	87	88						
Mo.	N	0	0	N	N	N	0	0	N	N	1	2	6	88	111						
Nebr.	2	2	9	84	96	-	0	2	8	14	-	0	2	5	6						
N. Dak.	-	0	25	43	46	-	0	1	1	2	-	0	1	1	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	4						
S. ATLANTIC	31	72	170	2,760	2,990	2	7	22	204	373	46	64	178	2,254	2,189						
Del.	-	1	6	36	27	-	0	1	-	-	-	0	4	15	4						
D.C.	-	1	3	28	53	-	0	1	4	7	3	3	8	119	101						
Fla.	15	23	68	995	1,102	1	3	13	90	148	1	23	37	790	799						
Ga.	10	22	54	742	961	1	2	7	51	116	11	12	130	437	475						
Md.	4	10	32	396	379	-	1	4	26	43	10	9	19	322	209						
N.C.	N	0	0	N	N	N	0	0	N	N	11	8	19	269	298						
S.C.	2	8	25	334	378	-	0	3	20	43	4	4	10	151	101						
Va.	N	0	0	N	N	N	0	0	N	N	6	4	16	149	198						
W. Va.	-	0	48	229	90	-	0	6	13	16	-	0	2	2	4						
E.S. CENTRAL	6	19	36	654	747	-	1	4	41	71	3	15	34	515	628						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	138	180						
Ky.	N	0	0	N	N	N	0	0	N	N	-	2	16	79	92						
Miss.	N	0	0	N	N	N	0	0	N	N	3	3	16	127	156						
Tenn.	6	19	36	654	747	-	1	4	41	71	-	5	11	171	200						
W.S. CENTRAL	13	31	368	1,318	1,344	2	4	30	126	182	20	35	59	1,226	1,501						
Ark.	1	3	26	162	125	1	0	3	13	12	2	4	10	143	156						
La.	-	3	11	119	77	-	0	2	10	20	1	8	27	262	391						
Okla.	N	0	0	N	N	N	0	0	N	N	2	1	6	42	67						
Tex.	12	25	333	1,037	1,142	1	3	27	103	150	15	23	33	779	887						
MOUNTAIN	4	32	72	1,254	1,270	1	3	8	96	174	-	12	23	387	413						
Ariz.	-	12	45	596	611	-	1	5	45	78	-	4	8	150	159						
Colo.	4	11	23	391	380	1	0	4	28	53	-	2	8	77	90						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	4	11	2						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	4	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	92	74						
N. Mex.	-	3	13	174	118	-	0	2	11	15	-	1	4	45	35						
Utah	-	2	8	74	150	-	0	3	12	25	-	0	4	8	50						
Wyo.	-	0	15	19	11	-	0	1	-	3	-	0	0	-	-						
PACIFIC	-	3	11	115	81	-	0	1	9	16	5	51	66	1,772	1,713						
Alaska	-	2	11	112	81	-	0	1	8	16	-	0	1	1	3						
Calif.	N	0	0	N	N	N	0	0	N	N	5	42	57	1,456	1,454						
Hawaii	-	0	3	3	-	-	0	1	1	-	-	0	5	10	28						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	2	10	111	49						
Wash.	N	0	0	N	N	N	0	0	N	N	-	5	13	194	179						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	9	4	13	158	167						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


