
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 16, 2008 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	111	146	849	4,498	6,103	61	79	187	2,427	3,841	70	29	195	1,075	1,251						
NEW ENGLAND	-	19	49	383	948	9	7	20	220	348	-	0	1	2	7						
Conn.	-	0	4	-	59	7	3	17	118	145	-	0	0	-	-						
Maine	-	0	5	18	48	-	1	5	31	54	N	0	0	N	N						
Mass.	-	16	33	315	760	N	0	0	N	N	-	0	1	1	7						
N.H.	-	1	5	22	48	-	1	3	24	35	-	0	1	1	-						
R.I.	-	0	25	21	6	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	7	27	2	2	6	47	114	-	0	0	-	-						
MID. ATLANTIC	20	20	43	523	798	14	19	32	625	649	1	1	5	39	54						
N.J.	-	0	9	4	138	-	0	0	-	-	-	0	2	2	19						
N.Y. (Upstate)	16	6	24	240	391	14	9	20	311	327	1	0	3	14	6						
N.Y. City	-	2	7	44	82	-	0	2	11	32	-	0	2	12	20						
Pa.	4	8	23	235	187	-	9	23	303	290	-	0	2	11	9						
E.N. CENTRAL	14	19	190	785	1,070	9	5	53	127	213	1	1	8	60	39						
Ill.	-	3	8	94	118	4	1	15	49	66	-	0	7	39	25						
Ind.	1	0	12	29	42	1	0	1	4	8	-	0	1	3	4						
Mich.	3	4	16	118	184	1	1	32	46	103	-	0	1	2	3						
Ohio	10	6	176	498	461	3	1	11	28	36	1	0	4	16	6						
Wis.	-	2	9	46	265	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	16	12	142	409	424	8	4	12	105	186	7	4	32	281	250						
Iowa	-	1	5	35	117	-	0	3	14	20	-	0	2	1	13						
Kans.	-	1	5	29	71	-	0	7	-	89	-	0	2	-	9						
Minn.	12	1	131	142	90	-	0	7	34	18	-	0	4	-	1						
Mo.	3	3	18	141	58	8	0	5	33	30	6	3	31	265	214						
Nebr.	1	1	12	53	31	-	0	0	-	-	1	0	3	12	9						
N. Dak.	-	0	5	1	3	-	0	8	17	13	-	0	0	-	-						
S. Dak.	-	0	2	8	54	-	0	2	7	16	-	0	1	3	4						
S. ATLANTIC	18	14	50	435	628	14	33	94	1,043	1,448	42	8	109	348	575						
Del.	-	0	2	7	7	-	0	0	-	-	-	0	3	18	10						
D.C.	-	0	1	3	8	-	0	0	-	-	-	0	2	6	2						
Fla.	7	3	17	153	155	-	0	77	88	128	1	0	4	12	7						
Ga.	1	0	4	28	29	-	6	37	214	180	1	0	6	32	50						
Md.	2	1	6	22	72	7	0	18	52	267	2	0	6	25	38						
N.C.	2	0	38	79	213	6	9	16	306	319	32	0	96	159	357						
S.C.	5	2	22	69	53	-	0	0	-	46	3	0	4	20	41						
Va.	1	2	8	70	79	-	11	27	321	462	3	1	10	73	68						
W. Va.	-	0	12	4	12	1	1	11	62	46	-	0	3	3	2						
E.S. CENTRAL	7	6	25	171	290	-	2	7	78	108	3	4	21	164	182						
Ala.	-	1	6	21	57	-	0	0	-	-	1	1	10	44	54						
Ky.	6	1	8	48	14	-	0	4	28	15	-	0	1	1	4						
Miss.	-	2	22	61	155	-	0	1	2	-	-	0	3	4	12						
Tenn.	1	1	4	41	64	-	1	6	48	93	2	2	17	115	112						
W.S. CENTRAL	21	19	198	662	702	4	4	40	72	690	16	2	153	158	114						
Ark.	-	1	11	40	137	1	1	6	43	23	-	0	15	30	41						
La.	-	0	4	29	14	-	0	2	-	4	-	0	1	3	4						
Okla.	9	0	26	28	4	3	0	32	28	45	16	0	132	103	45						
Tex.	12	16	179	565	547	-	0	34	1	618	-	1	8	22	24						
MOUNTAIN	3	19	37	518	718	1	1	8	42	46	-	0	2	19	27						
Ariz.	-	3	10	128	163	N	0	0	N	N	-	0	2	7	6						
Colo.	2	4	13	97	198	-	0	0	-	-	-	0	2	1	1						
Idaho	-	0	4	20	34	-	0	4	-	-	-	0	1	1	4						
Mont.	-	1	11	64	34	-	0	2	5	13	-	0	1	3	1						
Nev.	1	0	7	22	32	-	0	2	3	9	-	0	0	-	-						
N. Mex.	-	1	5	28	55	-	0	3	21	8	-	0	1	2	4						
Utah	-	6	27	150	183	-	0	2	2	8	-	0	0	-	-						
Wyo.	-	0	2	9	19	1	0	4	11	8	-	0	2	5	11						
PACIFIC	12	22	303	612	525	2	4	12	115	153	-	0	1	4	3						
Alaska	10	1	29	87	40	-	0	4	12	37	N	0	0	N	N						
Calif.	-	8	129	233	293	2	3	12	98	110	-	0	1	2	1						
Hawaii	-	0	2	5	17	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	14	102	59	-	0	1	5	6	-	0	1	2	2						
Wash.	2	5	169	185	116	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	2	1	5	42	35	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


