
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2008 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	39	46	129	967	1,008	9	8	26	143	196	109	222	286	2,800	2,799						
NEW ENGLAND	-	1	18	11	62	-	0	4	2	6	6	6	14	74	51						
Conn.	-	0	16	-	40	-	0	3	-	4	1	0	6	4	7						
Maine	-	0	2	6	4	-	0	1	1	-	1	0	2	2	1						
Mass.	-	0	0	-	-	-	0	0	-	-	4	3	10	63	33						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	3	4						
R.I.	-	0	2	2	10	-	0	1	-	2	-	0	5	2	5						
Vt.	-	0	2	3	8	-	0	1	1	-	-	0	5	-	1						
MID. ATLANTIC	3	2	6	52	65	1	0	2	11	16	36	31	45	486	449						
N.J.	-	0	0	-	-	-	0	0	-	-	4	4	10	66	58						
N.Y. (Upstate)	2	1	4	17	23	1	0	1	3	8	5	3	10	34	32						
N.Y. City	-	0	0	-	-	-	0	0	-	-	26	18	30	315	284						
Pa.	1	1	5	35	42	-	0	2	8	8	1	5	12	71	75						
E.N. CENTRAL	8	13	46	277	271	1	2	14	39	42	10	16	28	234	239						
Ill.	-	2	13	44	54	-	0	6	9	18	-	6	14	29	113						
Ind.	-	3	28	78	47	-	0	11	11	4	-	1	6	39	14						
Mich.	-	0	1	3	-	-	0	1	1	-	5	2	17	59	34						
Ohio	8	6	17	152	170	1	1	3	18	20	5	4	15	94	61						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	13	17						
W.N. CENTRAL	2	3	49	79	75	-	0	2	2	9	1	7	14	109	73						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	2	2						
Kans.	-	1	5	34	43	-	0	1	1	2	1	0	5	10	5						
Minn.	-	0	46	-	-	-	0	1	-	5	-	1	4	24	17						
