
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	54	89	1	9	41	62	1	1	130	138											
NEW ENGLAND	-	2	-	-	1	1	-	-	17	21											
Maine	-	-	-	-	-	-	-	-	-	15											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	17	2											
Mass.	-	1	-	-	-	-	-	-	-	4											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	1	-	-	1	1	-	-	-	-											
MID. ATLANTIC	3	9	-	3	-	7	-	1	1	-											
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-											
N.Y. City	1	5	-	1	-	7	-	1	-	-											
N.J.	2	2	-	2	-	-	-	-	-	-											
Pa.	-	2	-	-	-	-	-	-	1	-											
E.N. CENTRAL	9	19	1	2	31	1	1	-	70	58											
Ohio	4	2	-	-	-	1	1	-	34	33											
Ind.	2	1	-	1	1	-	-	-	-	-											
Ill.	-	13	-	1	30	-	-	-	-	-											
Mich.	3	3	1	-	-	-	-	-	36	22											
Wis.	-	-	-	-	-	-	-	-	-	3											
W.N. CENTRAL	-	9	-	-	-	4	-	-	-	-											
Minn.	-	1	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	N	N											
Mo.	-	3	-	-	-	-	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	1	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	5	-	-	-	3	-	-	-	-											
S. ATLANTIC	25	19	-	4	-	3	-	-	37	38											
Del.	1	-	-	-	-	-	-	-	-	-											
Md.	5	1	-	2	-	-	-	-	-	-											
D.C.	-	1	-	-	-	-	-	-	-	-											
Va.	1	2	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	37	38											
N.C.	1	2	-	-	-	-	-	-	-	-											
S.C.	-	2	-	2	-	-	-	-	-	-											
Ga.	-	1	-	-	-	3	-	-	-	-											
Fla.	17	10	-	-	-	-	-	-	-	-											
E.S. CENTRAL	3	3	-	-	1	3	-	-	-	-											
Ky.	-	1	-	-	-	-	-	-	-	-											
Tenn.	3	2	-	-	-	-	-	-	-	-											
Ala.	-	-	-	-	1	3	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	10	6	-	-	-	36	-	-	-	21											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	-	-	-	-	-	-	-	-	-											
Okla.	1	-	-	-	-	-	-	-	-	-											
Tex.	9	6	-	-	-	36	-	-	-	21											
MOUNTAIN	1	2	-	-	1	1	-	-	5	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	1	-	-	3	-											
Colo.	-	-	-	-	-	-	-	-	-	-											
N. Mex.	-	1	-	-	-	-	-	-	-	-											
Ariz.	1	-	-	-	-	-	-	-	-	-											
Utah	-	1	-	-	1	-	-	-	2	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	3	20	-	-	7	6	-	-	-	-											
Wash.	-	-	-	-	-	1	-	-	-	-											
Oreg.	-	1	-	-	-	-	-	-	-	-											
Calif.	3	19	-	-	5	5	-	-	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	2	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


