
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 21, 2002 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	19,049	19,411	3,891	3,518	2,190	2,559	283	424													
NEW ENGLAND	329	303	173	220	21	136	3	48													
Maine	12	6	20	12	-	-	-	-													
N.H.	13	7	35	N	-	-	N	N													
Vt.	1	7	10	16	5	9	2	1													
Mass.	187	206	93	67	N	N	N	N													
R.I.	17	23	15	13	16	13	1	4													
Conn.	99	54	-	112	-	114	-	43													
MID. ATLANTIC	1,463	1,463	637	652	119	171	74	114													
Upstate N.Y.	358	468	288	259	93	162	72	114													
N.Y. City	450	409	148	164	U	U	U	U													
N.J.	403	268	136	143	N	N	N	N													
Pa.	252	318	65	86	26	9	2	-													
E.N. CENTRAL	1,808	4,395	744	768	248	173	121	129													
Ohio	661	2,949	202	196	78	3	29	-													
Ind.	107	223	48	61	165	170	66	59													
Ill.	672	621	196	250	2	-	-	70													
Mich.	196	301	297	210	3	-	N	N													
Wis.	172	301	1	51	N	N	26	-													
W.N. CENTRAL	996	1,952	247	370	430	164	60	63													
Minn.	222	432	129	176	292	74	59	54													
Iowa	123	359	-	-	N	N	N	N													
Mo.	209	316	46	74	5	11	1	-													
N. Dak.	16	22	3	17	1	6	-	9													
S. Dak.	156	642	13	12	1	5	-	-													
Nebr.	179	105	18	40	29	25	N	N													
Kans.	91	76	38	51	102	43	N	N													
S. ATLANTIC	7,136	3,158	732	569	1,111	1,342	8	9													
Del.	397	17	2	4	3	6	N	N													
Md.	1,232	157	145	N	N	N	N	N													
D.C.	61	54	9	22	57	11	1	4													
Va.	1,000	594	71	79	N	N	N	N													
W. Va.	12	8	19	20	46	41	7	5													
N.C.	550	354	113	144	N	N	U	U													
S.C.	127	247	35	13	186	278	N	N													
Ga.	1,339	705	124	180	195	419	N	N													
Fla.	2,418	1,022	214	107	624	587	N	N													
E.S. CENTRAL	1,501	1,727	112	117	130	239	-	-													
Ky.	198	817	21	38	18	26	N	N													
Tenn.	140	119	91	79	112	212	N	N													
Ala.	825	210	-	-	-	1	N	N													
Miss.	338	581	-	-	-	-	-	-													
W.S. CENTRAL	1,765	2,929	117	315	88	284	12	61													
Ark.	196	565	8	-	12	22	-	-													
La.	441	252	-	1	75	262	4	61													
Okla.	586	108	48	46	N	N	8	-													
Tex.	542	2,004	61	268	N	N	-	-													
MOUNTAIN	1,076	976	586	421	43	46	5	-													
Mont.	4	9	-	-	-	-	-	-													
Idaho	19	40	11	7	N	N	N	N													
Wyo.	9	7	7	12	11	10	-	-													
Colo.	211	244	145	159	-	-	-	-													
N. Mex.	231	120	109	90	31	34	-	-													
Ariz.	513	424	283	150	-	-	N	N													
Utah	42	62	31	3	-	-	5	-													
Nev.	47	70	-	-	1	2	-	-													
PACIFIC	2,975	2,508	543	86	-	4	-	-													
Wash.	174	213	65	-	-	-	N	N													
Oreg.	117	114	N	N	N	N	N	N													
Calif.	2,614	2,115	381	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	64	59	97	86	-	4	-	-													
Guam	-	50	-	1	-	-	-	-													
P.R.	8	20	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	18	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


