
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2007 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	84	86	215	965	1,366	25	24	85	308	298											
NEW ENGLAND	-	2	15	16	54	-	1	4	8	14											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	5	5	-	0	2	-	-											
Mass.	-	0	5	-	38	-	0	4	-	12											
N.H.	-	0	9	4	8	-	0	4	4	2											
R.I.	-	0	4	-	2	-	0	3	3	-											
Vt.	-	0	2	7	1	-	0	1	1	-											
MID. ATLANTIC	11	16	40	178	275	4	3	17	32	49											
N.J.	-	2	8	20	52	-	1	4	-	16											
N.Y. (Upstate)	9	5	26	69	69	4	2	14	32	29											
N.Y. City	-	3	8	24	54	-	0	2	-	4											
Pa.	2	6	13	65	100	N	0	0	N	N											
E.N. CENTRAL	10	16	46	164	316	1	6	14	53	85											
Ill.	-	4	11	31	114	-	1	6	9	20											
Ind.	2	2	13	20	36	1	0	10	5	8											
Mich.	3	3	11	42	64	-	1	5	20	23											
Ohio	5	4	19	71	64	-	1	7	18	18											
Wis.	-	1	6	-	38	-	1	2	1	16											
W.N. CENTRAL	1	5	57	77	61	6	2	10	24	21											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	10	25	-	0	3	2	5											
Minn.	-	0	52	29	-	6	1	7	11	7											
Mo.	-	2	6	30	21	-	0	2	8	5											
Nebr.	-	0	2	2	11	-	0	2	2	3											
N. Dak.	1	0	2	4	4	-	0	1	1	1											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	34	21	45	246	298	2	2	12	67	18											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	1	0	2	4	4	-	0	1	-	-											
Fla.	6	5	16	52	69	2	0	6	15	-											
Ga.	5	5	11	72	73	-	0	5	23	-											
Md.	6	4	10	49	62	-	1	5	23	13											
N.C.	16	0	26	30	34	-	0	0	-	-											
S.C.	-	1	6	14	25	-	0	2	5	-											
Va.	-	2	9	22	24	-	0	1	1	-											
W. Va.	-	0	6	3	6	-	0	2	-	5											
E.S. CENTRAL	6	4	11	47	58	1	0	6	20	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	0	4	11	17	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	4	3	9	36	41	1	0	6	18	-											
W.S. CENTRAL	6	6	61	59	95	4	3	39	42	43											
Ark.	1	0	5	8	3	-	0	2	5	8											
La.	-	0	2	3	1	-	0	1	3	1											
Okla.	5	2	6	26	38	2	1	12	15	12											
Tex.	-	3	56	22	53	2	2	24	19	22											
MOUNTAIN	16	11	41	156	188	7	4	9	53	61											
Ariz.	2	5	34	60	110	5	2	7	32	39											
Colo.	9	3	8	48	32	2	1	4	14	14											
Idaho	1	0	1	5	3	-	0	1	-	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	-	-	0	0	-	-											
N. Mex.	-	1	4	9	23	-	0	3	7	7											
Utah	4	1	7	31	18	-	0	0	-	-											
Wyo.	-	0	1	2	2	-	0	0	-	-											
PACIFIC	-	2	9	22	21	-	0	4	9	2											
Alaska	-	0	2	5	N	-	0	2	7	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	17	21	-	0	2	2	2											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


